"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
110;"HELI";"DAC";2;1.667274667627;19.9562398945679
113;"HELI";"DAC";2;2.96596603183864;-32.5683443933383
12;"ZEUS";"FAB";2;1.43396596166611;39.4733245743313
125;"ZEUS";"FAB";2;2.51660462580416;-20.5278421770001
16;"TRIS";"CAP";3;4.99216920910738;-39.9058831073473
19;"HELI";"DAC";3;3.81366246352847;-21.3354608938216
90;"HELI";"DAC";3;4.509016945499;-33.4666505745855
129;"ZEUS";"FAB";3;2.51660462580416;19.2082367344998
105;"TRIS";"CAP";4;4.11759936372678;-2.85601762917373
107;"TRIS";"CAP";4;4.11759936372678;-2.85601762917373
11;"HELI";"DAC";4;3.81366246352847;4.88605214157126
23;"HELI";"DAC";4;4.80962850307106;-16.8334935339411
89;"HELI";"DAC";4;5.93193206367728;-32.5683443933383
11;"ZEUS";"FAB";4;4.03481069188474;-0.862758987794814
108;"ASPI";"CUC";5;4.52361327794649;10.5311107024995
109;"ZEUS";"FAB";5;4.44191985017372;12.5639401126171
124;"TRIS";"CAP";6;7.10162090440008;-15.512245996087
133;"EUTR";"GUR";6;7.31215261929374;-17.9448199129695
138;"EUTR";"GUR";6;3.65607630964687;64.110360174061
100;"PAPE";"LON";6;11.2205092440132;-46.5264911821951
113;"ELED";"CIR";7;12.897838356209;-45.7273396775807
116;"LOPH";"BUD";8;8.27830702426495;-3.36188333495226
6;"TRIS";"CAP";8;8.23519872745356;-2.85601762917373
8;"TRIS";"CAP";8;8.23519872745356;-2.85601762917373
83;"TRIS";"CAP";8;15.4535900740587;-48.2320938910548
95;"TRIS";"CAP";8;9.33715524741891;-14.3207991297836
111;"TRIS";"CAP";8;11.5880827125304;-30.9635580064558
111;"ELED";"CIR";8;12.897838356209;-37.9741024886637
22;"ZEUS";"FAB";8;11.9119385511436;-32.8404863267872
126;"TRIS";"CAP";9;9.74310096665029;-7.62694515015144
116;"PAPE";"LON";9;5.92866040894126;51.8049505150728
23;"PHYI";"BLE";10;9.90041386339454;1.00587852164103
110;"PHYI";"BLE";10;12.7775273029297;-21.7375963054514
100;"ILLE";"COI";10;10.1001637098756;-0.991703825331785
99;"PAPE";"LON";10;11.3881124160579;-12.1891351730998
129;"PAPE";"LON";10;8.73322985196697;14.5051735670019
2;"TRAC";"MED";10;11.0259705182897;-9.30503592938001
134;"MERL";"MER";10;12.6973575555557;-21.243455921862
143;"NEPR";"NOR";10;10.1804224149944;-1.77224880893582
81;"SPIC";"SMA";10;15.3486556007073;-34.8477139617417
103;"LOLI";"VUL";10;15.3931428405866;-35.0360085424963
108;"ILLE";"COI";11;15.2454498248224;-27.8473241105031
90;"PHYI";"BLE";12;12.9424978042627;-7.28219404412275
21;"HELI";"DAC";12;15.9960122730266;-24.9813028698716
4;"ZEUS";"FAB";12;10.2842240306232;16.6835724724372
105;"EUTR";"GUR";12;13.7380651680493;-12.6514552579901
121;"PAPE";"LON";12;6.9586569896884;72.4470687056719
135;"TRAC";"MED";12;17.5394219943263;-31.5826940940139
133;"NEPR";"NOR";12;14.2313166229908;-15.6789191197255
132;"PHYI";"BLE";13;12.6652399175812;2.64314047422133
12;"TRIS";"CAP";13;14.3362404320007;-9.32071722944873
94;"ELED";"CIR";13;12.897838356209;0.792083455921509
24;"LOPH";"BUD";14;13.8817637310176;0.851738087993903
30;"RAJA";"CLA";15;14.7693591675791;1.56161706004917
93;"HELI";"DAC";15;19.5630681039117;-23.3249103856021
128;"EUTR";"GUR";15;17.9642452402986;-16.500805910003
118;"OCTO";"VUL";15;24.8357710667006;-39.6032442088671
30;"PHYI";"BLE";16;13.6720715390666;17.0268891168513
31;"PHYI";"BLE";16;25.0600647580048;-36.1533972297928
118;"ILLE";"COI";16;20.5562906313318;-22.1649455782022
143;"PAPE";"LON";16;19.9287106727134;-19.7138226212129
110;"TRIS";"CAP";17;20.3726827928085;-16.5549271399791
19;"ELED";"CIR";17;12.897838356209;31.8050322115897
21;"ASPI";"CUC";17;21.3330413982694;-20.31140950498
95;"HELI";"DAC";17;16.9463030931096;0.316865021210558
31;"MERL";"MER";17;20.8783136740121;-18.5757994374784
121;"SPIC";"SMA";17;16.2639022132285;4.52596048058383
105;"ELED";"CIR";18;33.4296888806241;-46.1556460657556
129;"SPIC";"FLE";18;24.6743424109084;-27.0497276067536
83;"EUTR";"GUR";18;21.4730741870135;-16.1740892653087
93;"EUTR";"GUR";18;21.4730741870135;-16.1740892653087
19;"CITH";"MAC";18;20.0295084451389;-10.1325923733864
138;"LOLI";"VUL";18;24.9365473410234;-27.8167913390801
113;"SPIC";"SMA";19;18.7893970385549;1.12086066951964
100;"PAGE";"ACA";20;20.2665322481391;-1.31513494699414
81;"LOPH";"BUD";20;15.3344760270559;30.4250628760469
136;"TRIS";"CAP";20;25.7165419195404;-22.2290459480354
4;"ELED";"CIR";20;25.7956767124179;-22.4676281108296
107;"ELED";"CIR";20;18.3813029537251;8.80621493672141
125;"PAGE";"ERY";20;28.0382733437182;-28.6689313752592
76;"EUTR";"GUR";20;11.6078768933778;72.2967962505693
131;"EUTR";"GUR";20;29.7957467267214;-32.8763256600527
100;"TRAC";"MED";20;23.056089763792;-13.2550219707739
113;"NEPR";"NOR";20;22.8762903287866;-12.5732375636413
137;"NEPR";"NOR";20;18.7188449256835;6.8441994118913
7;"PAPE";"LON";21;23.8282772063759;-11.8694154087611
110;"LOLI";"VUL";21;24.9365473410234;-15.7862565622601
1;"PAGE";"BOG";22;28.4050919789624;-22.5490978297349
113;"TRIS";"CAP";22;30.965605583032;-28.9534320877121
113;"ASPI";"CUC";22;22.4578347714931;-2.03864164177669
101;"EUTR";"GUR";23;21.6898657517802;6.04030593463818
126;"SPIC";"SMA";23;28.359090037075;-18.8972566823154
40;"PHYI";"BLE";24;25.8849956085255;-7.28219404412275
111;"ASPI";"CUC";24;22.3132663123016;7.55933113552495
121;"EUTR";"GUR";24;24.1549450279339;-0.64146297064534
106;"ELED";"CIR";25;25.1827230050267;-0.725588749835566
109;"EUTR";"GUR";25;26.5660726597736;-5.89501007480459
118;"EUTR";"GUR";25;27.6800313649657;-9.68218326644602
19;"TRIS";"CAP";26;26.9333122254615;-3.46527087960295
7;"ELED";"CIR";26;43.5640259587518;-40.3177290716476
110;"ASPI";"CUC";26;27.7852839993892;-6.42528613142294
88;"EUTR";"GUR";26;24.8909132232645;4.45578981689927
133;"SPIC";"SMA";26;24.2023844300133;7.4274316862659
12;"PAGE";"ACA";27;29.612079202586;-8.82099221981633
108;"PAPE";"LON";27;32.0963579815004;-15.878306144385
123;"NEPR";"NOR";27;35.8936738908524;-24.7778310960778
102;"PAPE";"LON";28;31.0519906174523;-9.82864723570083
101;"ELED";"CIR";29;42.0318441976199;-31.0046928617941
21;"ELED";"CIR";30;34.3978320294137;-12.7852011884153
102;"ELED";"CIR";30;56.4618643149607;-46.8667916584347
