TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ITA;10;PEC;2013;6;30;23;B;ARIS;FOL;m;F;0;16;1;O;1.95;15;NR;0;NR;NR;;2212.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;17;1;O;2.6;63;NR;0;NR;NR;;825.0
TE;ITA;10;PEC;2013;6;26;68;B;ARIS;FOL;m;F;0;18;1;O;2.8;81;NR;0;NR;NR;;5541.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;19;1;O;2.75;63;NR;0;NR;NR;;826.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;19;1;O;3.07;63;NR;0;NR;NR;;827.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;19;1;O;3.1;63;NR;0;NR;NR;;829.0
TE;ITA;10;PEC;2013;6;30;23;B;ARIS;FOL;m;F;0;19;1;O;3.14;15;NR;0;NR;NR;;2213.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;19;1;O;3.19;63;NR;0;NR;NR;;828.0
TE;ITA;10;PEC;2013;7;1;19;B;ARIS;FOL;m;F;0;19;1;O;3.3;39;NR;0;NR;NR;;1879.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;20;1;O;3.16;63;NR;0;NR;NR;;831.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;20;1;O;3.17;63;NR;0;NR;NR;;832.0
TE;ITA;10;PEC;2013;7;2;10;B;ARIS;FOL;m;F;0;20;1;O;3.46;63;NR;0;NR;NR;;830.0
TE;ITA;10;PEC;2013;6;30;23;B;ARIS;FOL;m;F;0;20;1;O;3.9;15;NR;0;NR;NR;;2214.0
TE;ITA;10;PEC;2013;6;26;68;B;ARIS;FOL;m;F;0;20;1;O;4.3;81;NR;0;NR;NR;;5543.0
TE;ITA;10;PEC;2013;6;26;68;B;ARIS;FOL;m;F;0;20;1;O;5.8;81;NR;0;NR;NR;;5542.0
TE;ITA;10;PEC;2013;7;1;19;B;ARIS;FOL;m;F;0;21;1;O;3.5;39;NR;0;NR;NR;;1880.0
