TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;17;1;O;2.3;34;NR;0;NR;NR;;4905.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;17;1;O;2.36;19;NR;0;NR;NR;;2067.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;18;1;O;3.0;24;NR;0;NR;NR;;1741.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;19;1;O;3.1;34;NR;0;NR;NR;;4906.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;19;1;O;3.17;19;NR;0;NR;NR;;2069.0
TE;ITA;10;PEC;2012;6;26;22;B;ARIS;FOL;m;F;0;20;1;O;3.5;14;NR;0;NR;NR;;1674.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;20;1;O;4.02;19;NR;0;NR;NR;;2070.0
TE;ITA;10;PEC;2012;6;21;65;B;ARIS;FOL;m;F;0;20;1;O;11.6;40;NR;0;NR;NR;;4790.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;21;1;O;4.0;34;NR;0;NR;NR;;4909.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;21;1;O;4.01;34;NR;0;NR;NR;;4910.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;21;1;O;4.3;24;NR;0;NR;NR;;1742.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;21;1;O;4.41;19;NR;0;NR;NR;;2072.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;21;1;O;4.6;24;NR;0;NR;NR;;1743.0
TE;ITA;10;PEC;2012;6;21;65;B;ARIS;FOL;m;F;0;21;1;O;10.5;40;NR;0;NR;NR;;4791.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;22;1;O;3.3;97;NR;0;NR;NR;;5148.0
TE;ITA;10;PEC;2012;6;21;65;B;ARIS;FOL;m;F;0;22;1;O;3.9;40;NR;0;NR;NR;;4793.0
TE;ITA;10;PEC;2012;6;26;22;B;ARIS;FOL;m;F;0;22;1;O;4.5;14;NR;0;NR;NR;;1676.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;22;1;O;4.7;24;NR;0;NR;NR;;1745.0
TE;ITA;10;PEC;2012;6;27;14;B;ARIS;FOL;m;F;0;22;1;O;4.8;15;NR;0;NR;NR;;1161.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;22;1;O;4.92;19;NR;0;NR;NR;;2074.0
TE;ITA;10;PEC;2012;6;26;22;B;ARIS;FOL;m;F;0;22;1;O;5.2;14;NR;0;NR;NR;;1677.0
TE;ITA;10;PEC;2012;6;21;65;B;ARIS;FOL;m;F;0;22;1;O;13.9;40;NR;0;NR;NR;;4792.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;23;1;O;4.54;19;NR;0;NR;NR;;2076.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;23;1;O;5.0;24;NR;0;NR;NR;;1749.0
TE;ITA;10;PEC;2012;6;27;14;B;ARIS;FOL;m;F;0;23;1;O;5.1;15;NR;0;NR;NR;;1164.0
TE;ITA;10;PEC;2012;6;29;11;B;ARIS;FOL;m;F;0;23;1;O;5.2;16;NR;0;NR;NR;;825.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;23;1;O;5.4;97;NR;0;NR;NR;;5150.0
TE;ITA;10;PEC;2012;6;26;22;B;ARIS;FOL;m;F;0;23;1;O;5.511;14;NR;0;NR;NR;;1679.0
TE;ITA;10;PEC;2012;6;21;65;B;ARIS;FOL;m;F;0;23;1;O;12.4;40;NR;0;NR;NR;;4794.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;24;1;O;4.3;97;NR;0;NR;NR;;5153.0
TE;ITA;10;PEC;2012;6;18;69;B;ARIS;FOL;m;F;0;24;1;O;4.98;25;NR;0;NR;NR;;5382.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;24;1;O;5.0;97;NR;0;NR;NR;;5152.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;24;1;O;5.06;97;NR;0;NR;NR;;5151.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;24;1;O;5.13;19;NR;0;NR;NR;;2079.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;24;1;O;5.3;97;NR;0;NR;NR;;5156.0
TE;ITA;10;PEC;2012;6;27;14;B;ARIS;FOL;m;F;0;24;1;O;5.4;15;NR;0;NR;NR;;1168.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;24;1;O;5.4;34;NR;0;NR;NR;;4917.0
TE;ITA;10;PEC;2012;6;26;19;B;ARIS;FOL;m;F;0;24;1;O;5.56;27;NR;0;NR;NR;;1550.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;24;1;O;5.6;34;NR;0;NR;NR;;4918.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;24;1;O;5.62;19;NR;0;NR;NR;;2078.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;24;1;O;5.7;97;NR;0;NR;NR;;5154.0
TE;ITA;10;PEC;2012;6;18;69;B;ARIS;FOL;m;F;0;24;1;O;5.79;25;NR;0;NR;NR;;5383.0
TE;ITA;10;PEC;2012;6;27;14;B;ARIS;FOL;m;F;0;24;1;O;5.8;15;NR;0;NR;NR;;1167.0
TE;ITA;10;PEC;2012;6;29;7;B;ARIS;FOL;m;F;0;24;1;O;6.1;11;NR;0;NR;NR;;331.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;24;1;O;6.1;97;NR;0;NR;NR;;5155.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;24;1;O;6.5;24;NR;0;NR;NR;;1754.0
TE;ITA;10;PEC;2012;6;26;22;B;ARIS;FOL;m;F;0;24;1;O;6.6;14;NR;0;NR;NR;;1685.0
TE;ITA;10;PEC;2012;6;29;8;B;ARIS;FOL;m;F;0;24;1;O;6.92;5;NR;0;NR;NR;;460.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;25;1;O;5.0;97;NR;0;NR;NR;;5164.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;25;1;O;5.5;97;NR;0;NR;NR;;5163.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;25;1;O;5.75;97;NR;0;NR;NR;;5161.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;25;1;O;5.8;34;NR;0;NR;NR;;4923.0
TE;ITA;10;PEC;2012;6;25;29;B;ARIS;FOL;m;F;0;25;1;O;6.05;19;NR;0;NR;NR;;2081.0
TE;ITA;10;PEC;2012;6;29;7;B;ARIS;FOL;m;F;0;25;1;O;6.2;11;NR;0;NR;NR;;332.0
TE;ITA;10;PEC;2012;6;21;66;B;ARIS;FOL;m;F;0;25;1;O;6.4;34;NR;0;NR;NR;;4922.0
TE;ITA;10;PEC;2012;6;19;68;B;ARIS;FOL;m;F;0;25;1;O;6.42;97;NR;0;NR;NR;;5162.0
TE;ITA;10;PEC;2012;6;26;23;B;ARIS;FOL;m;F;0;25;1;O;6.5;24;NR;0;NR;NR;;1758.0
