TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB_CATEGORY
TL;ITA;10;PEC;2013;7;6;38;L1;A;840;8;560;4
TL;ITA;10;PEC;2013;7;3;5;L1;A;820;10;160;6
TL;ITA;10;PEC;2013;7;1;13;L1;A;60;3;50;1
TL;ITA;10;PEC;2013;7;6;37;L1;A;680;17;410;6
TL;ITA;10;PEC;2013;7;5;31;L1;A;1690;14;50;2
TL;ITA;10;PEC;2013;7;5;28;L1;A;830;17;40;4
TL;ITA;10;PEC;2013;7;5;30;L1;A;80;6;30;1
TL;ITA;10;PEC;2013;7;5;33;L1;A;110;4;80;2
TL;ITA;10;PEC;2013;7;4;34;L1;A;120;6;10;2
TL;ITA;10;PEC;2013;7;5;29;L1;A;90;7;20;3
TL;ITA;10;PEC;2013;7;4;7;L1;A;2610;19;350;10
TL;ITA;10;PEC;2013;6;29;42;L1;A;685;15;260;12
TL;ITA;10;PEC;2013;6;29;43;L1;A;170;7;160;6
TL;ITA;10;PEC;2013;7;1;14;L1;A;110;7;30;2
TL;ITA;10;PEC;2013;6;30;24;L1;A;730;7;700;3
TL;ITA;10;PEC;2013;6;29;41;L1;A;420;9;360;7
TL;ITA;10;PEC;2013;7;1;12;L1;A;470;5;120;3
TL;ITA;10;PEC;2013;6;30;25;L1;A;12370;4;40;1
TL;ITA;10;PEC;2013;7;2;20;L1;A;140;4;70;2
TL;ITA;10;PEC;2013;6;29;44;L1;A;470;23;210;16
TL;ITA;10;PEC;2013;7;2;21;L1;A;440;5;40;2
TL;ITA;10;PEC;2013;6;28;45;L1;A;895;17;285;8
TL;ITA;10;PEC;2013;6;29;59;L1;A;655;16;250;4
TL;ITA;10;PEC;2013;6;28;51;L1;A;150;6;70;4
TL;ITA;10;PEC;2013;7;2;16;L1;A;100;5;50;2
TL;ITA;10;PEC;2013;6;28;60;L1;A;240;10;170;5
TL;ITA;10;PEC;2013;6;28;65;L1;A;240;10;140;1
TL;ITA;10;PEC;2013;7;2;17;L1;A;50;2;50;2
TL;ITA;10;PEC;2013;6;28;66;L1;A;3750;24;1510;15
TL;ITA;10;PEC;2013;7;2;10;L1;A;250;5;170;3
TL;ITA;10;PEC;2013;6;30;27;L1;A;110;5;10;1
TL;ITA;10;PEC;2013;6;28;67;L1;A;750;10;60;6
TL;ITA;10;PEC;2013;6;27;52;L1;A;892;9;240;6
TL;ITA;10;PEC;2013;6;27;57;L1;A;480;20;120;10
TL;ITA;10;PEC;2013;6;27;49;L1;A;180;4;100;2
