TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ITA;10;PEC;2015;6;14;7;B;ARIS;FOL;m;F;0;16;1;O;1.2;31;NR;0;NR;NR;;269.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;17;1;O;2.9;35;NR;0;NR;NR;;2829.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;17;1;O;3.0;35;NR;0;NR;NR;;2830.0
TE;ITA;10;PEC;2015;6;14;10;B;ARIS;FOL;m;F;0;18;1;O;2.09;11;NR;0;NR;NR;;478.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;18;1;O;3.26;58;NR;0;NR;NR;;3161.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;19;1;O;3.1;35;NR;0;NR;NR;;2831.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;19;1;O;3.11;58;NR;0;NR;NR;;3163.0
TE;ITA;10;PEC;2015;6;14;7;B;ARIS;FOL;m;F;0;19;1;O;3.2;31;NR;0;NR;NR;;270.0
TE;ITA;10;PEC;2015;6;9;33;B;ARIS;FOL;m;F;0;19;1;O;3.2;29;NR;0;NR;NR;;1469.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;19;1;O;3.21;58;NR;0;NR;NR;;3164.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;19;1;O;3.47;58;NR;0;NR;NR;;3165.0
TE;ITA;10;PEC;2015;6;9;29;B;ARIS;FOL;m;F;0;19;1;O;3.5;15;NR;0;NR;NR;;1344.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;19;1;O;3.9;35;NR;0;NR;NR;;2832.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;19;1;O;4.06;58;NR;0;NR;NR;;3166.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;20;1;O;3.4;35;NR;0;NR;NR;;2835.0
TE;ITA;10;PEC;2015;6;9;33;B;ARIS;FOL;m;F;0;20;1;O;3.9;29;NR;0;NR;NR;;1471.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;20;1;O;3.9;35;NR;0;NR;NR;;2836.0
TE;ITA;10;PEC;2015;6;9;33;B;ARIS;FOL;m;F;0;20;1;O;4.0;29;NR;0;NR;NR;;1472.0
TE;ITA;10;PEC;2015;6;14;10;B;ARIS;FOL;m;F;0;20;1;O;4.06;11;NR;0;NR;NR;;479.0
TE;ITA;10;PEC;2015;6;9;33;B;ARIS;FOL;m;F;0;20;1;O;4.1;29;NR;0;NR;NR;;1473.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;20;1;O;4.43;58;NR;0;NR;NR;;3168.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;20;1;O;4.6;35;NR;0;NR;NR;;2837.0
TE;ITA;10;PEC;2015;6;21;70;B;ARIS;FOL;m;F;0;20;1;O;5.3;13;NR;0;NR;NR;;3292.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;21;1;O;3.81;58;NR;0;NR;NR;;3170.0
TE;ITA;10;PEC;2015;6;22;65;B;ARIS;FOL;m;F;0;21;1;O;3.91;19;NR;0;NR;NR;;2778.0
TE;ITA;10;PEC;2015;6;9;33;B;ARIS;FOL;m;F;0;21;1;O;4.2;29;NR;0;NR;NR;;1477.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;21;1;O;4.29;58;NR;0;NR;NR;;3171.0
TE;ITA;10;PEC;2015;6;22;65;B;ARIS;FOL;m;F;0;21;1;O;4.4;19;NR;0;NR;NR;;2779.0
TE;ITA;10;PEC;2015;6;14;7;B;ARIS;FOL;m;F;0;21;1;O;4.5;31;NR;0;NR;NR;;274.0
TE;ITA;10;PEC;2015;6;9;29;B;ARIS;FOL;m;F;0;21;1;O;4.5;15;NR;0;NR;NR;;1345.0
TE;ITA;10;PEC;2015;6;9;29;B;ARIS;FOL;m;F;0;21;1;O;4.5;15;NR;0;NR;NR;;1346.0
TE;ITA;10;PEC;2015;6;22;66;B;ARIS;FOL;m;F;0;21;1;O;4.5;35;NR;0;NR;NR;;2839.0
TE;ITA;10;PEC;2015;6;20;68;B;ARIS;FOL;m;F;0;21;1;O;4.5;63;NR;0;NR;NR;;2991.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;21;1;O;4.56;58;NR;0;NR;NR;;3172.0
TE;ITA;10;PEC;2015;6;19;69;B;ARIS;FOL;m;F;0;21;1;O;4.78;58;NR;0;NR;NR;;3173.0
TE;ITA;10;PEC;2015;6;21;70;B;ARIS;FOL;m;F;0;21;1;O;6.0;13;NR;0;NR;NR;;3293.0
