TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB_CATEGORY
TL;ITA;10;PEC;2016;9;2;24;L1;A;200;4;10;1
TL;ITA;10;PEC;2016;9;9;54;L1;A;120;1;120;1
TL;ITA;10;PEC;2016;9;10;69;L1;A;50;4;20;2
TL;ITA;10;PEC;2016;8;28;59;L1;A;350;11;80;3
TL;ITA;10;PEC;2016;9;5;20;L1;A;610;7;90;2
TL;ITA;10;PEC;2016;8;29;44;L1;A;580;19;230;7
TL;ITA;10;PEC;2016;8;30;36;L1;A;3490;10;150;3
TL;ITA;10;PEC;2016;9;2;22;L1;A;40;7;30;6
TL;ITA;10;PEC;2016;9;1;9;L1;A;1260;7;140;3
TL;ITA;10;PEC;2016;9;5;21;L1;A;170;6;20;3
TL;ITA;10;PEC;2016;9;9;52;L1;A;940;8;80;2
TL;ITA;10;PEC;2016;9;5;12;L1;A;185;8;110;6
TL;ITA;10;PEC;2016;8;31;30;L1;A;2860;11;30;2
TL;ITA;10;PEC;2016;8;31;37;L1;A;4270;23;420;16
TL;ITA;10;PEC;2016;9;9;55;L1;A;200;4;30;2
TL;ITA;10;PEC;2016;8;28;45;L1;A;1460;13;560;3
TL;ITA;10;PEC;2016;9;5;14;L1;A;490;7;110;3
TL;ITA;10;PEC;2016;8;29;43;L1;A;1150;22;530;12
TL;ITA;10;PEC;2016;9;4;11;L1;A;300;8;150;5
TL;ITA;10;PEC;2016;9;1;26;L1;A;210;8;20;2
TL;ITA;10;PEC;2016;9;4;7;L1;A;4680;10;50;2
TL;ITA;10;PEC;2016;8;31;28;L1;A;760;14;50;3
TL;ITA;10;PEC;2016;8;30;47;L1;A;9160;44;270;8
TL;ITA;10;PEC;2016;9;2;23;L1;A;50;6;40;5
TL;ITA;10;PEC;2016;9;10;62;L1;A;680;10;610;5
TL;ITA;10;PEC;2016;9;4;8;L1;A;12220;24;200;10
TL;ITA;10;PEC;2016;9;3;5;L1;A;60;5;10;1
TL;ITA;10;PEC;2016;9;9;57;L1;A;270;8;10;1
TL;ITA;10;PEC;2016;9;3;6;L1;A;7030;65;190;3
TL;ITA;10;PEC;2016;9;10;61;L1;A;2830;10;130;3
TL;ITA;10;PEC;2016;8;31;38;L1;A;900;6;70;4
TL;ITA;10;PEC;2016;9;4;34;L1;A;50;2;30;1
TL;ITA;10;PEC;2016;9;3;3;L1;A;2800;6;30;2
TL;ITA;10;PEC;2016;9;3;4;L1;A;30;2;30;2
TL;ITA;10;PEC;2016;8;31;31;L1;A;4390;40;130;14
TL;ITA;10;PEC;2016;9;9;63;L1;A;1830;22;510;6
TL;ITA;10;PEC;2016;9;8;70;L1;A;50;5;20;2
TL;ITA;10;PEC;2016;9;3;1;L1;A;250;4;220;1
TL;ITA;10;PEC;2016;8;29;42;L1;A;170;19;60;4
TL;ITA;10;PEC;2016;8;30;40;L1;A;90;4;80;3
TL;ITA;10;PEC;2016;9;3;46;L1;A;50;3;50;3
TL;ITA;10;PEC;2016;8;31;35;L1;A;3800;13;90;3
TL;ITA;10;PEC;2016;9;10;56;L1;A;370;14;120;8
TL;ITA;10;PEC;2016;8;29;66;L1;A;940;15;210;6
TL;ITA;10;PEC;2016;9;2;17;L1;A;20;3;20;3
TL;ITA;10;PEC;2016;9;2;19;L1;A;30;2;10;1
TL;ITA;10;PEC;2016;8;29;65;L1;A;120;11;70;4
TL;ITA;10;PEC;2016;8;28;51;L1;A;60;2;10;1
TL;ITA;10;PEC;2016;9;8;58;L1;A;90;6;50;3
TL;ITA;10;PEC;2016;8;28;60;L1;A;60;3;30;2
TL;ITA;10;PEC;2016;9;8;53;L1;A;150;5;50;1
TL;ITA;10;PEC;2016;9;1;29;L1;A;50;4;50;4
TL;ITA;10;PEC;2016;9;1;25;L1;A;60;4;30;2
TL;ITA;10;PEC;2016;9;5;13;L1;A;110;5;50;1
TL;ITA;10;PEC;2016;9;7;18;L1;A;490;5;420;4
TL;ITA;10;PEC;2016;9;10;49;L1;A;250;4;50;2
TL;ITA;10;PEC;2016;8;29;67;L1;A;345;24;250;10
TL;ITA;10;PEC;2016;8;30;41;L1;A;150;4;20;1
TL;ITA;10;PEC;2016;9;2;19;L1;B;30;2;20;1
TL;ITA;10;PEC;2016;9;2;23;L1;B;50;6;10;1
TL;ITA;10;PEC;2016;8;31;30;L1;B;2860;11;50;4
TL;ITA;10;PEC;2016;8;29;66;L1;B;940;15;360;7
TL;ITA;10;PEC;2016;9;2;24;L1;B;200;4;20;1
TL;ITA;10;PEC;2016;9;2;27;L1;B;520;4;50;1
TL;ITA;10;PEC;2016;9;1;33;L1;B;70;4;30;1
TL;ITA;10;PEC;2016;9;1;25;L1;B;60;4;20;1
TL;ITA;10;PEC;2016;9;1;26;L1;B;210;8;100;3
TL;ITA;10;PEC;2016;9;10;48;L1;B;320;4;220;1
TL;ITA;10;PEC;2016;9;10;56;L1;B;370;14;230;5
TL;ITA;10;PEC;2016;8;28;45;L1;B;1460;13;180;4
TL;ITA;10;PEC;2016;9;10;49;L1;B;250;4;200;2
TL;ITA;10;PEC;2016;8;28;51;L1;B;60;2;50;1
TL;ITA;10;PEC;2016;9;9;52;L1;B;940;8;170;3
TL;ITA;10;PEC;2016;8;29;44;L1;B;580;19;80;4
TL;ITA;10;PEC;2016;8;31;28;L1;B;760;14;120;3
TL;ITA;10;PEC;2016;9;9;50;L1;B;470;3;20;1
TL;ITA;10;PEC;2016;8;29;43;L1;B;1150;22;320;4
TL;ITA;10;PEC;2016;9;9;57;L1;B;270;8;200;5
TL;ITA;10;PEC;2016;9;9;63;L1;B;1830;22;670;8
TL;ITA;10;PEC;2016;9;5;13;L1;B;110;5;30;1
TL;ITA;10;PEC;2016;9;8;64;L1;B;170;6;80;3
TL;ITA;10;PEC;2016;9;7;18;L1;B;490;5;70;1
TL;ITA;10;PEC;2016;8;30;32;L1;B;330;9;240;7
TL;ITA;10;PEC;2016;9;7;16;L1;B;80;3;70;2
TL;ITA;10;PEC;2016;9;5;20;L1;B;610;7;70;1
TL;ITA;10;PEC;2016;8;30;41;L1;B;150;4;20;1
TL;ITA;10;PEC;2016;9;10;62;L1;B;680;10;10;1
TL;ITA;10;PEC;2016;8;30;39;L1;B;40;3;20;1
TL;ITA;10;PEC;2016;9;5;21;L1;B;170;6;150;3
TL;ITA;10;PEC;2016;8;30;36;L1;B;3490;10;90;2
TL;ITA;10;PEC;2016;8;28;59;L1;B;350;11;180;3
TL;ITA;10;PEC;2016;9;5;12;L1;B;185;8;70;1
TL;ITA;10;PEC;2016;9;5;14;L1;B;490;7;260;3
TL;ITA;10;PEC;2016;8;31;37;L1;B;4270;23;320;2
TL;ITA;10;PEC;2016;9;4;10;L1;B;1230;9;130;5
TL;ITA;10;PEC;2016;9;4;7;L1;B;4680;10;130;3
TL;ITA;10;PEC;2016;9;4;8;L1;B;12220;24;110;3
TL;ITA;10;PEC;2016;8;30;47;L1;B;9160;44;2630;15
TL;ITA;10;PEC;2016;9;3;6;L1;B;7030;65;340;2
TL;ITA;10;PEC;2016;9;4;34;L1;B;50;2;20;1
TL;ITA;10;PEC;2016;8;31;31;L1;B;4390;40;2280;21
TL;ITA;10;PEC;2016;9;10;61;L1;B;2830;10;70;1
TL;ITA;10;PEC;2016;8;30;40;L1;B;90;4;10;1
TL;ITA;10;PEC;2016;8;31;35;L1;B;3800;13;3480;3
TL;ITA;10;PEC;2016;9;8;58;L1;C;90;6;20;2
TL;ITA;10;PEC;2016;8;28;45;L1;C;1460;13;30;3
TL;ITA;10;PEC;2016;8;28;59;L1;C;350;11;60;4
TL;ITA;10;PEC;2016;8;29;65;L1;C;120;11;30;6
TL;ITA;10;PEC;2016;8;29;67;L1;C;345;24;80;13
TL;ITA;10;PEC;2016;8;29;44;L1;C;580;19;90;7
TL;ITA;10;PEC;2016;8;29;43;L1;C;1150;22;130;4
TL;ITA;10;PEC;2016;8;29;42;L1;C;170;19;100;14
TL;ITA;10;PEC;2016;8;30;32;L1;C;330;9;10;1
TL;ITA;10;PEC;2016;8;30;41;L1;C;150;4;110;2
TL;ITA;10;PEC;2016;8;30;39;L1;C;40;3;20;2
TL;ITA;10;PEC;2016;8;30;36;L1;C;3490;10;10;3
TL;ITA;10;PEC;2016;8;31;37;L1;C;4270;23;30;3
TL;ITA;10;PEC;2016;8;30;47;L1;C;9160;44;190;9
TL;ITA;10;PEC;2016;8;31;31;L1;C;4390;40;30;3
TL;ITA;10;PEC;2016;8;31;35;L1;C;3800;13;10;3
TL;ITA;10;PEC;2016;8;31;30;L1;C;2860;11;20;4
TL;ITA;10;PEC;2016;9;1;33;L1;C;70;4;20;2
