TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;SEX;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_OTOLITH;LENGTH_CLASS;MATURITY;MATSUB;INDIVIDUAL_WEIGHT;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_WEIGHT;OTOLITH_SAMPLED;NO_PER_SEX_MEASURED_IN_SUB_SAMPLE_FOR_AGEING;OTOLITH_READ;AGE;OTOLITH_CODE;RECORD_NUMBER
TE;ITA;10;PEC;2014;9;4;64;B;ARIS;FOL;m;F;0;25;1;O;6.1;6;NR;0;NR;NR;;3689.0
TE;ITA;10;PEC;2014;9;5;69;B;ARIS;FOL;m;F;0;26;1;O;7.7;24;NR;0;NR;NR;;3990.0
TE;ITA;10;PEC;2014;9;5;69;B;ARIS;FOL;m;F;0;27;1;O;7.8;24;NR;0;NR;NR;;3991.0
TE;ITA;10;PEC;2014;9;5;69;B;ARIS;FOL;m;F;0;27;1;O;8.0;24;NR;0;NR;NR;;3992.0
TE;ITA;10;PEC;2014;9;5;69;B;ARIS;FOL;m;F;0;28;1;O;9.0;24;NR;0;NR;NR;;3993.0
TE;ITA;10;PEC;2014;9;5;69;B;ARIS;FOL;m;F;0;29;1;O;8.6;24;NR;0;NR;NR;;3994.0
TE;ITA;10;PEC;2014;9;5;69;B;ARIS;FOL;m;F;0;29;1;O;9.4;24;NR;0;NR;NR;;3995.0
TE;ITA;10;PEC;2014;9;14;39;B;ARIS;FOL;m;F;0;29;1;O;9.8;14;NR;0;NR;NR;;2098.0
TE;ITA;10;PEC;2014;9;10;7;B;ARIS;FOL;m;F;0;29;1;O;10.05;11;NR;0;NR;NR;;329.0
TE;ITA;10;PEC;2014;9;6;65;B;ARIS;FOL;m;F;0;29;1;O;11.2;16;NR;0;NR;NR;;3741.0
