TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB_CATEGORY
TL;ITA;10;PEC;2014;9;8;35;L1;A;470;14;370;8
TL;ITA;10;PEC;2014;9;7;32;L1;A;1630;3;50;1
TL;ITA;10;PEC;2014;9;6;66;L1;A;2090;13;410;8
TL;ITA;10;PEC;2014;9;3;63;L1;A;50;1;50;1
TL;ITA;10;PEC;2014;9;7;47;L1;A;200;3;50;1
TL;ITA;10;PEC;2014;9;7;43;L1;A;720;19;300;11
TL;ITA;10;PEC;2014;9;7;44;L1;A;1150;15;400;6
TL;ITA;10;PEC;2014;9;7;45;L1;A;650;18;360;10
TL;ITA;10;PEC;2014;9;7;51;L1;A;260;6;20;2
TL;ITA;10;PEC;2014;9;6;60;L1;A;10;2;10;2
TL;ITA;10;PEC;2014;9;6;65;L1;A;355;11;350;10
TL;ITA;10;PEC;2014;9;6;59;L1;A;900;8;410;2
TL;ITA;10;PEC;2014;9;6;67;L1;A;510;12;80;6
TL;ITA;10;PEC;2014;9;13;26;L1;A;170;5;50;1
TL;ITA;10;PEC;2014;9;13;24;L1;A;270;15;200;11
TL;ITA;10;PEC;2014;9;3;70;L1;A;70;4;20;2
TL;ITA;10;PEC;2014;9;13;23;L1;A;30;4;20;3
TL;ITA;10;PEC;2014;9;12;12;L1;A;70;6;50;3
TL;ITA;10;PEC;2014;9;4;64;L1;A;125;7;10;3
TL;ITA;10;PEC;2014;9;3;52;L1;A;40;4;40;4
TL;ITA;10;PEC;2014;9;12;21;L1;A;80;3;40;2
TL;ITA;10;PEC;2014;9;3;50;L1;A;300;6;160;4
TL;ITA;10;PEC;2014;9;12;20;L1;A;150;3;10;1
TL;ITA;10;PEC;2014;9;11;3;L1;A;40;2;30;1
TL;ITA;10;PEC;2014;9;4;68;L1;A;120;4;30;2
TL;ITA;10;PEC;2014;9;14;41;L1;A;70;4;50;3
TL;ITA;10;PEC;2014;9;11;4;L1;A;360;6;300;5
TL;ITA;10;PEC;2014;9;4;58;L1;A;50;5;10;1
TL;ITA;10;PEC;2014;9;14;38;L1;A;370;7;200;4
TL;ITA;10;PEC;2014;9;11;1;L1;A;20;1;20;1
TL;ITA;10;PEC;2014;9;11;2;L1;A;1220;3;320;2
TL;ITA;10;PEC;2014;9;4;53;L1;A;420;7;200;2
TL;ITA;10;PEC;2014;9;3;57;L1;A;300;5;20;3
TL;ITA;10;PEC;2014;9;11;46;L1;A;130;5;90;4
TL;ITA;10;PEC;2014;9;10;34;L1;A;220;9;130;4
TL;ITA;10;PEC;2014;9;5;54;L1;A;130;4;30;2
TL;ITA;10;PEC;2014;9;14;39;L1;A;220;9;170;5
TL;ITA;10;PEC;2014;9;5;49;L1;A;190;4;150;3
TL;ITA;10;PEC;2014;9;14;37;L1;A;3400;25;750;24
TL;ITA;10;PEC;2014;9;10;8;L1;A;510;16;80;5
TL;ITA;10;PEC;2014;9;5;56;L1;A;1085;20;360;12
TL;ITA;10;PEC;2014;9;13;9;L1;A;90;8;20;3
TL;ITA;10;PEC;2014;9;10;10;L1;A;380;4;120;3
TL;ITA;10;PEC;2014;9;10;11;L1;A;4470;10;390;3
TL;ITA;10;PEC;2014;9;10;7;L1;A;60;6;10;3
TL;ITA;10;PEC;2014;9;5;61;L1;A;280;9;80;3
TL;ITA;10;PEC;2014;9;9;15;L1;A;840;6;500;4
TL;ITA;10;PEC;2014;9;9;13;L1;A;70;2;30;1
TL;ITA;10;PEC;2014;9;9;18;L1;A;260;6;260;6
TL;ITA;10;PEC;2014;9;9;19;L1;A;290;8;80;3
TL;ITA;10;PEC;2014;9;9;22;L1;A;50;1;50;1
TL;ITA;10;PEC;2014;9;5;48;L1;A;50;4;50;4
TL;ITA;10;PEC;2014;9;5;62;L1;A;1260;20;480;9
TL;ITA;10;PEC;2014;9;13;27;L1;A;100;5;70;4
TL;ITA;10;PEC;2014;9;8;29;L1;A;120;7;70;2
TL;ITA;10;PEC;2014;9;8;31;L1;A;1590;10;150;4
TL;ITA;10;PEC;2014;9;8;28;L1;A;2090;4;10;1
TL;ITA;10;PEC;2014;9;8;30;L1;A;135;6;20;3
TL;ITA;10;PEC;2014;9;8;33;L1;A;1000;3;100;1
TL;ITA;10;PEC;2014;9;5;69;L1;A;30;6;10;3
TL;ITA;10;PEC;2014;9;12;20;L1;B;150;3;100;1
TL;ITA;10;PEC;2014;9;3;50;L1;B;300;6;80;1
TL;ITA;10;PEC;2014;9;3;55;L1;B;30;2;2;1
TL;ITA;10;PEC;2014;9;3;57;L1;B;300;5;80;1
TL;ITA;10;PEC;2014;9;4;64;L1;B;125;7;20;1
TL;ITA;10;PEC;2014;9;4;68;L1;B;120;4;80;1
TL;ITA;10;PEC;2014;9;4;58;L1;B;50;5;10;1
TL;ITA;10;PEC;2014;9;4;53;L1;B;420;7;80;1
TL;ITA;10;PEC;2014;9;5;54;L1;B;130;4;100;2
TL;ITA;10;PEC;2014;9;5;49;L1;B;190;4;40;1
TL;ITA;10;PEC;2014;9;5;56;L1;B;1085;20;680;5
TL;ITA;10;PEC;2014;9;5;62;L1;B;1260;20;300;7
TL;ITA;10;PEC;2014;9;6;66;L1;B;2090;13;800;3
TL;ITA;10;PEC;2014;9;6;67;L1;B;510;12;90;2
TL;ITA;10;PEC;2014;9;6;59;L1;B;900;8;460;2
TL;ITA;10;PEC;2014;9;7;51;L1;B;260;6;30;1
TL;ITA;10;PEC;2014;9;7;45;L1;B;650;18;270;5
TL;ITA;10;PEC;2014;9;7;44;L1;B;1150;15;710;5
TL;ITA;10;PEC;2014;9;7;43;L1;B;720;19;230;2
TL;ITA;10;PEC;2014;9;7;47;L1;B;200;3;150;2
TL;ITA;10;PEC;2014;9;7;32;L1;B;1630;3;80;1
TL;ITA;10;PEC;2014;9;8;35;L1;B;470;14;80;2
TL;ITA;10;PEC;2014;9;8;30;L1;B;135;6;80;1
TL;ITA;10;PEC;2014;9;8;28;L1;B;2090;4;80;2
TL;ITA;10;PEC;2014;9;8;31;L1;B;1590;10;350;5
TL;ITA;10;PEC;2014;9;9;19;L1;B;290;8;50;2
TL;ITA;10;PEC;2014;9;9;17;L1;B;100;1;100;1
TL;ITA;10;PEC;2014;9;9;16;L1;B;1200;1;1200;1
TL;ITA;10;PEC;2014;9;9;13;L1;B;70;2;40;1
TL;ITA;10;PEC;2014;9;10;10;L1;B;380;4;260;1
TL;ITA;10;PEC;2014;9;10;8;L1;B;510;16;330;3
TL;ITA;10;PEC;2014;9;10;34;L1;B;220;9;60;2
TL;ITA;10;PEC;2014;9;11;46;L1;B;130;5;40;1
TL;ITA;10;PEC;2014;9;11;2;L1;B;1220;3;900;1
TL;ITA;10;PEC;2014;9;11;5;L1;B;130;4;60;1
TL;ITA;10;PEC;2014;9;13;24;L1;B;270;15;50;2
TL;ITA;10;PEC;2014;9;13;27;L1;B;100;5;30;1
TL;ITA;10;PEC;2014;9;13;9;L1;B;90;8;50;2
TL;ITA;10;PEC;2014;9;14;38;L1;B;370;7;50;1
TL;ITA;10;PEC;2014;9;14;36;L1;B;270;9;100;1
TL;ITA;10;PEC;2014;9;14;39;L1;B;220;9;30;1
TL;ITA;10;PEC;2014;9;13;25;L1;C;70;6;20;2
TL;ITA;10;PEC;2014;9;4;58;L1;C;50;5;30;3
TL;ITA;10;PEC;2014;9;12;12;L1;C;70;6;20;3
TL;ITA;10;PEC;2014;9;14;36;L1;C;270;9;100;6
TL;ITA;10;PEC;2014;9;7;43;L1;C;720;19;60;4
TL;ITA;10;PEC;2014;9;9;19;L1;C;290;8;20;2
TL;ITA;10;PEC;2014;9;4;53;L1;C;420;7;30;2
TL;ITA;10;PEC;2014;9;14;40;L1;C;1030;2;30;1
TL;ITA;10;PEC;2014;9;10;34;L1;C;220;9;30;3
TL;ITA;10;PEC;2014;9;12;21;L1;C;80;3;40;1
TL;ITA;10;PEC;2014;9;13;24;L1;C;270;15;10;1
TL;ITA;10;PEC;2014;9;7;44;L1;C;1150;15;20;3
TL;ITA;10;PEC;2014;9;5;69;L1;C;30;6;20;3
TL;ITA;10;PEC;2014;9;3;55;L1;C;30;2;10;1
TL;ITA;10;PEC;2014;9;8;35;L1;C;470;14;20;4
TL;ITA;10;PEC;2014;9;4;64;L1;C;125;7;20;1
TL;ITA;10;PEC;2014;9;5;56;L1;C;1085;20;20;1
TL;ITA;10;PEC;2014;9;10;11;L1;C;4470;10;10;4
TL;ITA;10;PEC;2014;9;6;67;L1;C;510;12;20;2
TL;ITA;10;PEC;2014;9;6;59;L1;C;900;8;30;4
TL;ITA;10;PEC;2014;9;10;7;L1;C;60;6;50;3
TL;ITA;10;PEC;2014;9;8;30;L1;C;135;6;15;1
TL;ITA;10;PEC;2014;9;5;61;L1;C;280;9;80;5
TL;ITA;10;PEC;2014;9;11;5;L1;C;130;4;40;2
TL;ITA;10;PEC;2014;9;14;38;L1;C;370;7;100;1
TL;ITA;10;PEC;2014;9;7;51;L1;C;260;6;190;2
TL;ITA;10;PEC;2014;9;10;8;L1;C;510;16;50;6
TL;ITA;10;PEC;2014;9;13;26;L1;C;170;5;120;4
TL;ITA;10;PEC;2014;9;12;14;L1;C;20;3;20;3
TL;ITA;10;PEC;2014;9;14;39;L1;C;220;9;20;3
TL;ITA;10;PEC;2014;9;7;42;L1;C;50;1;50;1
TL;ITA;10;PEC;2014;9;7;45;L1;C;650;18;20;3
TL;ITA;10;PEC;2014;9;5;62;L1;C;1260;20;30;3
TL;ITA;10;PEC;2014;9;8;29;L1;C;120;7;20;4
TL;ITA;10;PEC;2014;9;13;23;L1;C;30;4;10;1
TL;ITA;10;PEC;2014;9;10;11;L1;E;4470;10;4070;3
TL;ITA;10;PEC;2014;9;14;40;L1;E;1030;2;1000;1
TL;ITA;10;PEC;2014;9;10;8;L1;E;510;16;50;2
TL;ITA;10;PEC;2014;9;12;20;L1;E;150;3;40;1
TL;ITA;10;PEC;2014;9;7;43;L1;E;720;19;120;1
TL;ITA;10;PEC;2014;9;8;28;L1;E;2090;4;2000;1
TL;ITA;10;PEC;2014;9;5;62;L1;E;1260;20;450;1
TL;ITA;10;PEC;2014;9;8;31;L1;E;1590;10;1090;1
TL;ITA;10;PEC;2014;9;6;67;L1;E;510;12;320;2
TL;ITA;10;PEC;2014;9;5;61;L1;E;280;9;120;1
TL;ITA;10;PEC;2014;9;9;15;L1;E;840;6;340;2
TL;ITA;10;PEC;2014;9;4;53;L1;E;420;7;110;2
TL;ITA;10;PEC;2014;9;7;51;L1;E;260;6;20;1
TL;ITA;10;PEC;2014;9;5;56;L1;E;1085;20;20;1
TL;ITA;10;PEC;2014;9;7;44;L1;F;1150;15;20;1
TL;ITA;10;PEC;2014;9;5;56;L1;F;1085;20;5;1
TL;ITA;10;PEC;2014;9;6;65;L1;F;355;11;5;1
TL;ITA;10;PEC;2014;9;11;5;L1;F;130;4;30;1
TL;ITA;10;PEC;2014;9;11;4;L1;F;360;6;60;1
TL;ITA;10;PEC;2014;9;8;30;L1;F;135;6;20;1
TL;ITA;10;PEC;2014;9;4;64;L1;F;125;7;15;1
TL;ITA;10;PEC;2014;9;9;19;L1;G;290;8;140;1
TL;ITA;10;PEC;2014;9;7;43;L1;G;720;19;10;1
TL;ITA;10;PEC;2014;9;14;38;L1;G;370;7;20;1
TL;ITA;10;PEC;2014;9;8;29;L1;G;120;7;30;1
TL;ITA;10;PEC;2014;9;6;66;L1;G;2090;13;650;1
TL;ITA;10;PEC;2014;9;14;36;L1;G;270;9;50;1
TL;ITA;10;PEC;2014;9;14;37;L1;G;3400;25;2650;1
TL;ITA;10;PEC;2014;9;3;57;L1;G;300;5;200;1
TL;ITA;10;PEC;2014;9;4;68;L1;G;120;4;10;1
TL;ITA;10;PEC;2014;9;11;3;L1;G;40;2;10;1
TL;ITA;10;PEC;2014;9;4;64;L1;G;125;7;60;1
TL;ITA;10;PEC;2014;9;13;9;L1;G;90;8;10;1
TL;ITA;10;PEC;2014;9;3;70;L1;H;70;4;30;1
TL;ITA;10;PEC;2014;9;8;33;L1;H;1000;3;900;2
TL;ITA;10;PEC;2014;9;6;66;L1;I;2090;13;230;1
TL;ITA;10;PEC;2014;9;13;24;L1;I;270;15;10;1
TL;ITA;10;PEC;2014;9;3;70;L1;I;70;4;20;1
TL;ITA;10;PEC;2014;9;7;32;L1;I;1630;3;1500;1
TL;ITA;10;PEC;2014;9;13;9;L1;I;90;8;10;2
TL;ITA;10;PEC;2014;9;13;25;L1;I;70;6;50;4
TL;ITA;10;PEC;2014;9;3;50;L1;I;300;6;60;1
TL;ITA;10;PEC;2014;9;14;41;L1;I;70;4;20;1
TL;ITA;10;PEC;2014;9;14;36;L1;I;270;9;20;1
TL;ITA;10;PEC;2014;9;13;23;L2;A;170;1;170;1
TL;ITA;10;PEC;2014;9;3;57;L2;B;1700;1;1700;1
TL;ITA;10;PEC;2014;9;7;51;L2;B;600;1;600;1
TL;ITA;10;PEC;2014;9;12;12;L2;B;2000;1;2000;1
TL;ITA;10;PEC;2014;9;13;25;L2;B;100;1;100;1
TL;ITA;10;PEC;2014;9;6;66;L2;B;530;1;530;1
TL;ITA;10;PEC;2014;9;10;8;L3;A;30;1;30;1
TL;ITA;10;PEC;2014;9;9;15;L3;A;40;1;40;1
TL;ITA;10;PEC;2014;9;10;34;L3;A;20;1;20;1
TL;ITA;10;PEC;2014;9;6;66;L3;A;30;2;20;1
TL;ITA;10;PEC;2014;9;14;37;L3;A;50;3;40;2
TL;ITA;10;PEC;2014;9;14;39;L3;A;40;1;40;1
TL;ITA;10;PEC;2014;9;8;31;L3;A;80;2;80;2
TL;ITA;10;PEC;2014;9;5;62;L3;A;20;1;20;1
TL;ITA;10;PEC;2014;9;3;57;L3;A;15;1;15;1
TL;ITA;10;PEC;2014;9;13;25;L3;A;30;1;30;1
TL;ITA;10;PEC;2014;9;12;12;L3;A;30;1;30;1
TL;ITA;10;PEC;2014;9;13;26;L3;A;30;1;30;1
TL;ITA;10;PEC;2014;9;6;59;L3;A;10;1;10;1
TL;ITA;10;PEC;2014;9;8;35;L3;B;10;1;10;1
TL;ITA;10;PEC;2014;9;13;24;L3;B;80;1;80;1
TL;ITA;10;PEC;2014;9;5;69;L3;B;20;1;20;1
TL;ITA;10;PEC;2014;9;14;37;L3;B;50;3;10;1
TL;ITA;10;PEC;2014;9;8;33;L3;B;75;4;75;4
TL;ITA;10;PEC;2014;9;6;66;L3;C;30;2;10;1
TL;ITA;10;PEC;2014;9;4;58;L3;C;400;1;400;1
TL;ITA;10;PEC;2014;9;3;63;L3;C;15;1;15;1
TL;ITA;10;PEC;2014;9;8;29;L3;D;160;2;160;2
TL;ITA;10;PEC;2014;9;4;64;L3;D;160;1;160;1
TL;ITA;10;PEC;2014;9;10;10;L3;D;2630;1;2630;1
TL;ITA;10;PEC;2014;9;5;62;L4;A;330;2;330;2
TL;ITA;10;PEC;2014;9;7;43;L4;A;390;2;390;2
TL;ITA;10;PEC;2014;9;7;32;L4;A;200;1;200;1
TL;ITA;10;PEC;2014;9;8;31;L4;A;500;1;500;1
TL;ITA;10;PEC;2014;9;14;38;L4;A;200;1;200;1
TL;ITA;10;PEC;2014;9;5;61;L4;A;430;3;430;3
TL;ITA;10;PEC;2014;9;10;11;L4;A;20;1;20;1
TL;ITA;10;PEC;2014;9;14;36;L4;A;250;1;250;1
TL;ITA;10;PEC;2014;9;10;8;L4;A;180;1;180;1
TL;ITA;10;PEC;2014;9;12;20;L4;A;300;1;300;1
TL;ITA;10;PEC;2014;9;6;66;L4;A;500;3;500;3
TL;ITA;10;PEC;2014;9;7;45;L4;A;360;2;360;2
TL;ITA;10;PEC;2014;9;14;37;L4;A;160;1;160;1
TL;ITA;10;PEC;2014;9;7;45;L5;A;60;1;60;1
TL;ITA;10;PEC;2014;9;13;25;L5;A;300;2;300;2
TL;ITA;10;PEC;2014;9;14;37;L5;A;4510;2;1110;1
TL;ITA;10;PEC;2014;9;14;36;L5;A;350;1;350;1
TL;ITA;10;PEC;2014;9;12;14;L5;B;130;2;100;1
TL;ITA;10;PEC;2014;9;11;5;L5;B;100;1;100;1
TL;ITA;10;PEC;2014;9;8;29;L5;B;50;1;50;1
TL;ITA;10;PEC;2014;9;7;44;L5;B;340;1;340;1
TL;ITA;10;PEC;2014;9;10;8;L5;C;160;1;160;1
TL;ITA;10;PEC;2014;9;11;46;L5;C;170;3;170;3
TL;ITA;10;PEC;2014;9;7;42;L5;C;100;1;100;1
TL;ITA;10;PEC;2014;9;10;10;L5;C;220;2;220;2
TL;ITA;10;PEC;2014;9;14;37;L5;C;4510;2;3400;1
TL;ITA;10;PEC;2014;9;10;7;L5;C;30;1;30;1
TL;ITA;10;PEC;2014;9;3;63;L5;D;300;1;300;1
TL;ITA;10;PEC;2014;9;12;21;L5;D;30;1;30;1
TL;ITA;10;PEC;2014;9;5;49;L5;D;110;1;110;1
TL;ITA;10;PEC;2014;9;10;11;L5;D;30;3;30;3
TL;ITA;10;PEC;2014;9;5;61;L5;D;20;1;20;1
TL;ITA;10;PEC;2014;9;8;31;L5;D;160;4;160;4
TL;ITA;10;PEC;2014;9;12;14;L5;D;130;2;30;1
TL;ITA;10;PEC;2014;9;14;40;L6;0;100;1;100;1
TL;ITA;10;PEC;2014;9;7;51;L6;0;260;2;260;2
TL;ITA;10;PEC;2014;9;3;50;L7;0;130;1;130;1
TL;ITA;10;PEC;2014;9;10;11;L8;0;30;1;30;1
TL;ITA;10;PEC;2014;9;6;65;L8;0;50;1;50;1
TL;ITA;10;PEC;2014;9;13;26;L8;0;350;2;350;2
TL;ITA;10;PEC;2014;9;5;61;L8;0;210;2;210;2
TL;ITA;10;PEC;2014;9;5;62;L8;0;2500;2;2500;2
TL;ITA;10;PEC;2014;9;7;32;L8;0;50;1;50;1
