"Species";"LENGTH_CLASS";"LENGTHS";"WEIGHTS";"OTOLITH"
"RAJA MIR";230;1;1;0
"RAJA MIR";245;1;1;0
"RAJA MIR";265;1;1;0
"RAJA MIR";285;1;1;0
"RAJA MIR";295;1;1;0
"RAJA MIR";305;2;2;0
"RAJA MIR";315;2;2;0
"RAJA MIR";320;3;3;0
"RAJA MIR";325;1;1;0
"RAJA MIR";335;2;2;0
"RAJA MIR";340;1;1;0
"RAJA MIR";360;1;1;0
"RAJA MIR";365;2;2;0
"RAJA MIR";375;1;1;0
"RAJA MIR";380;1;1;0
"RAJA MIR";385;1;1;0
"RAJA MIR";390;2;2;0
"RAJA MIR";395;1;1;0
"RAJA MIR";400;3;3;0
"RAJA MIR";420;1;1;0
"RAJA MIR";425;4;4;0
"RAJA MIR";430;2;2;0
"RAJA MIR";435;1;1;0
"RAJA MIR";440;1;1;0
"RAJA MIR";460;2;2;0
"RAJA OXY";280;1;1;0
"SCYM LIC";625;1;1;0
"SCYM LIC";840;1;1;0
"SCYO CAN";90;1;1;0
"SCYO CAN";95;1;1;0
"SCYO CAN";110;3;3;0
"SCYO CAN";115;2;2;0
"SCYO CAN";125;4;4;0
"SCYO CAN";130;7;7;0
"SCYO CAN";135;5;5;0
"SCYO CAN";140;12;12;0
"SCYO CAN";145;6;6;0
"SCYO CAN";150;9;9;0
"SCYO CAN";155;13;12;0
"SCYO CAN";160;15;15;0
"SCYO CAN";165;12;12;0
"SCYO CAN";170;11;9;0
"SCYO CAN";175;10;10;0
"SCYO CAN";180;7;4;0
"SCYO CAN";185;14;13;0
"SCYO CAN";190;12;8;0
"SCYO CAN";195;7;7;0
"SCYO CAN";200;9;9;0
"SCYO CAN";205;3;3;0
"SCYO CAN";210;2;2;0
"SCYO CAN";215;4;4;0
"SCYO CAN";220;5;5;0
"SCYO CAN";225;2;2;0
"SCYO CAN";235;2;2;0
"SCYO CAN";240;2;2;0
"SCYO CAN";245;4;4;0
"SCYO CAN";255;7;7;0
"SCYO CAN";260;3;3;0
"SCYO CAN";265;5;5;0
"SCYO CAN";270;3;3;0
"SCYO CAN";275;3;3;0
"SCYO CAN";280;7;5;0
"SCYO CAN";285;5;4;0
"SCYO CAN";290;5;4;0
"SCYO CAN";295;8;7;0
"SCYO CAN";300;4;3;0
"SCYO CAN";305;6;5;0
"SCYO CAN";310;10;8;0
"SCYO CAN";315;7;6;0
"SCYO CAN";320;9;4;0
"SCYO CAN";325;5;4;0
"SCYO CAN";330;6;6;0
"SCYO CAN";335;7;7;0
"SCYO CAN";340;8;5;0
"SCYO CAN";345;8;8;0
"SCYO CAN";350;7;5;0
"SCYO CAN";355;6;5;0
"SCYO CAN";360;13;11;0
"SCYO CAN";365;5;3;0
"SCYO CAN";370;17;14;0
"SCYO CAN";375;16;14;0
"SCYO CAN";380;13;12;0
"SCYO CAN";385;11;7;0
"SCYO CAN";390;7;7;0
"SCYO CAN";395;11;9;0
"SCYO CAN";400;14;12;0
"SCYO CAN";405;10;10;0
"SCYO CAN";410;17;17;0
"SCYO CAN";415;10;10;0
"SCYO CAN";420;11;11;0
"SCYO CAN";425;10;10;0
"SCYO CAN";430;10;10;0
"SCYO CAN";435;6;6;0
"SCYO CAN";440;5;5;0
"SCYO CAN";445;6;6;0
"SCYO CAN";450;4;4;0
"SCYO CAN";455;2;2;0
"SCYO CAN";460;4;4;0
"SCYO CAN";470;4;4;0
"SCYO CAN";500;1;1;0
"SQUA BLA";205;1;1;0
"SQUA BLA";210;2;2;0
"SQUA BLA";215;1;1;0
"SQUA BLA";220;3;3;0
"SQUA BLA";225;2;2;0
"SQUA BLA";230;4;4;0
"SQUA BLA";235;3;3;0
"SQUA BLA";240;4;4;0
"SQUA BLA";245;2;2;0
"SQUA BLA";260;1;1;0
"SQUA BLA";320;1;1;0
"SQUA BLA";330;1;1;0
"SQUA BLA";435;1;1;0
"SQUA BLA";445;1;1;0
"SQUA BLA";480;1;1;0
"SQUA BLA";520;1;1;0
"SQUA BLA";525;1;1;0
"SQUA BLA";555;1;1;0
"SQUA BLA";610;1;1;0
"TORP MAR";130;1;1;0
"TORP MAR";160;1;1;0
"TORP MAR";245;1;1;0
