"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
154;"LOLI";"VUL";35;36.987659105662;-5.37384401641612
107;"PAGE";"ACA";40;37.2567340807362;7.36314115273515
162;"PHYI";"BLE";40;34.8049086749857;14.9263179327
76;"BOOP";"BOO";40;37.1658679438725;7.6256312926892
134;"BOOP";"BOO";40;37.438224687586;6.84267305352071
139;"ILLE";"COI";40;39.1806412278038;2.0912336973566
105;"TRIP";"LAS";40;36.8031514741029;8.68634450543349
157;"PAPE";"LON";40;38.7783143663002;3.15043511731766
162;"PAPE";"LON";40;32.7768487242073;22.0373573328237
84;"TRAC";"MED";40;28.1450174268693;42.1210702886723
137;"NEPR";"NOR";40;35.8936738908524;11.4402502280329
152;"NEPR";"NOR";40;38.9860517187236;2.60079755855204
121;"SEPI";"OFF";40;33.5869986922807;19.0937016030347
107;"LOPH";"PIS";40;41.2503781727493;-3.03119202328998
93;"MICM";"POU";40;33.2764104412896;20.2052729532621
138;"SPIC";"SMA";40;47.1917862672539;-15.2394872839222
142;"ETMO";"SPI";40;30.1253372369909;32.7785965857472
125;"TRAC";"TRA";40;34.4288946984482;16.1814817186184
154;"TRAC";"TRA";40;40.3114466474713;-0.772601018750271
117;"PAGE";"ACA";45;46.1501942481948;-2.49228473884435
148;"PHYI";"BLE";45;25.1635638211261;78.829995305435
158;"PAGE";"BOG";45;43.0651859534778;4.49275674465289
147;"ASPI";"CUC";45;30.8998748931198;45.6316575897198
146;"HELI";"DAC";45;33.184067609916;35.6072454075919
160;"SPIC";"FLE";45;42.7151079558321;5.34914261841615
137;"PAPE";"LON";45;36.1615161372675;24.4416849923603
125;"TRIG";"LUC";45;47.7862557777465;-5.83066350857321
109;"MERL";"MER";45;39.9528222556604;12.6328440880657
148;"LOPH";"PIS";45;41.2503781727493;9.08990897379877
133;"LOLI";"VUL";45;28.0571728110394;60.3867941473212
83;"PAGE";"ACA";50;51.0970174930424;-2.14693057807495
150;"PAGE";"ACA";50;51.0970174930424;-2.14693057807495
83;"PHYI";"BLE";50;45.3875372465038;10.1623992693094
110;"PHYI";"BLE";50;37.5863845658125;33.0268941202677
150;"PAGE";"BOG";50;47.6707337746535;4.88615559466157
88;"BOOP";"BOO";50;53.1153056246289;-5.86517499615851
112;"TRIS";"CAP";50;34.6367116070348;44.355505127816
112;"ILLE";"COI";50;53.6866052691039;-6.86689957508927
146;"ILLE";"COI";50;39.1806412278038;27.6140421216957
88;"ASPI";"CUC";50;33.9936306164765;47.0863779280029
78;"HELI";"DAC";50;45.8505363419048;9.04997844987647
162;"HELI";"DAC";50;45.7593685096113;9.26724215937985
105;"PAGE";"ERY";50;51.764607922616;-3.40890811972133
123;"SPIC";"FLE";50;43.2275744143886;15.6669109413577
97;"PAPE";"LON";50;64.123119452203;-22.0250037316576
156;"TRAC";"MED";50;53.0627380463127;-5.77191859877191
80;"MERL";"MER";50;42.5042629746534;17.6352593851975
76;"RAJA";"MIR";50;32.2725108515267;54.930616430902
150;"LOPH";"PIS";50;45.5289969749671;9.82012194885648
101;"TRAC";"TRA";50;40.716461588482;22.8004547775934
112;"BOOP";"BOO";55;53.7943898525159;2.24114475652474
125;"TRIS";"CAP";55;60.3539860809277;-8.87097344945635
131;"ASPI";"CUC";55;51.9851567628809;5.79943088537885
85;"HELI";"DAC";55;62.1307028489121;-11.4769389721092
150;"HELI";"DAC";55;64.9925287514261;-15.3748883808539
110;"PAPE";"LON";55;30.2955912902697;81.5445669075449
105;"SPIC";"SMA";55;48.7996406082466;12.705748063861
123;"LOLI";"VUL";55;39.7348772746023;38.4174402248747
110;"BOOP";"BOO";60;56.3126418414492;6.54801131321939
133;"TRIS";"CAP";60;58.0626793991358;3.3366021356794
107;"ASPI";"CUC";60;53.2133366458024;12.7536887967971
80;"PAGE";"ERY";60;59.5166929670302;0.81205290293521
107;"NEPR";"NOR";60;65.792565265721;-8.80428547256994
112;"NEPR";"NOR";60;65.792565265721;-8.80428547256994
154;"SPIC";"SMA";60;53.1867683600923;12.8100124335058
100;"TRAC";"TRA";60;61.0100834204156;-1.65560078561965
104;"TRAC";"TRA";60;68.3630692732489;-12.2333145105313
129;"TRAC";"TRA";60;74.0005237007936;-18.9194927287298
138;"PAGE";"ACA";65;62.0550135598657;4.74576713659604
125;"BOOP";"BOO";65;57.4175926067903;13.2057215375363
