"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
76;"TRAC";"MED";1;0.918348069131592;8.89117466600871
156;"TRAC";"TRA";1;0.99214564559771;0.791653366331902
83;"HELI";"DAC";2;1.667274667627;19.9562398945679
158;"HELI";"DAC";2;1.19226658708918;67.7477186442695
158;"PAPE";"LON";2;3.82537730262935;-47.7175755022829
147;"PHYI";"BLE";3;2.53462491561732;18.3607081866523
139;"SCYO";"CAN";3;1.85372479796312;61.8363202184279
133;"ASPI";"CUC";4;3.72099544424041;7.49811602675961
154;"PAGE";"BOG";5;3.97588712328811;25.7580973743777
125;"TRIS";"CAP";5;2.69038520462497;85.8469928917476
146;"TRIS";"CAP";5;4.11759936372678;21.4299779635328
137;"HELI";"DAC";5;2.85954125471618;74.8532213603705
162;"EUTR";"GUR";5;4.43799914767115;12.663383511999
160;"SQUI";"MAN";5;6.614733268259;-24.4111622158273
121;"LOLI";"VUL";5;5.06206849579995;-1.2261488727672
80;"PAGE";"BOG";6;4.94333660492794;21.3755096915449
133;"TRIS";"CAP";6;4.99216920910738;20.1882337853053
150;"TRIS";"CAP";6;10.9255839320785;-45.0830267992959
121;"SEPI";"OFF";7;4.76998935823621;46.7508515068968
112;"SPIC";"SMA";7;10.6625815342778;-34.349857232073
160;"PAPE";"LON";8;7.9217159977141;0.988220258192637
112;"EUTR";"GUR";9;10.0819888584024;-10.7318989695239
137;"PHYI";"BLE";10;9.9047315842316;0.961847526691869
132;"ASPI";"CUC";10;8.91238865990575;12.2033652435637
84;"HELI";"DAC";10;10.1158737303467;-1.14546438039317
150;"HELI";"DAC";10;15.3185492580906;-34.7196667809883
121;"PAGE";"ERY";10;11.1337102493658;-10.1826814599413
133;"SPIC";"FLE";10;16.303905242605;-38.6650017207643
160;"SPIC";"FLE";10;16.303905242605;-38.6650017207643
142;"ARIS";"FOL";10;10.1050080557818;-1.03916845194086
95;"EUTR";"GUR";10;7.44893668168036;34.2473486798945
88;"TRIP";"LAS";10;6.36002157350386;57.2321710615018
116;"PAPE";"LON";10;10.7886783923941;-7.31024101107804
123;"SCOM";"PNE";10;8.3565466706323;19.6666565046941
146;"SPIC";"SMA";10;12.1011922150067;-17.3635140874878
157;"SPIC";"SMA";10;12.1011922150067;-17.3635140874878
117;"TRAC";"TRA";10;10.5346647654625;-5.07528979199602
80;"SPIC";"FLE";12;14.2646380718518;-15.8758887568313
105;"SPIC";"FLE";12;12.4048413705552;-3.26357555459086
148;"PAPE";"LON";13;12.6617695118438;2.67127345699864
100;"TRIG";"LUC";13;19.2637317669681;-32.5156716400538
117;"MULL";"BAR";15;17.2734463911111;-13.1615100984192
83;"PHYI";"BLE";15;12.9424978042627;15.8972574448466
