"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
151;"HELI";"DAC";1;0.817505074273823;22.3233997523849
109;"ILLE";"COI";2;2.54414527844015;-21.3881370317727
83;"EUTR";"GUR";2;1.87675692809599;6.56681054743975
80;"PAGE";"ACA";3;4.41472621951269;-32.0456161756924
147;"ASPI";"CUC";3;3.021159511653;-0.700377175431489
157;"EUTR";"GUR";3;2.3824383416479;25.9214120070341
131;"PAPE";"LON";3;4.36648267542944;-31.2948150033607
154;"PAPE";"LON";3;2.82072024134361;6.35581494501515
100;"SCOM";"PNE";3;3.79191790118453;-20.8843630537769
121;"SCOM";"PNE";3;4.56462876944776;-34.2772402417525
107;"MICM";"POU";3;3.75904048193868;-20.192399778233
101;"PAPE";"LON";4;6.27012603784222;-36.2054291116523
76;"TRIS";"CAP";5;7.47048334880366;-33.0699264485917
93;"TRIS";"CAP";5;4.99216920910738;0.156861487754432
95;"TRIS";"CAP";5;4.11759936372678;21.4299779635328
101;"TRIS";"CAP";5;4.99216920910738;0.156861487754432
104;"TRIS";"CAP";5;7.68255441373235;-34.9174801669788
112;"TRIS";"CAP";5;4.11759936372678;21.4299779635328
129;"TRIS";"CAP";5;6.80798456835175;-26.5568253012283
158;"TRIS";"CAP";5;2.69038520462497;85.8469928917476
150;"ASPI";"CUC";5;4.52361327794649;10.5311107024995
76;"ZEUS";"FAB";5;3.21679679094203;55.4341267088793
148;"EUTR";"GUR";5;2.97322512662204;68.1675549971097
93;"PAPE";"LON";5;6.9586569896884;-28.14705470597
138;"PAPE";"LON";5;6.24480347728725;-19.9334291593752
80;"SCOM";"PNE";5;3.79191790118453;31.8593949103719
123;"SCOM";"PNE";5;6.90560556711003;-27.5950537370109
126;"SCOM";"PNE";5;3.1136876659255;60.5812957644172
134;"SCOM";"PNE";5;4.56462876944776;9.53793293041243
138;"SCOM";"PNE";5;4.56462876944776;9.53793293041243
95;"MICM";"POU";5;6.16106612583435;-18.8452144826983
84;"PAPE";"LON";7;7.07623776663473;-1.07737711972028
112;"PAPE";"LON";7;6.9586569896884;0.594123411641943
129;"SCOM";"PNE";7;10.0792642372274;-30.5504862731371
