TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SARD;PIL;0;2800;2800;N;110;120;ND;ND;41
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SARD;PIL;0;2800;2800;N;110;125;ND;ND;29
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SARD;PIL;0;2800;2800;N;110;130;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;SARD;PIL;0;2800;2800;N;110;135;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;I;93;60;0;;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;I;93;65;0;;10
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;I;93;70;0;;20
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;I;93;75;0;;32
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;I;93;80;0;;15
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;I;93;85;0;;14
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;N;10;90;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;N;10;100;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;115;4;B;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;N;10;115;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;120;4;A;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;120;4;B;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;N;10;120;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;125;2;B;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;125;4;B;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;N;10;125;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;130;2;B;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;N;10;130;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;135;2;B;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;135;4;A;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MULL;BAR;0;890;890;M;13;135;4;B;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;0;85;85;I;8;95;0;;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;0;85;85;I;8;100;0;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;0;85;85;I;8;105;0;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;0;85;85;I;8;120;0;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;0;85;85;I;8;125;0;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;MERL;MER;0;85;85;I;8;135;0;;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;LOLI;VUL;0;20;20;I;1;75;0;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;ILLE;COI;0;2;2;I;1;35;0;;1
