TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;18;MIZ;2021;8;16;112;S;S;C;ALLO;SUB;FM;75;21;0;0;21
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;BOOP;BOO;FM;60;3;0;0;3
TB;ITA;18;MIZ;2021;8;16;112;S;S;Dmg;CASS;ECH;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;ENGR;ENC;FM;29280;10096;0;0;10096
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;GADA;MAR;FM;25;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;112;S;S;C;ILLE;COI;FM;465;28;1;0;27
TB;ITA;18;MIZ;2021;8;16;112;S;S;C;LOLI;VUL;FM;50;11;0;0;11
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;LOPH;BUD;FM;4600;2;2;0;0
TB;ITA;18;MIZ;2021;8;16;112;S;S;B;MCPI;DEP;FM;800;99;0;0;99
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;MERL;MER;FM;1220;51;13;7;31
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;MULL;BAR;FM;20;1;0;1;0
TB;ITA;18;MIZ;2021;8;16;112;S;S;C;OCTO;VUL;FM;85;1;1;0;0
TB;ITA;18;MIZ;2021;8;16;112;S;S;B;PAPE;LON;FM;40;4;3;1;0
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;SARD;PIL;FM;250;16;0;0;16
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;SCOM;PNE;FM;50;6;0;0;6
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;SCOR;SCO;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;SERA;HEP;FM;10;2;0;0;2
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;SPIC;FLE;FM;40;2;0;0;2
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;SPRA;SPR;FM;30;5;0;0;5
TB;ITA;18;MIZ;2021;8;16;112;S;S;Bst;SQUI;MAN;FM;30;1;1;0;0
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;TRAC;MED;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;TRIG;LUC;FM;90;2;0;0;2
TB;ITA;18;MIZ;2021;8;16;112;S;S;Ao;TRIS;CAP;FM;15;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;112;S;S;Emg;TURR;SPP;FM;5;2;0;0;2
TB;ITA;18;MIZ;2021;8;16;109;S;S;C;ALLO;SPP;FM;98;181;0;0;181
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;APHI;MIN;FM;5;10;0;0;10
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;DIPL;ANN;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;109;S;S;B;DORI;LAN;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;ENGR;ENC;FM;1700;360;0;0;360
TB;ITA;18;MIZ;2021;8;16;109;S;S;C;ILLE;COI;FM;25;4;0;0;4
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;LEPT;CAV;FM;10;2;0;0;2
TB;ITA;18;MIZ;2021;8;16;109;S;S;C;LOLI;VUL;FM;80;19;0;0;19
TB;ITA;18;MIZ;2021;8;16;109;S;S;B;MCPI;DEP;FM;260;64;0;0;64
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;MERL;MER;FM;122;10;0;0;10
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;MULL;BAR;FM;45;2;0;2;0
TB;ITA;18;MIZ;2021;8;16;109;S;S;C;OCTO;VUL;FM;230;2;1;1;0
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;PAGE;ERY;FM;20;1;1;0;0
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ae;RAJA;AST;FM;25;1;1;0;0
TB;ITA;18;MIZ;2021;8;16;109;S;S;G;RAJA;EGG;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;SARD;PIL;FM;40;23;0;0;23
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;SCOM;PNE;FM;30;3;0;0;3
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;SERA;HEP;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;SPIC;FLE;FM;440;46;0;0;46
