Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2017;151;PAPELON;f;i;0.7;111;NA;NA
MEDITS-GSA18;2017;151;PAPELON;f;i;0.8;111;NA;NA
MEDITS-GSA18;2017;93;PAPELON;f;i;0.8;120;NA;NA
MEDITS-GSA18;2017;95;PAPELON;f;i;0.8;114;NA;NA
MEDITS-GSA18;2017;109;SQUIMAN;f;i;0.8;17;NA;NA
MEDITS-GSA18;2017;151;PAPELON;m;i;0.8;87;NA;NA
MEDITS-GSA18;2017;145;PAPELON;f;i;0.9;56;NA;NA
MEDITS-GSA18;2017;151;PAPELON;f;i;0.9;111;NA;NA
MEDITS-GSA18;2017;77;PAPELON;f;i;0.9;322;NA;NA
MEDITS-GSA18;2017;95;PAPELON;f;i;0.9;114;NA;NA
MEDITS-GSA18;2017;151;PAPELON;m;i;0.9;87;NA;NA
MEDITS-GSA18;2017;93;PAPELON;m;i;0.9;152;NA;NA
MEDITS-GSA18;2017;104;PAPELON;f;i;1;140;NA;NA
MEDITS-GSA18;2017;137;PAPELON;f;i;1;8;NA;NA
MEDITS-GSA18;2017;148;PAPELON;f;i;1;32;NA;NA
MEDITS-GSA18;2017;157;PAPELON;f;i;1;97;NA;NA
MEDITS-GSA18;2017;77;PAPELON;f;i;1;322;NA;NA
MEDITS-GSA18;2017;83;PAPELON;f;i;1;127;NA;NA
MEDITS-GSA18;2017;93;PAPELON;f;i;1;120;NA;NA
MEDITS-GSA18;2017;109;SQUIMAN;f;i;1;17;NA;NA
MEDITS-GSA18;2017;138;PAPELON;m;i;1;52;NA;NA
MEDITS-GSA18;2017;145;PAPELON;m;i;1;222;NA;NA
MEDITS-GSA18;2017;148;PAPELON;m;i;1;42;NA;NA
MEDITS-GSA18;2017;151;PAPELON;m;i;1;87;NA;NA
MEDITS-GSA18;2017;157;PAPELON;m;i;1;87;NA;NA
MEDITS-GSA18;2017;162;PAPELON;m;i;1;11;NA;NA
MEDITS-GSA18;2017;77;PAPELON;m;i;1;370;NA;NA
MEDITS-GSA18;2017;83;PAPELON;m;i;1;202;NA;NA
MEDITS-GSA18;2017;95;PAPELON;m;i;1;104;NA;NA
MEDITS-GSA18;2017;97;PAPELON;m;i;1;143;NA;NA
MEDITS-GSA18;2017;104;PAPELON;f;i;1.1;140;NA;NA
MEDITS-GSA18;2017;110;PAPELON;f;i;1.1;18;NA;NA
MEDITS-GSA18;2017;132;PAPELON;f;i;1.1;24;NA;NA
MEDITS-GSA18;2017;138;PAPELON;f;i;1.1;60;NA;NA
MEDITS-GSA18;2017;143;PAPELON;f;i;1.1;9;NA;NA
MEDITS-GSA18;2017;145;PAPELON;f;i;1.1;56;NA;NA
MEDITS-GSA18;2017;148;PAPELON;f;i;1.1;32;NA;NA
MEDITS-GSA18;2017;157;PAPELON;f;i;1.1;97;NA;NA
MEDITS-GSA18;2017;77;PAPELON;f;i;1.1;322;NA;NA
MEDITS-GSA18;2017;83;PAPELON;f;i;1.1;127;NA;NA
MEDITS-GSA18;2017;85;PAPELON;f;i;1.1;91;NA;NA
MEDITS-GSA18;2017;93;PAPELON;f;i;1.1;120;NA;NA
MEDITS-GSA18;2017;95;PAPELON;f;i;1.1;114;NA;NA
MEDITS-GSA18;2017;160;SQUIMAN;f;i;1.1;6;NA;NA
MEDITS-GSA18;2017;104;PAPELON;m;i;1.1;214;NA;NA
MEDITS-GSA18;2017;138;PAPELON;m;i;1.1;52;NA;NA
MEDITS-GSA18;2017;142;PAPELON;m;i;1.1;123;NA;NA
MEDITS-GSA18;2017;145;PAPELON;m;i;1.1;111;NA;NA
MEDITS-GSA18;2017;148;PAPELON;m;i;1.1;42;NA;NA
MEDITS-GSA18;2017;151;PAPELON;m;i;1.1;87;NA;NA
MEDITS-GSA18;2017;157;PAPELON;m;i;1.1;87;NA;NA
MEDITS-GSA18;2017;158;PAPELON;m;i;1.1;154;NA;NA
MEDITS-GSA18;2017;162;PAPELON;m;i;1.1;11;NA;NA
MEDITS-GSA18;2017;77;PAPELON;m;i;1.1;370;NA;NA
MEDITS-GSA18;2017;83;PAPELON;m;i;1.1;202;NA;NA
