Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2003;142;PAPELON;f;i;0.8;21;NA;NA
MEDITS-GSA18;2003;142;PAPELON;f;i;0.9;21;NA;NA
MEDITS-GSA18;2003;142;PAPELON;f;i;1;21;NA;NA
MEDITS-GSA18;2003;88;LOLIVUL;i;i;1;52;NA;NA
MEDITS-GSA18;2003;107;PAPELON;f;i;1.1;11;NA;NA
MEDITS-GSA18;2003;138;PAPELON;f;i;1.1;44;NA;NA
MEDITS-GSA18;2003;142;PAPELON;f;i;1.1;21;NA;NA
MEDITS-GSA18;2003;77;PAPELON;f;i;1.1;272;NA;NA
MEDITS-GSA18;2003;113;PAPELON;f;i;1.2;2;NA;NA
MEDITS-GSA18;2003;132;PAPELON;f;i;1.2;15;NA;NA
MEDITS-GSA18;2003;135;PAPELON;f;i;1.2;22;NA;NA
MEDITS-GSA18;2003;136;PAPELON;f;i;1.2;18;NA;NA
MEDITS-GSA18;2003;137;PAPELON;f;i;1.2;16;NA;NA
MEDITS-GSA18;2003;138;PAPELON;f;i;1.2;44;NA;NA
MEDITS-GSA18;2003;142;PAPELON;f;i;1.2;21;NA;NA
MEDITS-GSA18;2003;89;PAPELON;f;i;1.2;33;NA;NA
MEDITS-GSA18;2003;108;PAPELON;f;m;1.2;3;NA;NA
MEDITS-GSA18;2003;102;PAPELON;f;i;1.3;18;NA;NA
MEDITS-GSA18;2003;103;PAPELON;f;i;1.3;18;NA;NA
MEDITS-GSA18;2003;104;PAPELON;f;i;1.3;33;NA;NA
MEDITS-GSA18;2003;107;PAPELON;f;i;1.3;11;NA;NA
MEDITS-GSA18;2003;111;PAPELON;f;i;1.3;6;NA;NA
MEDITS-GSA18;2003;113;PAPELON;f;i;1.3;2;NA;NA
MEDITS-GSA18;2003;128;PAPELON;f;i;1.3;13;NA;NA
MEDITS-GSA18;2003;131;PAPELON;f;i;1.3;8;NA;NA
MEDITS-GSA18;2003;132;PAPELON;f;i;1.3;15;NA;NA
