Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;1995;84;PAPELON;f;i;1.2;1;NA;NA
MEDITS-GSA18;1995;77;NEPRNOR;f;i;1.9;35;NA;NA
MEDITS-GSA18;1995;102;ILLECOI;f;i;10;4;NA;NA
MEDITS-GSA18;1995;80;PAGEERY;f;i;10;3;NA;NA
MEDITS-GSA18;1995;99;PAGEERY;f;i;10;3;NA;NA
MEDITS-GSA18;1995;88;TRACTRA;f;i;10;20;NA;NA
MEDITS-GSA18;1995;120;EUTRGUR;i;i;10;34;NA;NA
MEDITS-GSA18;1995;76;EUTRGUR;i;i;10;12;NA;NA
MEDITS-GSA18;1995;140;HELIDAC;i;i;10;127;NA;NA
MEDITS-GSA18;1995;142;HELIDAC;i;i;10;173;NA;NA
MEDITS-GSA18;1995;79;HELIDAC;i;i;10;15;NA;NA
MEDITS-GSA18;1995;93;HELIDAC;i;i;10;13;NA;NA
MEDITS-GSA18;1995;133;LOPHBUD;i;i;10;2;NA;NA
MEDITS-GSA18;1995;100;MERLMER;i;i;10;32;NA;NA
MEDITS-GSA18;1995;102;MERLMER;i;i;10;12;NA;NA
MEDITS-GSA18;1995;111;MERLMER;i;i;10;4;NA;NA
MEDITS-GSA18;1995;113;MERLMER;i;i;10;5;NA;NA
MEDITS-GSA18;1995;117;MERLMER;i;i;10;162;NA;NA
MEDITS-GSA18;1995;118;MERLMER;i;i;10;21;NA;NA
MEDITS-GSA18;1995;122;MERLMER;i;i;10;23;NA;NA
MEDITS-GSA18;1995;125;MERLMER;i;i;10;13;NA;NA
MEDITS-GSA18;1995;126;MERLMER;i;i;10;57;NA;NA
MEDITS-GSA18;1995;129;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;1995;132;MERLMER;i;i;10;68;NA;NA
MEDITS-GSA18;1995;133;MERLMER;i;i;10;148;NA;NA
MEDITS-GSA18;1995;134;MERLMER;i;i;10;132;NA;NA
MEDITS-GSA18;1995;135;MERLMER;i;i;10;33;NA;NA
MEDITS-GSA18;1995;136;MERLMER;i;i;10;14;NA;NA
MEDITS-GSA18;1995;137;MERLMER;i;i;10;198;NA;NA
MEDITS-GSA18;1995;139;MERLMER;i;i;10;21;NA;NA
MEDITS-GSA18;1995;140;MERLMER;i;i;10;148;NA;NA
MEDITS-GSA18;1995;142;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;1995;75;MERLMER;i;i;10;18;NA;NA
MEDITS-GSA18;1995;84;MERLMER;i;i;10;9;NA;NA
MEDITS-GSA18;1995;90;MERLMER;i;i;10;9;NA;NA
MEDITS-GSA18;1995;93;MERLMER;i;i;10;175;NA;NA
MEDITS-GSA18;1995;97;MERLMER;i;i;10;26;NA;NA
MEDITS-GSA18;1995;99;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;1995;102;MICMPOU;i;i;10;9;NA;NA
MEDITS-GSA18;1995;113;MICMPOU;i;i;10;22;NA;NA
MEDITS-GSA18;1995;132;MICMPOU;i;i;10;200;NA;NA
MEDITS-GSA18;1995;135;MICMPOU;i;i;10;31;NA;NA
MEDITS-GSA18;1995;97;MICMPOU;i;i;10;480;NA;NA
MEDITS-GSA18;1995;80;PAGEERY;i;i;10;3;NA;NA
MEDITS-GSA18;1995;132;PHYIBLE;i;i;10;3;NA;NA
MEDITS-GSA18;1995;133;PHYIBLE;i;i;10;4;NA;NA
MEDITS-GSA18;1995;136;PHYIBLE;i;i;10;5;NA;NA
MEDITS-GSA18;1995;144;PHYIBLE;i;i;10;1;NA;NA
MEDITS-GSA18;1995;77;PHYIBLE;i;i;10;113;NA;NA
MEDITS-GSA18;1995;82;PHYIBLE;i;i;10;31;NA;NA
MEDITS-GSA18;1995;92;PHYIBLE;i;i;10;43;NA;NA
MEDITS-GSA18;1995;93;PHYIBLE;i;i;10;15;NA;NA
MEDITS-GSA18;1995;94;PHYIBLE;i;i;10;85;NA;NA
MEDITS-GSA18;1995;100;TRACTRA;i;i;10;16;NA;NA
MEDITS-GSA18;1995;102;TRACTRA;i;i;10;124;NA;NA
MEDITS-GSA18;1995;103;TRACTRA;i;i;10;79;NA;NA
MEDITS-GSA18;1995;106;TRACTRA;i;i;10;82;NA;NA
MEDITS-GSA18;1995;107;TRACTRA;i;i;10;291;NA;NA
MEDITS-GSA18;1995;109;TRACTRA;i;i;10;23;NA;NA
MEDITS-GSA18;1995;112;TRACTRA;i;i;10;220;NA;NA
MEDITS-GSA18;1995;113;TRACTRA;i;i;10;114;NA;NA
MEDITS-GSA18;1995;115;TRACTRA;i;i;10;11;NA;NA
