Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;2008;75;7;2;0.042;40.24792;18.48742;75
MEDITS-GSA18;2008;76;7;2;0.042;40.30142;18.44725;83.5
MEDITS-GSA18;2008;77;7;4;0.093;40.39983;18.61483;352
MEDITS-GSA18;2008;78;7;5;0.09;40.4415;18.63567;535.5
MEDITS-GSA18;2008;79;7;3;0.045;40.59142;18.51942;116.5
MEDITS-GSA18;2008;80;7;1;0.043;41.13192;16.95058;40
MEDITS-GSA18;2008;81;7;3;0.045;40.64483;18.50075;146.5
MEDITS-GSA18;2008;84;7;3;0.045;40.60217;18.501;122.5
MEDITS-GSA18;2008;86;7;5;0.09;40.62658;18.60267;509
MEDITS-GSA18;2008;88;7;2;0.046;40.58817;18.27208;91.5
MEDITS-GSA18;2008;89;7;3;0.045;40.68342;18.396;123
MEDITS-GSA18;2008;90;7;3;0.045;40.69892;18.31417;120.5
MEDITS-GSA18;2008;93;7;3;0.043;40.67408;18.34725;119
MEDITS-GSA18;2008;94;7;4;0.098;40.68725;18.50567;322.5
MEDITS-GSA18;2008;95;7;3;0.045;40.7055;18.27992;120.5
MEDITS-GSA18;2008;96;7;4;0.093;40.74525;18.39967;412.5
MEDITS-GSA18;2008;97;7;3;0.046;40.77025;18.04758;113.5
MEDITS-GSA18;2008;98;7;5;0.109;40.77292;18.40058;561.5
MEDITS-GSA18;2008;99;7;1;0.044;41.11783;17.005;49
MEDITS-GSA18;2008;100;7;1;0.044;41.199;16.7395;41.5
MEDITS-GSA18;2008;101;7;2;0.044;40.88017;17.53667;61
MEDITS-GSA18;2008;102;7;3;0.046;41.17025;17.14258;119.5
MEDITS-GSA18;2008;103;7;3;0.046;41.15533;17.13792;114.5
MEDITS-GSA18;2008;104;7;2;0.046;41.1295;17.07275;91.5
MEDITS-GSA18;2008;105;7;2;0.044;41.191;16.80792;56
MEDITS-GSA18;2008;106;7;3;0.046;41.24808;16.97358;111
MEDITS-GSA18;2008;107;7;3;0.046;41.18792;17.08367;120.5
MEDITS-GSA18;2008;108;6;2;0.043;41.37217;16.53742;60.5
MEDITS-GSA18;2008;109;6;1;0.05;41.28542;16.57167;40.5
MEDITS-GSA18;2008;111;7;3;0.046;41.40742;16.81183;105.5
MEDITS-GSA18;2008;112;6;2;0.044;41.33525;16.55783;55
MEDITS-GSA18;2008;113;7;3;0.046;41.50158;16.85283;118.5
MEDITS-GSA18;2008;116;7;5;0.093;41.548;17.15258;517
MEDITS-GSA18;2008;117;7;1;0.043;41.79658;16.32925;37
MEDITS-GSA18;2008;118;7;1;0.044;41.66692;16.37325;43.5
MEDITS-GSA18;2008;121;7;1;0.042;41.71192;16.30867;25
MEDITS-GSA18;2008;123;6;1;0.042;41.50633;16.40525;46.5
MEDITS-GSA18;2008;124;6;2;0.044;41.62375;16.40883;50.5
MEDITS-GSA18;2008;125;6;1;0.044;41.43425;16.43517;47.5
MEDITS-GSA18;2008;126;7;2;0.045;41.74342;16.40083;56
MEDITS-GSA18;2008;128;6;2;0.045;41.573;16.49133;73.5
MEDITS-GSA18;2008;129;6;2;0.045;41.60417;16.44042;60
MEDITS-GSA18;2008;131;6;2;0.045;41.467;16.53467;75
MEDITS-GSA18;2008;132;7;3;0.054;41.90617;16.64633;128.5
MEDITS-GSA18;2008;133;7;3;0.046;41.8715;16.67425;128
MEDITS-GSA18;2008;134;7;3;0.046;41.84283;16.68017;110
MEDITS-GSA18;2008;135;7;3;0.046;41.53017;16.8525;122
MEDITS-GSA18;2008;136;7;3;0.046;41.30725;16.85692;105.5
MEDITS-GSA18;2008;137;7;3;0.046;41.56142;16.87358;134.5
MEDITS-GSA18;2008;138;7;3;0.046;41.2285;17.02117;118
MEDITS-GSA18;2008;139;7;4;0.096;41.91967;16.83067;229
MEDITS-GSA18;2008;142;7;4;0.093;41.51525;17.084;403.5
MEDITS-GSA18;2008;146;7;5;0.093;41.54342;17.1645;537.5
