Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2004;111;PAPELON;f;i;0.9;7;NA;NA
MEDITS-GSA18;2004;113;PAPELON;f;i;1;15;NA;NA
MEDITS-GSA18;2004;113;PAPELON;f;i;1.1;15;NA;NA
MEDITS-GSA18;2004;142;PAPELON;f;i;1.1;25;NA;NA
MEDITS-GSA18;2004;90;PAPELON;f;i;1.1;52;NA;NA
MEDITS-GSA18;2004;110;PAPELON;f;i;1.2;7;NA;NA
MEDITS-GSA18;2004;111;PAPELON;f;i;1.2;7;NA;NA
MEDITS-GSA18;2004;113;PAPELON;f;i;1.2;15;NA;NA
MEDITS-GSA18;2004;83;PAPELON;f;i;1.2;23;NA;NA
MEDITS-GSA18;2004;90;PAPELON;f;i;1.2;52;NA;NA
MEDITS-GSA18;2004;106;PAPELON;f;i;1.3;39;NA;NA
MEDITS-GSA18;2004;107;PAPELON;f;i;1.3;15;NA;NA
MEDITS-GSA18;2004;111;PAPELON;f;i;1.3;7;NA;NA
MEDITS-GSA18;2004;113;PAPELON;f;i;1.3;15;NA;NA
MEDITS-GSA18;2004;123;PAPELON;f;i;1.3;6;NA;NA
MEDITS-GSA18;2004;133;PAPELON;f;i;1.3;8;NA;NA
MEDITS-GSA18;2004;138;PAPELON;f;i;1.3;27;NA;NA
MEDITS-GSA18;2004;90;PAPELON;f;i;1.3;52;NA;NA
MEDITS-GSA18;2004;107;PAPELON;f;i;1.4;15;NA;NA
MEDITS-GSA18;2004;111;PAPELON;f;i;1.4;7;NA;NA
MEDITS-GSA18;2004;113;PAPELON;f;i;1.4;15;NA;NA
MEDITS-GSA18;2004;125;PAPELON;f;i;1.4;12;NA;NA
MEDITS-GSA18;2004;138;PAPELON;f;i;1.4;27;NA;NA
MEDITS-GSA18;2004;81;PAPELON;f;i;1.4;13;NA;NA
MEDITS-GSA18;2004;83;PAPELON;f;i;1.4;23;NA;NA
MEDITS-GSA18;2004;84;PAPELON;f;i;1.4;32;NA;NA
MEDITS-GSA18;2004;90;PAPELON;f;i;1.4;52;NA;NA
MEDITS-GSA18;2004;104;PAPELON;f;i;1.5;48;NA;NA
MEDITS-GSA18;2004;106;PAPELON;f;i;1.5;39;NA;NA
MEDITS-GSA18;2004;107;PAPELON;f;i;1.5;15;NA;NA
MEDITS-GSA18;2004;111;PAPELON;f;i;1.5;7;NA;NA
MEDITS-GSA18;2004;131;PAPELON;f;i;1.5;12;NA;NA
MEDITS-GSA18;2004;135;PAPELON;f;i;1.5;18;NA;NA
MEDITS-GSA18;2004;137;PAPELON;f;i;1.5;16;NA;NA
MEDITS-GSA18;2004;138;PAPELON;f;i;1.5;27;NA;NA
MEDITS-GSA18;2004;81;PAPELON;f;i;1.5;13;NA;NA
MEDITS-GSA18;2004;83;PAPELON;f;i;1.5;23;NA;NA
MEDITS-GSA18;2004;90;PAPELON;f;i;1.5;52;NA;NA
MEDITS-GSA18;2004;93;PAPELON;f;i;1.5;21;NA;NA
MEDITS-GSA18;2004;99;PAPELON;f;i;1.5;2;NA;NA
MEDITS-GSA18;2004;90;PAPELON;f;m;1.5;52;NA;NA
MEDITS-GSA18;2004;97;PAPELON;f;m;1.5;6;NA;NA
MEDITS-GSA18;2004;104;PAPELON;f;i;1.6;48;NA;NA
