Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2008;104;PAPELON;m;i;1.1;23;NA;NA
MEDITS-GSA18;2008;107;PAPELON;m;i;1.1;6;NA;NA
MEDITS-GSA18;2008;133;PAPELON;m;i;1.1;6;NA;NA
MEDITS-GSA18;2008;102;PAPELON;m;i;1.2;8;NA;NA
MEDITS-GSA18;2008;103;PAPELON;m;i;1.2;4;NA;NA
MEDITS-GSA18;2008;104;PAPELON;m;i;1.2;23;NA;NA
MEDITS-GSA18;2008;138;PAPELON;m;i;1.2;16;NA;NA
MEDITS-GSA18;2008;104;PAPELON;f;i;1.3;14;NA;NA
MEDITS-GSA18;2008;106;PAPELON;f;i;1.3;34;NA;NA
MEDITS-GSA18;2008;104;PAPELON;f;i;1.4;14;NA;NA
MEDITS-GSA18;2008;106;PAPELON;f;i;1.4;34;NA;NA
MEDITS-GSA18;2008;107;PAPELON;f;i;1.4;4;NA;NA
MEDITS-GSA18;2008;104;PAPELON;m;i;1.4;23;NA;NA
MEDITS-GSA18;2008;132;PAPELON;m;i;1.4;7;NA;NA
MEDITS-GSA18;2008;107;PAPELON;f;m;1.4;4;NA;NA
MEDITS-GSA18;2008;104;PAPELON;f;i;1.5;14;NA;NA
MEDITS-GSA18;2008;104;PAPELON;m;i;1.5;23;NA;NA
MEDITS-GSA18;2008;106;PAPELON;m;i;1.5;22;NA;NA
MEDITS-GSA18;2008;107;PAPELON;m;i;1.5;6;NA;NA
MEDITS-GSA18;2008;132;PAPELON;m;i;1.5;7;NA;NA
MEDITS-GSA18;2008;138;PAPELON;m;i;1.5;16;NA;NA
MEDITS-GSA18;2008;102;PAPELON;f;i;1.6;6;NA;NA
MEDITS-GSA18;2008;104;PAPELON;f;i;1.6;14;NA;NA
MEDITS-GSA18;2008;106;PAPELON;f;i;1.6;34;NA;NA
MEDITS-GSA18;2008;103;PAPELON;m;i;1.6;4;NA;NA
MEDITS-GSA18;2008;104;PAPELON;m;i;1.6;23;NA;NA
MEDITS-GSA18;2008;129;PAPELON;m;i;1.6;1;NA;NA
MEDITS-GSA18;2008;133;PAPELON;m;i;1.6;6;NA;NA
MEDITS-GSA18;2008;138;PAPELON;m;i;1.6;16;NA;NA
MEDITS-GSA18;2008;103;PAPELON;m;i;1.7;4;NA;NA
MEDITS-GSA18;2008;106;PAPELON;m;i;1.7;22;NA;NA
MEDITS-GSA18;2008;142;NEPRNOR;f;i;1.8;10;NA;NA
MEDITS-GSA18;2008;138;PAPELON;f;i;1.8;6;NA;NA
MEDITS-GSA18;2008;142;NEPRNOR;m;i;1.8;13;NA;NA
MEDITS-GSA18;2008;104;PAPELON;m;i;1.8;23;NA;NA
MEDITS-GSA18;2008;106;PAPELON;m;i;1.8;22;NA;NA
MEDITS-GSA18;2008;107;PAPELON;m;i;1.8;6;NA;NA
MEDITS-GSA18;2008;133;PAPELON;m;i;1.8;6;NA;NA
MEDITS-GSA18;2008;138;PAPELON;m;i;1.8;16;NA;NA
MEDITS-GSA18;2008;142;NEPRNOR;f;i;1.9;10;NA;NA
MEDITS-GSA18;2008;102;PAPELON;f;i;1.9;6;NA;NA
MEDITS-GSA18;2008;142;NEPRNOR;m;i;1.9;13;NA;NA
MEDITS-GSA18;2008;102;PAPELON;m;i;1.9;8;NA;NA
MEDITS-GSA18;2008;104;PAPELON;m;i;1.9;23;NA;NA
MEDITS-GSA18;2008;106;PAPELON;m;i;1.9;22;NA;NA
MEDITS-GSA18;2008;107;PAPELON;m;i;1.9;6;NA;NA
MEDITS-GSA18;2008;132;PAPELON;m;i;1.9;7;NA;NA
MEDITS-GSA18;2008;138;PAPELON;m;i;1.9;16;NA;NA
MEDITS-GSA18;2008;106;ELEDCIR;f;i;10;4;NA;NA
MEDITS-GSA18;2008;103;ILLECOI;f;i;10;38;NA;NA
MEDITS-GSA18;2008;128;ILLECOI;f;i;10;4;NA;NA
MEDITS-GSA18;2008;138;ILLECOI;f;i;10;7;NA;NA
MEDITS-GSA18;2008;104;SPICSMA;f;i;10;6;NA;NA
MEDITS-GSA18;2008;134;SPICSMA;f;i;10;168;NA;NA
MEDITS-GSA18;2008;103;ASPICUC;i;i;10;3;NA;NA
MEDITS-GSA18;2008;104;ASPICUC;i;i;10;18;NA;NA
MEDITS-GSA18;2008;113;ASPICUC;i;i;10;2;NA;NA
MEDITS-GSA18;2008;125;ASPICUC;i;i;10;2;NA;NA
MEDITS-GSA18;2008;137;ASPICUC;i;i;10;9;NA;NA
MEDITS-GSA18;2008;75;ASPICUC;i;i;10;80;NA;NA
MEDITS-GSA18;2008;88;ASPICUC;i;i;10;9;NA;NA
MEDITS-GSA18;2008;93;ASPICUC;i;i;10;14;NA;NA
MEDITS-GSA18;2008;97;HELIDAC;i;i;10;3;NA;NA
MEDITS-GSA18;2008;79;ILLECOI;i;i;10;2;NA;NA
MEDITS-GSA18;2008;81;ILLECOI;i;i;10;3;NA;NA
MEDITS-GSA18;2008;88;ILLECOI;i;i;10;13;NA;NA
MEDITS-GSA18;2008;89;ILLECOI;i;i;10;6;NA;NA
MEDITS-GSA18;2008;101;MERLMER;i;i;10;38;NA;NA
MEDITS-GSA18;2008;103;MERLMER;i;i;10;9;NA;NA
MEDITS-GSA18;2008;104;MERLMER;i;i;10;9;NA;NA
MEDITS-GSA18;2008;105;MERLMER;i;i;10;17;NA;NA
MEDITS-GSA18;2008;106;MERLMER;i;i;10;5;NA;NA
MEDITS-GSA18;2008;107;MERLMER;i;i;10;6;NA;NA
MEDITS-GSA18;2008;111;MERLMER;i;i;10;25;NA;NA
MEDITS-GSA18;2008;113;MERLMER;i;i;10;27;NA;NA
MEDITS-GSA18;2008;117;MERLMER;i;i;10;35;NA;NA
MEDITS-GSA18;2008;118;MERLMER;i;i;10;16;NA;NA
MEDITS-GSA18;2008;121;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;2008;124;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;2008;125;MERLMER;i;i;10;10;NA;NA
MEDITS-GSA18;2008;126;MERLMER;i;i;10;7;NA;NA
MEDITS-GSA18;2008;128;MERLMER;i;i;10;2;NA;NA
MEDITS-GSA18;2008;129;MERLMER;i;i;10;9;NA;NA
MEDITS-GSA18;2008;131;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;2008;132;MERLMER;i;i;10;74;NA;NA
MEDITS-GSA18;2008;133;MERLMER;i;i;10;167;NA;NA
MEDITS-GSA18;2008;134;MERLMER;i;i;10;80;NA;NA
MEDITS-GSA18;2008;135;MERLMER;i;i;10;2;NA;NA
MEDITS-GSA18;2008;136;MERLMER;i;i;10;17;NA;NA
MEDITS-GSA18;2008;137;MERLMER;i;i;10;100;NA;NA
MEDITS-GSA18;2008;138;MERLMER;i;i;10;9;NA;NA
MEDITS-GSA18;2008;139;MERLMER;i;i;10;69;NA;NA
MEDITS-GSA18;2008;80;MERLMER;i;i;10;23;NA;NA
MEDITS-GSA18;2008;90;MERLMER;i;i;10;198;NA;NA
MEDITS-GSA18;2008;93;MERLMER;i;i;10;90;NA;NA
MEDITS-GSA18;2008;95;MERLMER;i;i;10;34;NA;NA
MEDITS-GSA18;2008;97;MERLMER;i;i;10;23;NA;NA
MEDITS-GSA18;2008;99;MERLMER;i;i;10;13;NA;NA
MEDITS-GSA18;2008;134;MULLBAR;i;i;10;1;NA;NA
MEDITS-GSA18;2008;80;PAGEERY;i;i;10;7;NA;NA
MEDITS-GSA18;2008;102;PHYIBLE;i;i;10;3;NA;NA
MEDITS-GSA18;2008;113;PHYIBLE;i;i;10;7;NA;NA
MEDITS-GSA18;2008;138;PHYIBLE;i;i;10;9;NA;NA
MEDITS-GSA18;2008;142;PHYIBLE;i;i;10;43;NA;NA
MEDITS-GSA18;2008;146;PHYIBLE;i;i;10;2;NA;NA
MEDITS-GSA18;2008;77;PHYIBLE;i;i;10;42;NA;NA
MEDITS-GSA18;2008;79;PHYIBLE;i;i;10;8;NA;NA
MEDITS-GSA18;2008;81;PHYIBLE;i;i;10;33;NA;NA
MEDITS-GSA18;2008;84;PHYIBLE;i;i;10;2;NA;NA
MEDITS-GSA18;2008;86;PHYIBLE;i;i;10;11;NA;NA
MEDITS-GSA18;2008;89;PHYIBLE;i;i;10;8;NA;NA
MEDITS-GSA18;2008;90;PHYIBLE;i;i;10;12;NA;NA
MEDITS-GSA18;2008;94;PHYIBLE;i;i;10;84;NA;NA
MEDITS-GSA18;2008;96;PHYIBLE;i;i;10;120;NA;NA
MEDITS-GSA18;2008;106;SPICFLE;i;i;10;2;NA;NA
MEDITS-GSA18;2008;104;SPICSMA;i;i;10;2;NA;NA
MEDITS-GSA18;2008;97;SPICSMA;i;i;10;2;NA;NA
MEDITS-GSA18;2008;75;TRACMED;i;i;10;14;NA;NA
MEDITS-GSA18;2008;93;TRACMED;i;i;10;100;NA;NA
