Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2010;145;PAPELON;f;i;0.9;84;NA;NA
MEDITS-GSA18;2010;147;PAPELON;f;i;0.9;2;NA;NA
MEDITS-GSA18;2010;145;PAPELON;m;i;0.9;133;NA;NA
MEDITS-GSA18;2010;107;PAPELON;f;i;1;4;NA;NA
MEDITS-GSA18;2010;134;PAPELON;f;i;1;3;NA;NA
MEDITS-GSA18;2010;162;PAPELON;f;i;1;3;NA;NA
MEDITS-GSA18;2010;138;PAPELON;f;i;1.1;3;NA;NA
MEDITS-GSA18;2010;83;PAPELON;f;i;1.1;17;NA;NA
MEDITS-GSA18;2010;162;PAPELON;m;i;1.1;3;NA;NA
MEDITS-GSA18;2010;139;PAPELON;f;i;1.2;12;NA;NA
MEDITS-GSA18;2010;83;PAPELON;f;i;1.2;17;NA;NA
MEDITS-GSA18;2010;84;PAPELON;f;i;1.2;18;NA;NA
MEDITS-GSA18;2010;139;PAPELON;m;i;1.2;17;NA;NA
MEDITS-GSA18;2010;144;PAPELON;m;i;1.2;23;NA;NA
MEDITS-GSA18;2010;93;PAPELON;m;i;1.2;19;NA;NA
MEDITS-GSA18;2010;84;PAPELON;m;i;1.3;11;NA;NA
MEDITS-GSA18;2010;134;PAPELON;f;i;1.4;3;NA;NA
MEDITS-GSA18;2010;97;PAPELON;f;i;1.4;17;NA;NA
MEDITS-GSA18;2010;162;PAPELON;m;i;1.4;3;NA;NA
MEDITS-GSA18;2010;93;PAPELON;m;m;1.4;19;NA;NA
MEDITS-GSA18;2010;147;PAPELON;f;i;1.5;2;NA;NA
MEDITS-GSA18;2010;84;PAPELON;f;i;1.5;18;NA;NA
MEDITS-GSA18;2010;148;PAPELON;m;m;1.5;2;NA;NA
MEDITS-GSA18;2010;151;NEPRNOR;f;i;1.6;26;NA;NA
MEDITS-GSA18;2010;85;NEPRNOR;f;i;1.6;86;NA;NA
MEDITS-GSA18;2010;131;PAPELON;f;i;1.6;2;NA;NA
MEDITS-GSA18;2010;95;PAPELON;f;i;1.6;37;NA;NA
MEDITS-GSA18;2010;134;PAPELON;m;m;1.6;1;NA;NA
MEDITS-GSA18;2010;85;NEPRNOR;f;i;1.7;86;NA;NA
MEDITS-GSA18;2010;77;NEPRNOR;m;i;1.7;43;NA;NA
MEDITS-GSA18;2010;77;NEPRNOR;f;i;1.8;31;NA;NA
MEDITS-GSA18;2010;85;NEPRNOR;f;i;1.8;86;NA;NA
MEDITS-GSA18;2010;77;NEPRNOR;m;i;1.8;43;NA;NA
MEDITS-GSA18;2010;151;NEPRNOR;m;m;1.8;49;NA;NA
MEDITS-GSA18;2010;151;NEPRNOR;f;i;1.9;26;NA;NA
MEDITS-GSA18;2010;77;NEPRNOR;f;i;1.9;31;NA;NA
MEDITS-GSA18;2010;85;NEPRNOR;f;i;1.9;172;NA;NA
MEDITS-GSA18;2010;98;NEPRNOR;f;i;1.9;1;NA;NA
MEDITS-GSA18;2010;85;NEPRNOR;m;i;1.9;70;NA;NA
MEDITS-GSA18;2010;97;PAPELON;f;m;1.9;17;NA;NA
MEDITS-GSA18;2010;151;NEPRNOR;m;m;1.9;49;NA;NA
MEDITS-GSA18;2010;148;PAPELON;m;m;1.9;2;NA;NA
MEDITS-GSA18;2010;142;ELEDCIR;f;i;10;1;NA;NA
MEDITS-GSA18;2010;137;HELIDAC;f;i;10;8;NA;NA
MEDITS-GSA18;2010;150;HELIDAC;f;i;10;20;NA;NA
MEDITS-GSA18;2010;151;HELIDAC;f;i;10;2;NA;NA
MEDITS-GSA18;2010;161;HELIDAC;f;i;10;9;NA;NA
MEDITS-GSA18;2010;162;HELIDAC;f;i;10;1;NA;NA
MEDITS-GSA18;2010;84;HELIDAC;f;i;10;4;NA;NA
MEDITS-GSA18;2010;93;HELIDAC;f;i;10;3;NA;NA
MEDITS-GSA18;2010;100;ILLECOI;f;i;10;1;NA;NA
MEDITS-GSA18;2010;101;ILLECOI;f;i;10;20;NA;NA
MEDITS-GSA18;2010;133;ILLECOI;f;i;10;16;NA;NA
MEDITS-GSA18;2010;134;ILLECOI;f;i;10;33;NA;NA
MEDITS-GSA18;2010;138;ILLECOI;f;i;10;7;NA;NA
