Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2011;151;PAPELON;f;i;0.7;27;NA;NA
MEDITS-GSA18;2011;93;PAPELON;f;i;0.8;17;NA;NA
MEDITS-GSA18;2011;95;PAPELON;m;i;0.8;29;NA;NA
MEDITS-GSA18;2011;151;PAPELON;f;i;0.9;27;NA;NA
MEDITS-GSA18;2011;93;PAPELON;f;i;0.9;17;NA;NA
MEDITS-GSA18;2011;132;PAPELON;m;i;0.9;5;NA;NA
MEDITS-GSA18;2011;137;PAPELON;f;i;1;2;NA;NA
MEDITS-GSA18;2011;142;PAPELON;f;i;1;9;NA;NA
MEDITS-GSA18;2011;144;PAPELON;f;i;1;3;NA;NA
MEDITS-GSA18;2011;145;PAPELON;f;i;1;57;NA;NA
MEDITS-GSA18;2011;150;PAPELON;f;i;1;2;NA;NA
MEDITS-GSA18;2011;151;PAPELON;f;i;1;27;NA;NA
MEDITS-GSA18;2011;83;PAPELON;f;i;1;29;NA;NA
MEDITS-GSA18;2011;151;PAPELON;i;i;1;6;NA;NA
MEDITS-GSA18;2011;151;PAPELON;m;i;1;44;NA;NA
MEDITS-GSA18;2011;84;PAPELON;m;i;1;12;NA;NA
MEDITS-GSA18;2011;151;PAPELON;i;i;1.1;6;NA;NA
MEDITS-GSA18;2011;137;PAPELON;m;i;1.1;7;NA;NA
MEDITS-GSA18;2011;150;PAPELON;m;i;1.1;4;NA;NA
MEDITS-GSA18;2011;151;PAPELON;m;i;1.1;44;NA;NA
MEDITS-GSA18;2011;83;PAPELON;m;i;1.1;13;NA;NA
MEDITS-GSA18;2011;84;PAPELON;m;i;1.1;12;NA;NA
MEDITS-GSA18;2011;93;PAPELON;m;i;1.1;15;NA;NA
MEDITS-GSA18;2011;95;PAPELON;m;i;1.1;29;NA;NA
MEDITS-GSA18;2011;148;PAPELON;f;i;1.2;5;NA;NA
MEDITS-GSA18;2011;151;PAPELON;f;i;1.2;27;NA;NA
MEDITS-GSA18;2011;160;PAPELON;f;i;1.2;2;NA;NA
MEDITS-GSA18;2011;162;PAPELON;f;i;1.2;8;NA;NA
MEDITS-GSA18;2011;83;PAPELON;f;i;1.2;29;NA;NA
MEDITS-GSA18;2011;95;PAPELON;f;i;1.2;24;NA;NA
MEDITS-GSA18;2011;151;PAPELON;i;i;1.2;6;NA;NA
MEDITS-GSA18;2011;107;PAPELON;m;i;1.2;12;NA;NA
MEDITS-GSA18;2011;145;PAPELON;m;i;1.2;100;NA;NA
MEDITS-GSA18;2011;150;PAPELON;m;i;1.2;4;NA;NA
MEDITS-GSA18;2011;151;PAPELON;m;i;1.2;44;NA;NA
MEDITS-GSA18;2011;83;PAPELON;m;i;1.2;13;NA;NA
MEDITS-GSA18;2011;84;PAPELON;m;i;1.2;12;NA;NA
MEDITS-GSA18;2011;95;PAPELON;m;i;1.2;29;NA;NA
MEDITS-GSA18;2011;97;PAPELON;m;i;1.2;6;NA;NA
MEDITS-GSA18;2011;137;PAPELON;m;m;1.2;7;NA;NA
MEDITS-GSA18;2011;104;PAPELON;f;i;1.3;3;NA;NA
MEDITS-GSA18;2011;107;PAPELON;f;i;1.3;7;NA;NA
