Campagne;Strate;Surface
MEDITS-GSA18;1;3430
MEDITS-GSA18;2;6435
MEDITS-GSA18;3;9664
MEDITS-GSA18;4;4761
MEDITS-GSA18;5;4718
MEDITS-GSA18;Total;29008
