Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;1998;113;NEPRNOR;f;i;0.9;1;NA;NA
MEDITS-GSA18;1998;86;ARISFOL;f;i;1.1;6;NA;NA
MEDITS-GSA18;1998;103;PAPELON;f;i;1.1;1;NA;NA
MEDITS-GSA18;1998;86;ARISFOL;f;i;1.2;6;NA;NA
MEDITS-GSA18;1998;145;ARISFOL;f;i;1.4;2;NA;NA
MEDITS-GSA18;1998;111;PAPELON;f;i;1.4;1;NA;NA
MEDITS-GSA18;1998;78;ARISFOL;f;i;1.5;4;NA;NA
MEDITS-GSA18;1998;145;ARISFOL;f;i;1.7;2;NA;NA
MEDITS-GSA18;1998;78;ARISFOL;f;i;1.7;4;NA;NA
MEDITS-GSA18;1998;96;ARISFOL;f;i;1.7;2;NA;NA
MEDITS-GSA18;1998;77;NEPRNOR;f;i;1.7;37;NA;NA
MEDITS-GSA18;1998;81;PAPELON;f;i;1.7;10;NA;NA
MEDITS-GSA18;1998;141;PAPELON;f;m;1.7;1;NA;NA
MEDITS-GSA18;1998;142;NEPRNOR;f;i;1.8;8;NA;NA
MEDITS-GSA18;1998;77;NEPRNOR;f;i;1.8;37;NA;NA
MEDITS-GSA18;1998;96;ARISFOL;f;i;1.9;2;NA;NA
MEDITS-GSA18;1998;77;NEPRNOR;f;m;1.9;37;NA;NA
MEDITS-GSA18;1998;115;ELEDMOS;f;i;10;2;NA;NA
MEDITS-GSA18;1998;124;ELEDMOS;f;i;10;3;NA;NA
MEDITS-GSA18;1998;126;ELEDMOS;f;i;10;2;NA;NA
MEDITS-GSA18;1998;103;ILLECOI;f;i;10;38;NA;NA
MEDITS-GSA18;1998;135;ILLECOI;f;i;10;4;NA;NA
MEDITS-GSA18;1998;75;ILLECOI;f;i;10;4;NA;NA
MEDITS-GSA18;1998;122;ELEDMOS;i;i;10;1;NA;NA
MEDITS-GSA18;1998;139;HELIDAC;i;i;10;13;NA;NA
MEDITS-GSA18;1998;141;HELIDAC;i;i;10;39;NA;NA
MEDITS-GSA18;1998;93;HELIDAC;i;i;10;10;NA;NA
MEDITS-GSA18;1998;141;LOPHBUD;i;i;10;1;NA;NA
MEDITS-GSA18;1998;102;MERLMER;i;i;10;15;NA;NA
MEDITS-GSA18;1998;104;MERLMER;i;i;10;3;NA;NA
MEDITS-GSA18;1998;106;MERLMER;i;i;10;5;NA;NA
MEDITS-GSA18;1998;107;MERLMER;i;i;10;87;NA;NA
MEDITS-GSA18;1998;109;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;1998;110;MERLMER;i;i;10;36;NA;NA
MEDITS-GSA18;1998;111;MERLMER;i;i;10;23;NA;NA
MEDITS-GSA18;1998;112;MERLMER;i;i;10;7;NA;NA
MEDITS-GSA18;1998;113;MERLMER;i;i;10;49;NA;NA
MEDITS-GSA18;1998;117;MERLMER;i;i;10;14;NA;NA
MEDITS-GSA18;1998;118;MERLMER;i;i;10;11;NA;NA
MEDITS-GSA18;1998;122;MERLMER;i;i;10;8;NA;NA
MEDITS-GSA18;1998;126;MERLMER;i;i;10;18;NA;NA
MEDITS-GSA18;1998;127;MERLMER;i;i;10;7;NA;NA
