Survey;Year;Haul;Species;Sex;Maturity;Length;Number;Weight;Age
MEDITS-GSA18;2005;111;PAPELON;f;i;0.9;26;NA;NA
MEDITS-GSA18;2005;137;PAPELON;f;i;0.9;3;NA;NA
MEDITS-GSA18;2005;143;PAPELON;f;i;0.9;29;NA;NA
MEDITS-GSA18;2005;146;PAPELON;i;i;0.9;1;NA;NA
MEDITS-GSA18;2005;103;PAPELON;f;i;1;31;NA;NA
MEDITS-GSA18;2005;131;PAPELON;f;i;1;8;NA;NA
MEDITS-GSA18;2005;84;PAPELON;f;i;1;74;NA;NA
MEDITS-GSA18;2005;103;PAPELON;f;i;1.1;31;NA;NA
MEDITS-GSA18;2005;111;PAPELON;f;i;1.1;26;NA;NA
MEDITS-GSA18;2005;138;PAPELON;f;i;1.1;17;NA;NA
MEDITS-GSA18;2005;143;PAPELON;f;i;1.1;29;NA;NA
MEDITS-GSA18;2005;103;PAPELON;f;i;1.2;31;NA;NA
MEDITS-GSA18;2005;105;PAPELON;f;i;1.2;50;NA;NA
MEDITS-GSA18;2005;138;PAPELON;f;i;1.2;17;NA;NA
MEDITS-GSA18;2005;143;PAPELON;f;i;1.2;29;NA;NA
MEDITS-GSA18;2005;95;PAPELON;f;i;1.2;565;NA;NA
MEDITS-GSA18;2005;103;PAPELON;f;i;1.3;31;NA;NA
MEDITS-GSA18;2005;107;PAPELON;f;i;1.3;61;NA;NA
MEDITS-GSA18;2005;124;PAPELON;f;i;1.3;37;NA;NA
MEDITS-GSA18;2005;126;PAPELON;f;i;1.3;63;NA;NA
MEDITS-GSA18;2005;128;PAPELON;f;i;1.3;19;NA;NA
MEDITS-GSA18;2005;129;PAPELON;f;i;1.3;10;NA;NA
MEDITS-GSA18;2005;136;PAPELON;f;i;1.3;11;NA;NA
MEDITS-GSA18;2005;138;PAPELON;f;i;1.3;17;NA;NA
MEDITS-GSA18;2005;143;PAPELON;f;i;1.3;29;NA;NA
MEDITS-GSA18;2005;77;PAPELON;f;i;1.3;184;NA;NA
MEDITS-GSA18;2005;79;PAPELON;f;i;1.3;80;NA;NA
MEDITS-GSA18;2005;95;PAPELON;f;i;1.3;565;NA;NA
MEDITS-GSA18;2005;128;PAPELON;f;m;1.3;19;NA;NA
MEDITS-GSA18;2005;101;PAPELON;f;i;1.4;39;NA;NA
MEDITS-GSA18;2005;102;PAPELON;f;i;1.4;27;NA;NA
MEDITS-GSA18;2005;103;PAPELON;f;i;1.4;31;NA;NA
MEDITS-GSA18;2005;104;PAPELON;f;i;1.4;32;NA;NA
MEDITS-GSA18;2005;107;PAPELON;f;i;1.4;61;NA;NA
MEDITS-GSA18;2005;110;PAPELON;f;i;1.4;15;NA;NA
MEDITS-GSA18;2005;111;PAPELON;f;i;1.4;26;NA;NA
MEDITS-GSA18;2005;118;PAPELON;f;i;1.4;6;NA;NA
MEDITS-GSA18;2005;124;PAPELON;f;i;1.4;37;NA;NA
MEDITS-GSA18;2005;126;PAPELON;f;i;1.4;63;NA;NA
MEDITS-GSA18;2005;129;PAPELON;f;i;1.4;10;NA;NA
MEDITS-GSA18;2005;135;PAPELON;f;i;1.4;7;NA;NA
MEDITS-GSA18;2005;137;PAPELON;f;i;1.4;3;NA;NA
MEDITS-GSA18;2005;138;PAPELON;f;i;1.4;17;NA;NA
MEDITS-GSA18;2005;143;PAPELON;f;i;1.4;29;NA;NA
MEDITS-GSA18;2005;77;PAPELON;f;i;1.4;184;NA;NA
MEDITS-GSA18;2005;79;PAPELON;f;i;1.4;80;NA;NA
MEDITS-GSA18;2005;93;PAPELON;f;i;1.4;146;NA;NA
MEDITS-GSA18;2005;95;PAPELON;f;i;1.4;565;NA;NA
MEDITS-GSA18;2005;97;PAPELON;f;i;1.4;40;NA;NA
MEDITS-GSA18;2005;99;PAPELON;f;i;1.4;13;NA;NA
MEDITS-GSA18;2005;101;PAPELON;f;i;1.5;39;NA;NA
MEDITS-GSA18;2005;102;PAPELON;f;i;1.5;27;NA;NA
MEDITS-GSA18;2005;103;PAPELON;f;i;1.5;31;NA;NA
MEDITS-GSA18;2005;107;PAPELON;f;i;1.5;61;NA;NA
MEDITS-GSA18;2005;110;PAPELON;f;i;1.5;15;NA;NA
MEDITS-GSA18;2005;111;PAPELON;f;i;1.5;26;NA;NA
MEDITS-GSA18;2005;123;PAPELON;f;i;1.5;16;NA;NA
MEDITS-GSA18;2005;124;PAPELON;f;i;1.5;37;NA;NA
MEDITS-GSA18;2005;125;PAPELON;f;i;1.5;33;NA;NA
MEDITS-GSA18;2005;126;PAPELON;f;i;1.5;63;NA;NA
MEDITS-GSA18;2005;129;PAPELON;f;i;1.5;10;NA;NA
MEDITS-GSA18;2005;136;PAPELON;f;i;1.5;11;NA;NA
MEDITS-GSA18;2005;138;PAPELON;f;i;1.5;17;NA;NA
MEDITS-GSA18;2005;143;PAPELON;f;i;1.5;29;NA;NA
MEDITS-GSA18;2005;77;PAPELON;f;i;1.5;184;NA;NA
MEDITS-GSA18;2005;79;PAPELON;f;i;1.5;80;NA;NA
MEDITS-GSA18;2005;84;PAPELON;f;i;1.5;74;NA;NA
MEDITS-GSA18;2005;88;PAPELON;f;i;1.5;37;NA;NA
MEDITS-GSA18;2005;89;PAPELON;f;i;1.5;72;NA;NA
MEDITS-GSA18;2005;90;PAPELON;f;i;1.5;122;NA;NA
