Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;2001;75;6;2;0.044;40.23608;18.52592;90.5
MEDITS-GSA18;2001;76;6;2;0.044;40.34267;18.42458;89.5
MEDITS-GSA18;2001;77;6;4;0.09;40.38908;18.61608;337.5
MEDITS-GSA18;2001;78;6;5;0.09;40.44617;18.63192;505
MEDITS-GSA18;2001;79;6;3;0.043;40.43483;18.51992;116
MEDITS-GSA18;2001;80;6;1;0.047;41.12975;16.959;41.5
MEDITS-GSA18;2001;81;6;3;0.044;40.65192;18.49067;142
MEDITS-GSA18;2001;82;6;4;0.096;40.68225;18.49775;292
MEDITS-GSA18;2001;83;6;3;0.046;40.6615;18.393;119.5
MEDITS-GSA18;2001;84;6;3;0.045;40.57625;18.4865;112
MEDITS-GSA18;2001;85;6;4;0.09;40.68833;18.52925;409
MEDITS-GSA18;2001;86;6;5;0.093;40.65517;18.59142;546
MEDITS-GSA18;2001;87;6;5;0.09;40.59308;18.62075;562
MEDITS-GSA18;2001;88;6;2;0.045;40.574;18.28292;92
MEDITS-GSA18;2001;89;6;3;0.045;40.6825;18.36783;121
MEDITS-GSA18;2001;90;6;3;0.045;40.66275;18.362;117.5
MEDITS-GSA18;2001;91;6;5;0.093;40.73875;18.50175;548.5
MEDITS-GSA18;2001;92;6;4;0.093;40.63275;18.5545;323
MEDITS-GSA18;2001;93;6;3;0.045;40.70025;18.32908;122.5
MEDITS-GSA18;2001;94;6;4;0.093;40.74225;18.41775;390.5
MEDITS-GSA18;2001;95;6;3;0.046;40.71267;18.29058;123
MEDITS-GSA18;2001;96;6;4;0.093;40.75842;18.34967;354.5
MEDITS-GSA18;2001;97;6;3;0.046;40.80642;17.96675;109.5
MEDITS-GSA18;2001;98;6;5;0.093;40.76408;18.43908;563.5
MEDITS-GSA18;2001;99;6;1;0.045;41.11383;17.01017;43.5
MEDITS-GSA18;2001;100;6;1;0.044;41.20975;16.71283;42.5
MEDITS-GSA18;2001;101;6;2;0.043;40.86833;17.55167;58.5
MEDITS-GSA18;2001;102;6;3;0.046;41.133;17.18992;113.5
MEDITS-GSA18;2001;103;6;3;0.046;41.16733;17.13433;118.5
MEDITS-GSA18;2001;104;6;2;0.044;41.13092;17.05142;83.5
MEDITS-GSA18;2001;105;6;1;0.044;41.20883;16.77375;49
MEDITS-GSA18;2001;106;6;3;0.046;41.20458;16.96425;109.5
MEDITS-GSA18;2001;107;6;3;0.046;41.19633;17.02183;103.5
MEDITS-GSA18;2001;108;6;2;0.044;41.36425;16.57583;67
MEDITS-GSA18;2001;109;6;1;0.043;41.26175;16.5875;34
MEDITS-GSA18;2001;110;6;3;0.045;41.37683;16.865;111
MEDITS-GSA18;2001;111;6;3;0.043;41.33042;16.83917;106
MEDITS-GSA18;2001;112;6;2;0.045;41.31767;16.5875;58
MEDITS-GSA18;2001;113;6;3;0.044;41.46483;16.84617;114.5
MEDITS-GSA18;2001;114;6;2;0.044;41.29992;16.59325;53
MEDITS-GSA18;2001;115;6;1;0.043;41.2695;16.54292;29.5
MEDITS-GSA18;2001;116;6;5;0.09;41.50842;17.14892;528.5
MEDITS-GSA18;2001;117;6;1;0.041;41.78792;16.3635;49.5
MEDITS-GSA18;2001;118;6;1;0.044;41.73125;16.38767;49
MEDITS-GSA18;2001;119;6;1;0.042;41.70008;16.3445;34.5
MEDITS-GSA18;2001;120;6;1;0.042;41.66608;16.324;28
MEDITS-GSA18;2001;121;6;1;0.042;41.67008;16.31392;26
MEDITS-GSA18;2001;122;6;1;0.034;41.62417;16.3205;29
MEDITS-GSA18;2001;123;6;1;0.04;41.587;16.34233;35.5
MEDITS-GSA18;2001;124;6;1;0.042;41.43408;16.41583;44
MEDITS-GSA18;2001;125;6;1;0.042;41.40933;16.44992;47.5
MEDITS-GSA18;2001;126;6;2;0.045;41.76033;16.39883;55.5
MEDITS-GSA18;2001;127;6;2;0.045;41.57833;16.49467;71.5
MEDITS-GSA18;2001;128;6;2;0.045;41.55467;16.51975;75
MEDITS-GSA18;2001;129;6;2;0.044;41.59183;16.44092;58.5
MEDITS-GSA18;2001;130;6;2;0.045;41.52542;16.55517;79.5
MEDITS-GSA18;2001;131;6;2;0.045;41.48367;16.56358;78
MEDITS-GSA18;2001;132;6;3;0.046;41.914;16.61925;119
MEDITS-GSA18;2001;133;6;3;0.046;41.89517;16.65942;128
MEDITS-GSA18;2001;134;6;3;0.046;41.86033;16.67817;120
MEDITS-GSA18;2001;135;6;3;0.048;41.53133;16.83567;119.5
MEDITS-GSA18;2001;136;6;3;0.043;41.3115;16.92317;112
MEDITS-GSA18;2001;137;6;3;0.045;41.43167;16.87133;116
MEDITS-GSA18;2001;138;6;3;0.048;41.26633;16.93242;112.5
MEDITS-GSA18;2001;139;6;4;0.071;41.94883;16.80525;218.5
MEDITS-GSA18;2001;140;6;4;0.071;41.90517;16.83617;226.5
MEDITS-GSA18;2001;141;6;4;0.072;41.86483;16.85475;230
MEDITS-GSA18;2001;142;6;4;0.093;41.58508;17.07;437.5
MEDITS-GSA18;2001;143;6;5;0.097;42.01275;16.99325;519
MEDITS-GSA18;2001;144;6;5;0.093;42.071;16.99125;519.5
MEDITS-GSA18;2001;145;6;5;0.09;41.49867;17.15708;524.5
MEDITS-GSA18;2001;146;6;5;0.09;41.54917;17.16167;530.5
