Survey;Year;Haul;Species;Number;Weight
MEDITS-GSA18;1996;77;ABRAVER;2;0.008
MEDITS-GSA18;1996;77;ALLOMED;25;0.058
MEDITS-GSA18;1996;77;CERAMAD;1;0.011
MEDITS-GSA18;1996;77;CHAUSLO;1;0.012
MEDITS-GSA18;1996;77;CHLOGRA;6;0.009
MEDITS-GSA18;1996;77;CLORAGA;3;0.025
MEDITS-GSA18;1996;77;COELCOE;2;0.045
MEDITS-GSA18;1996;77;DIAPRAF;1;0.002
MEDITS-GSA18;1996;77;ECHIDEN;2;0.008
MEDITS-GSA18;1996;77;ELECRIS;1;0.001
MEDITS-GSA18;1996;77;ETMOSPI;6;0.063
MEDITS-GSA18;1996;77;GADIARG;11;0.019
MEDITS-GSA18;1996;77;GAIDMED;6;0.031
MEDITS-GSA18;1996;77;GNATMYS;1;0.049
MEDITS-GSA18;1996;77;HELIDAC;1;0.001
MEDITS-GSA18;1996;77;ILLECOI;1;0.207
MEDITS-GSA18;1996;77;LEPMBOS;3;0.38
MEDITS-GSA18;1996;77;LOPHBUD;3;1.176
MEDITS-GSA18;1996;77;MCPITUB;30;0.28
MEDITS-GSA18;1996;77;MERLMER;28;6.207
MEDITS-GSA18;1996;77;MICMPOU;4;0.559
MEDITS-GSA18;1996;77;MUNIINT;4;0.02
MEDITS-GSA18;1996;77;NEPRNOR;15;0.628
MEDITS-GSA18;1996;77;NOTORIS;1;0.004
MEDITS-GSA18;1996;77;NOTSELO;5;0.007
MEDITS-GSA18;1996;77;PAPELON;3;0.055
MEDITS-GSA18;1996;77;PASISIV;5329;3.877
MEDITS-GSA18;1996;77;PHYIBLE;93;1.665
MEDITS-GSA18;1996;77;PLESHET;3;0.012
MEDITS-GSA18;1996;77;POLCTYP;11;0.063
MEDITS-GSA18;1996;77;PONPSPI;3;0.002
MEDITS-GSA18;1996;77;PROCMED;30;0.05
MEDITS-GSA18;1996;77;SOLOMEM;83;0.238
MEDITS-GSA18;1996;77;SYMPNIG;2;0.02
MEDITS-GSA18;1996;77;XANTCOU;2;0.013
MEDITS-GSA18;1996;78;ARISFOL;3;0.034
MEDITS-GSA18;1996;78;ARITANT;16;0.31
MEDITS-GSA18;1996;78;BENSGLA;2;0.002
MEDITS-GSA18;1996;78;CHAUSLO;1;0.009
MEDITS-GSA18;1996;78;CLORAGA;1;0.001
MEDITS-GSA18;1996;78;EPIGDEN;1;0.002
MEDITS-GSA18;1996;78;ETMOSPI;1;0.028
MEDITS-GSA18;1996;78;GADIARG;10;0.023
MEDITS-GSA18;1996;78;GONERHO;1;0.004
MEDITS-GSA18;1996;78;HISTBON;1;0.169
MEDITS-GSA18;1996;78;HISTREV;1;0.017
MEDITS-GSA18;1996;78;HYGOBEN;13;0.02
MEDITS-GSA18;1996;78;LAMACRO;2;0.03
MEDITS-GSA18;1996;78;MCPITUB;3;0.033
MEDITS-GSA18;1996;78;MERLMER;2;0.322
MEDITS-GSA18;1996;78;MICMPOU;3;0.431
MEDITS-GSA18;1996;78;MYCOPUN;1;0.003
MEDITS-GSA18;1996;78;NEPRNOR;1;0.07
MEDITS-GSA18;1996;78;NOTORIS;2;0.003
MEDITS-GSA18;1996;78;NOTSELO;7;0.009
MEDITS-GSA18;1996;78;PAPELON;1;0.015
MEDITS-GSA18;1996;78;PASIMUL;1;0.01
MEDITS-GSA18;1996;78;PASISIV;2426;3.032
MEDITS-GSA18;1996;78;PHYIBLE;2;0.337
MEDITS-GSA18;1996;78;PLESMAR;4;0.017
MEDITS-GSA18;1996;78;POLCTYP;4;0.012
MEDITS-GSA18;1996;78;SOLOMEM;40;0.127
MEDITS-GSA18;1996;78;STOMBOA;2;0.009
MEDITS-GSA18;1996;78;TODASAG;1;0.107
MEDITS-GSA18;1996;78;XANTCOU;2;0.009
MEDITS-GSA18;1996;79;ARGESPY;50;0.073
MEDITS-GSA18;1996;79;ARNORUP;3;0.026
MEDITS-GSA18;1996;79;CAPOAPE;1;0.056
MEDITS-GSA18;1996;79;DARDARR;1;0.033
MEDITS-GSA18;1996;79;EUTRGUR;1;0.004
MEDITS-GSA18;1996;79;GOBIFRI;2;0.002
MEDITS-GSA18;1996;79;HELIDAC;10;1.28
MEDITS-GSA18;1996;79;LEPICAU;18;11.5
MEDITS-GSA18;1996;79;LOPHBUD;1;0.176
MEDITS-GSA18;1996;79;MACOSCO;2;0.036
MEDITS-GSA18;1996;79;MERLMER;67;3.032
MEDITS-GSA18;1996;79;MICMPOU;20;0.206
MEDITS-GSA18;1996;79;MUNIINT;3;0.027
MEDITS-GSA18;1996;79;NEPRNOR;1;0.007
MEDITS-GSA18;1996;79;PAPELON;9;0.02
MEDITS-GSA18;1996;79;PHYIBLE;4;0.458
MEDITS-GSA18;1996;79;PLESHET;40;0.08
MEDITS-GSA18;1996;79;PROCMED;1;0.007
MEDITS-GSA18;1996;79;SCORELO;1;0.572
MEDITS-GSA18;1996;79;SOLOMEM;10;0.021
MEDITS-GSA18;1996;79;SYMPNIG;8;0.037
MEDITS-GSA18;1996;79;TRACTRA;2;0.009
MEDITS-GSA18;1996;79;TRIGLYR;1;0.004
MEDITS-GSA18;1996;80;ALLOMED;11;0.105
MEDITS-GSA18;1996;80;ANTOMEG;1;0.003
MEDITS-GSA18;1996;80;ARNOLAT;6;0.05
MEDITS-GSA18;1996;80;BOOPBOO;10;0.553
MEDITS-GSA18;1996;80;CEPOMAC;3;0.028
MEDITS-GSA18;1996;80;DORILAN;5;0.075
MEDITS-GSA18;1996;80;ELEDMOS;2;0.254
MEDITS-GSA18;1996;80;ENGRENC;12;0.073
MEDITS-GSA18;1996;80;GONERHO;3;0.01
MEDITS-GSA18;1996;80;LOLIVUL;1;0.218
MEDITS-GSA18;1996;80;MCPIDEP;123;0.695
MEDITS-GSA18;1996;80;MERLMER;21;0.6
MEDITS-GSA18;1996;80;MULLBAR;1;0.043
MEDITS-GSA18;1996;80;PAGUALA;2;0.01
MEDITS-GSA18;1996;80;SARDPIL;12;0.402
MEDITS-GSA18;1996;80;SCORNOT;1;0.016
MEDITS-GSA18;1996;80;SERACAB;1;0.042
MEDITS-GSA18;1996;80;SPICSMA;8;0.079
MEDITS-GSA18;1996;80;SPRASPR;41;0.297
MEDITS-GSA18;1996;80;SQUIMAN;6;0.107
MEDITS-GSA18;1996;80;TRACTRA;20;0.155
MEDITS-GSA18;1996;81;ANTOMEG;8;0.053
MEDITS-GSA18;1996;81;ARITANT;1;0.02
MEDITS-GSA18;1996;81;CALMMAC;1;0.003
MEDITS-GSA18;1996;81;CAPOAPE;1;0.024
MEDITS-GSA18;1996;81;CLORAGA;2;0.003
MEDITS-GSA18;1996;81;ELEDCIR;1;0.553
MEDITS-GSA18;1996;81;GADIARG;15;0.042
MEDITS-GSA18;1996;81;GOBIFRI;27;0.036
MEDITS-GSA18;1996;81;HELIDAC;3;0.084
MEDITS-GSA18;1996;81;LEPICAU;81;41.5
MEDITS-GSA18;1996;81;LEPMBOS;1;0.018
MEDITS-GSA18;1996;81;LEPTCAV;1;0.007
MEDITS-GSA18;1996;81;LOPHBUD;3;0.162
MEDITS-GSA18;1996;81;MACOSCO;1;0.01
MEDITS-GSA18;1996;81;MCPITUB;35;0.341
MEDITS-GSA18;1996;81;MERLMER;31;3.33
MEDITS-GSA18;1996;81;MICMPOU;89;1.488
MEDITS-GSA18;1996;81;MOLVDYP;2;0.029
MEDITS-GSA18;1996;81;MUNIINT;48;0.33
MEDITS-GSA18;1996;81;NEPRNOR;21;0.279
MEDITS-GSA18;1996;81;PAGUALA;1;0.008
MEDITS-GSA18;1996;81;PAPELON;12;0.134
MEDITS-GSA18;1996;81;PHYIBLE;5;0.646
MEDITS-GSA18;1996;81;PLESHET;273;0.514
MEDITS-GSA18;1996;81;POLCTYP;2;0.005
MEDITS-GSA18;1996;81;SCAEUNI;1;0.065
MEDITS-GSA18;1996;81;SCYOCAN;1;0.046
MEDITS-GSA18;1996;81;SEPIORB;1;0.057
MEDITS-GSA18;1996;81;SEPOSPP;1;0.002
MEDITS-GSA18;1996;81;STOMBOA;4;0.032
MEDITS-GSA18;1996;81;SYMPNIG;6;0.029
MEDITS-GSA18;1996;81;TODIEBL;4;0.432
MEDITS-GSA18;1996;81;TRACTRA;3;0.013
MEDITS-GSA18;1996;82;ALPHGLA;1;0.001
MEDITS-GSA18;1996;82;ANTOMEG;10;0.061
MEDITS-GSA18;1996;82;ARNOLAT;1;0.012
MEDITS-GSA18;1996;82;CHLOGRA;90;0.179
MEDITS-GSA18;1996;82;CLORAGA;2;0.011
MEDITS-GSA18;1996;82;CONGCON;2;0.155
MEDITS-GSA18;1996;82;ECHIDEN;1;0.008
MEDITS-GSA18;1996;82;ETMOSPI;1;0.012
MEDITS-GSA18;1996;82;GADIARG;101;0.39
MEDITS-GSA18;1996;82;GALUMEL;10;0.072
MEDITS-GSA18;1996;82;GOBIFRI;11;0.011
MEDITS-GSA18;1996;82;GONERHO;2;0.01
MEDITS-GSA18;1996;82;HELIDAC;1;0.076
MEDITS-GSA18;1996;82;LEPMBOS;5;0.411
MEDITS-GSA18;1996;82;LOPHBUD;14;0.425
MEDITS-GSA18;1996;82;MCPIDEP;1;0.027
MEDITS-GSA18;1996;82;MCPITUB;46;0.288
MEDITS-GSA18;1996;82;MERLMER;28;3.335
MEDITS-GSA18;1996;82;MICMPOU;1;0.146
MEDITS-GSA18;1996;82;MUNIINT;66;0.235
MEDITS-GSA18;1996;82;NEPRNOR;142;1.568
MEDITS-GSA18;1996;82;OCTOSAL;2;0.586
MEDITS-GSA18;1996;82;PAPELON;54;0.778
MEDITS-GSA18;1996;82;PHYIBLE;70;2.126
MEDITS-GSA18;1996;82;PLESHET;23;0.072
MEDITS-GSA18;1996;82;POLCTYP;10;0.043
MEDITS-GSA18;1996;82;PROCMED;17;0.032
MEDITS-GSA18;1996;82;RISSPAL;2;0.005
MEDITS-GSA18;1996;82;ROSSMAC;1;0.132
MEDITS-GSA18;1996;82;SCAEUNI;1;0.289
MEDITS-GSA18;1996;82;SOLOMEM;63;0.197
MEDITS-GSA18;1996;82;SYMPNIG;5;0.034
MEDITS-GSA18;1996;82;TODIEBL;1;0.052
MEDITS-GSA18;1996;82;TRACTRA;3;0.017
MEDITS-GSA18;1996;82;TRIGLYR;1;0.001
MEDITS-GSA18;1996;82;XANTCOU;3;0.028
MEDITS-GSA18;1996;83;ALLOMED;1;0.004
MEDITS-GSA18;1996;83;ANTOMEG;3;0.015
MEDITS-GSA18;1996;83;APHIMIN;1;0.001
MEDITS-GSA18;1996;83;CALMMAC;4;0.01
MEDITS-GSA18;1996;83;CEPOMAC;4;0.045
MEDITS-GSA18;1996;83;CONGCON;3;0.193
MEDITS-GSA18;1996;83;ELEDCIR;4;1.426
MEDITS-GSA18;1996;83;GADIARG;2;0.003
MEDITS-GSA18;1996;83;GOBIFRI;2;0.002
MEDITS-GSA18;1996;83;HOMOBAR;6;0.102
MEDITS-GSA18;1996;83;ILLECOI;2;0.21
MEDITS-GSA18;1996;83;LEPICAU;6;2.707
MEDITS-GSA18;1996;83;LEPMBOS;1;0.25
MEDITS-GSA18;1996;83;LEPTCAV;1;0.013
MEDITS-GSA18;1996;83;LOPHBUD;4;0.523
MEDITS-GSA18;1996;83;MACOSCO;1;0.003
MEDITS-GSA18;1996;83;MERLMER;42;2.714
MEDITS-GSA18;1996;83;MICMPOU;60;0.674
MEDITS-GSA18;1996;83;NEPRNOR;2;0.083
MEDITS-GSA18;1996;83;PHYIBLE;5;0.051
MEDITS-GSA18;1996;83;SERACAB;1;0.028
MEDITS-GSA18;1996;83;SQUAACA;1;1.268
MEDITS-GSA18;1996;83;TRACTRA;134;1.325
MEDITS-GSA18;1996;83;TRISCAP;27;0.783
MEDITS-GSA18;1996;84;ALLOMED;1;0.009
MEDITS-GSA18;1996;84;ANTOMEG;1;0.005
MEDITS-GSA18;1996;84;ARGESPY;4;0.047
MEDITS-GSA18;1996;84;ARNOLAT;1;0.004
MEDITS-GSA18;1996;84;CALMMAC;6;0.017
MEDITS-GSA18;1996;84;CHLOGRA;7;0.01
MEDITS-GSA18;1996;84;CONGCON;2;0.125
MEDITS-GSA18;1996;84;ELEDCIR;4;1.223
MEDITS-GSA18;1996;84;GOBIFRI;13;0.016
MEDITS-GSA18;1996;84;HELIDAC;1;0.004
MEDITS-GSA18;1996;84;HOMOBAR;2;0.02
MEDITS-GSA18;1996;84;ILLECOI;2;0.163
MEDITS-GSA18;1996;84;LEPICAU;7;5.5
MEDITS-GSA18;1996;84;LOPHBUD;6;0.182
MEDITS-GSA18;1996;84;LOPHPIS;1;4.1
MEDITS-GSA18;1996;84;MACRLON;4;0.011
MEDITS-GSA18;1996;84;MCPITUB;4;0.035
MEDITS-GSA18;1996;84;MERLMER;33;2.392
MEDITS-GSA18;1996;84;MICMPOU;5;0.056
MEDITS-GSA18;1996;84;PAPELON;2;0.019
MEDITS-GSA18;1996;84;PHYIBLE;8;0.27
MEDITS-GSA18;1996;84;ROSSMAC;1;0.045
MEDITS-GSA18;1996;84;SOLOMEM;2;0.005
MEDITS-GSA18;1996;84;SYMPNIG;1;0.013
MEDITS-GSA18;1996;84;TRACTRA;37;1.106
MEDITS-GSA18;1996;84;TRIGLUC;1;2.3
MEDITS-GSA18;1996;84;TRISCAP;11;0.05
MEDITS-GSA18;1996;84;URANSCA;1;0.18
MEDITS-GSA18;1996;85;ABRAVER;4;0.018
MEDITS-GSA18;1996;85;BATYSUP;7;0.117
MEDITS-GSA18;1996;85;CHIMMON;25;4.623
MEDITS-GSA18;1996;85;CLORAGA;1;0.007
MEDITS-GSA18;1996;85;COELCOE;1;0.136
MEDITS-GSA18;1996;85;CONGCON;4;1.306
MEDITS-GSA18;1996;85;ETMOSPI;15;0.207
MEDITS-GSA18;1996;85;GADIARG;7;0.07
MEDITS-GSA18;1996;85;GALUMEL;86;6.051
MEDITS-GSA18;1996;85;HELIDAC;3;0.485
MEDITS-GSA18;1996;85;HISTREV;1;0.01
MEDITS-GSA18;1996;85;HOPLMED;1;0.001
MEDITS-GSA18;1996;85;HYMEITA;35;0.12
MEDITS-GSA18;1996;85;LAMACRO;1;0.012
MEDITS-GSA18;1996;85;LEPICAU;2;4
MEDITS-GSA18;1996;85;MCPITUB;13;0.059
MEDITS-GSA18;1996;85;MERLMER;1;1.664
MEDITS-GSA18;1996;85;MICMPOU;8;1.527
MEDITS-GSA18;1996;85;MUNIINT;1;0.007
MEDITS-GSA18;1996;85;NEPRNOR;91;2.7
MEDITS-GSA18;1996;85;PAPELON;2;0.034
MEDITS-GSA18;1996;85;PHYIBLE;45;3.309
MEDITS-GSA18;1996;85;PLESMAR;9;0.032
MEDITS-GSA18;1996;85;POLCTYP;70;0.255
MEDITS-GSA18;1996;85;ROSSMAC;1;0.042
MEDITS-GSA18;1996;85;SOLOMEM;15;0.063
MEDITS-GSA18;1996;85;SYMPNIG;2;0.007
MEDITS-GSA18;1996;85;TODIEBL;2;0.308
MEDITS-GSA18;1996;86;ARGRHEM;1;0.001
MEDITS-GSA18;1996;86;ARITANT;33;0.761
MEDITS-GSA18;1996;86;BATYSUP;1;0.009
MEDITS-GSA18;1996;86;BENSGLA;11;0.011
MEDITS-GSA18;1996;86;CHAUSLO;1;0.009
MEDITS-GSA18;1996;86;CHIMMON;1;0.689
MEDITS-GSA18;1996;86;COELCOE;3;0.308
MEDITS-GSA18;1996;86;DIAPRAF;2;0.004
MEDITS-GSA18;1996;86;ETMOSPI;3;0.136
MEDITS-GSA18;1996;86;GALUMEL;5;0.288
MEDITS-GSA18;1996;86;GERYLON;2;0.122
MEDITS-GSA18;1996;86;HELIDAC;1;0.107
MEDITS-GSA18;1996;86;HYGOBEN;1;0.001
MEDITS-GSA18;1996;86;HYMEITA;6;0.026
MEDITS-GSA18;1996;86;LAMACRO;3;0.054
MEDITS-GSA18;1996;86;MEGANOR;2;0.001
MEDITS-GSA18;1996;86;MERLMER;1;0.538
MEDITS-GSA18;1996;86;MORAMOR;1;0.004
MEDITS-GSA18;1996;86;MYCOPUN;1;0.004
MEDITS-GSA18;1996;86;NEZUSCL;7;0.091
MEDITS-GSA18;1996;86;PHYIBLE;1;0.16
MEDITS-GSA18;1996;86;PLESMAR;45;0.293
MEDITS-GSA18;1996;86;POLCTYP;36;0.076
MEDITS-GSA18;1996;86;SERGROB;2;0.003
MEDITS-GSA18;1996;86;STOMBOA;3;0.01
MEDITS-GSA18;1996;86;XANTCOU;1;0.002
MEDITS-GSA18;1996;87;ARGRHEM;2;0.002
MEDITS-GSA18;1996;87;ARISFOL;5;0.136
MEDITS-GSA18;1996;87;BATYSUP;11;0.295
MEDITS-GSA18;1996;87;CHIMMON;11;3.867
MEDITS-GSA18;1996;87;CLORAGA;1;0.006
MEDITS-GSA18;1996;87;COELCOE;19;1.509
MEDITS-GSA18;1996;87;CONGCON;1;0.147
MEDITS-GSA18;1996;87;EPIGDEN;1;0.002
MEDITS-GSA18;1996;87;ETMOSPI;9;0.215
MEDITS-GSA18;1996;87;GADIARG;2;0.01
MEDITS-GSA18;1996;87;GALUMEL;44;6.093
MEDITS-GSA18;1996;87;GERYLON;4;0.475
MEDITS-GSA18;1996;87;HELIDAC;5;1.3
MEDITS-GSA18;1996;87;HISTREV;1;0.03
MEDITS-GSA18;1996;87;HOPLMED;10;0.908
MEDITS-GSA18;1996;87;HYGOBEN;9;0.008
MEDITS-GSA18;1996;87;HYMEITA;66;0.239
MEDITS-GSA18;1996;87;LAMACRO;3;0.02
MEDITS-GSA18;1996;87;MCPITUB;1;0.015
MEDITS-GSA18;1996;87;MEGANOR;50;0.03
MEDITS-GSA18;1996;87;MERLMER;1;0.461
MEDITS-GSA18;1996;87;MORAMOR;1;0.005
MEDITS-GSA18;1996;87;MULLSUR;1;0.096
MEDITS-GSA18;1996;87;MUNIPER;1;0.002
MEDITS-GSA18;1996;87;NEPRNOR;6;0.243
MEDITS-GSA18;1996;87;NEZUSCL;22;0.385
MEDITS-GSA18;1996;87;NOTORIS;2;0.005
MEDITS-GSA18;1996;87;NOTSELO;1;0.001
MEDITS-GSA18;1996;87;PAGUALA;4;0.018
MEDITS-GSA18;1996;87;PASISIV;1717;1.693
MEDITS-GSA18;1996;87;PHYIBLE;7;0.637
MEDITS-GSA18;1996;87;PLESMAR;120;0.586
MEDITS-GSA18;1996;87;POLCTYP;101;0.324
MEDITS-GSA18;1996;87;SERGROB;99;0.13
MEDITS-GSA18;1996;87;STOMBOA;4;0.023
MEDITS-GSA18;1996;88;ALLOMED;50;0.079
MEDITS-GSA18;1996;88;ANTOMEG;8;0.049
MEDITS-GSA18;1996;88;ARGESPY;11;0.024
MEDITS-GSA18;1996;88;ARNOLAT;6;0.017
MEDITS-GSA18;1996;88;BOOPBOO;1;0.084
MEDITS-GSA18;1996;88;CALMMAC;7;0.021
MEDITS-GSA18;1996;88;CEPOMAC;10;0.163
MEDITS-GSA18;1996;88;DORILAN;36;0.504
MEDITS-GSA18;1996;88;ENGRENC;1;0.02
MEDITS-GSA18;1996;88;EUTRGUR;3;0.015
MEDITS-GSA18;1996;88;GOBIFRI;10;0.023
MEDITS-GSA18;1996;88;GONERHO;36;0.108
MEDITS-GSA18;1996;88;ILLECOI;11;1.318
MEDITS-GSA18;1996;88;LEPICAU;1;1.3
MEDITS-GSA18;1996;88;LOLIVUL;1;0.01
MEDITS-GSA18;1996;88;LOPHBUD;2;0.041
MEDITS-GSA18;1996;88;MCPIDEP;900;9.576
MEDITS-GSA18;1996;88;MERLMER;94;4.348
MEDITS-GSA18;1996;88;OCTODEP;1;0.3
MEDITS-GSA18;1996;88;PAGUALA;36;0.144
MEDITS-GSA18;1996;88;POMSMIN;1;0.001
MEDITS-GSA18;1996;88;SARDPIL;1;0.055
MEDITS-GSA18;1996;88;SCAEUNI;1;0.02
MEDITS-GSA18;1996;88;SCOMSCO;15;1.6
MEDITS-GSA18;1996;88;SCORNOT;2;0.053
MEDITS-GSA18;1996;88;SERACAB;1;0.05
MEDITS-GSA18;1996;88;SERAHEP;2;0.007
MEDITS-GSA18;1996;88;SPICSMA;5;0.226
MEDITS-GSA18;1996;88;TORPMAR;1;0.201
MEDITS-GSA18;1996;88;TRACTRA;6;0.038
MEDITS-GSA18;1996;88;TRAHDRA;1;0.1
MEDITS-GSA18;1996;88;TRISCAP;160;0.604
MEDITS-GSA18;1996;89;ALLOMED;6;0.015
MEDITS-GSA18;1996;89;ANTOMEG;1;0.011
MEDITS-GSA18;1996;89;ARNOLAT;1;0.002
MEDITS-GSA18;1996;89;BOOPBOO;1;0.13
MEDITS-GSA18;1996;89;CALMMAC;1;0.005
MEDITS-GSA18;1996;89;CEPOMAC;2;0.014
MEDITS-GSA18;1996;89;ELEDCIR;4;1.148
MEDITS-GSA18;1996;89;EUTRGUR;1;0.005
MEDITS-GSA18;1996;89;GOBIFRI;3;0.006
MEDITS-GSA18;1996;89;HELIDAC;3;0.07
MEDITS-GSA18;1996;89;ILLECOI;2;0.045
MEDITS-GSA18;1996;89;LEPICAU;13;0.292
MEDITS-GSA18;1996;89;LEPTCAV;2;0.026
MEDITS-GSA18;1996;89;LOLIVUL;2;0.011
MEDITS-GSA18;1996;89;LOPHBUD;6;2.371
MEDITS-GSA18;1996;89;MACOSCO;1;0.011
MEDITS-GSA18;1996;89;MCPITUB;1;0.008
MEDITS-GSA18;1996;89;MERLMER;36;1.983
MEDITS-GSA18;1996;89;MICMPOU;2;0.022
MEDITS-GSA18;1996;89;NEPRNOR;5;0.129
MEDITS-GSA18;1996;89;OPHCRUF;1;0.051
MEDITS-GSA18;1996;89;PHYIBLE;1;0.014
MEDITS-GSA18;1996;89;SEPIORB;1;0.069
MEDITS-GSA18;1996;89;SEPOSPP;1;0.008
MEDITS-GSA18;1996;89;SYMPNIG;1;0.012
MEDITS-GSA18;1996;89;TRACTRA;97;0.562
MEDITS-GSA18;1996;89;TRISCAP;24;0.39
MEDITS-GSA18;1996;90;ARGESPY;1;0.023
MEDITS-GSA18;1996;90;ASPICUC;1;0.057
MEDITS-GSA18;1996;90;CEPOMAC;1;0.011
MEDITS-GSA18;1996;90;CONGCON;2;0.2
MEDITS-GSA18;1996;90;ILLECOI;1;0.1
MEDITS-GSA18;1996;90;LEPMWHS;1;0.17
MEDITS-GSA18;1996;90;LOPHBUD;6;0.19
MEDITS-GSA18;1996;90;LOPHPIS;1;0.025
MEDITS-GSA18;1996;90;MCPIDEP;1;0.018
MEDITS-GSA18;1996;90;MCPITUB;1;0.014
MEDITS-GSA18;1996;90;MERLMER;28;2.883
MEDITS-GSA18;1996;90;NEPRNOR;4;0.116
MEDITS-GSA18;1996;90;PHYIBLE;2;0.04
MEDITS-GSA18;1996;90;ROSSMAC;1;0.113
MEDITS-GSA18;1996;90;SCAEUNI;1;0.015
MEDITS-GSA18;1996;90;SERACAB;1;0.06
MEDITS-GSA18;1996;90;TRACTRA;1;0.005
MEDITS-GSA18;1996;90;TRISCAP;3;0.136
MEDITS-GSA18;1996;91;ARGRHEM;4;0.002
MEDITS-GSA18;1996;91;ARISFOL;5;0.091
MEDITS-GSA18;1996;91;ARITANT;34;0.792
MEDITS-GSA18;1996;91;BATYSUP;1;0.019
MEDITS-GSA18;1996;91;CHIMMON;3;0.271
MEDITS-GSA18;1996;91;COELCOE;6;0.561
MEDITS-GSA18;1996;91;ETMOSPI;3;0.092
MEDITS-GSA18;1996;91;GALUMEL;25;2.133
MEDITS-GSA18;1996;91;HELIDAC;4;0.78
MEDITS-GSA18;1996;91;HYGOHIG;6;0.008
MEDITS-GSA18;1996;91;HYMEITA;12;0.025
MEDITS-GSA18;1996;91;LAMACRO;1;0.041
MEDITS-GSA18;1996;91;MCPITUB;2;0.006
MEDITS-GSA18;1996;91;MEGANOR;1;0.004
MEDITS-GSA18;1996;91;MERLMER;3;4.77
MEDITS-GSA18;1996;91;MICMPOU;1;0.197
MEDITS-GSA18;1996;91;MUNIPER;2;0.007
MEDITS-GSA18;1996;91;MYCOPUN;1;0.004
MEDITS-GSA18;1996;91;NEPRNOR;1;0.041
MEDITS-GSA18;1996;91;NEZUSCL;13;0.219
MEDITS-GSA18;1996;91;NOTABON;1;0.024
MEDITS-GSA18;1996;91;NOTSBOL;4;0.012
MEDITS-GSA18;1996;91;PASIMUL;4;0.037
MEDITS-GSA18;1996;91;PASISIV;103;0.131
MEDITS-GSA18;1996;91;PHYIBLE;3;0.195
MEDITS-GSA18;1996;91;PLESMAR;63;0.364
MEDITS-GSA18;1996;91;POLCTYP;37;0.129
MEDITS-GSA18;1996;91;STOMBOA;1;0.003
MEDITS-GSA18;1996;91;XANTCOU;2;0.009
MEDITS-GSA18;1996;92;ABRAVER;2;0.011
MEDITS-GSA18;1996;92;ANTOMEG;4;0.022
MEDITS-GSA18;1996;92;ARGESPY;1;0.006
MEDITS-GSA18;1996;92;BATYSUP;1;0.032
