Survey;Year;Haul;Species;Number;Weight
MEDITS-GSA18;1996;75;ALLOMED;135;0.331
MEDITS-GSA18;1996;75;ARNOLAT;7;0.037
MEDITS-GSA18;1996;75;ARNOTHO;1;0.003
MEDITS-GSA18;1996;75;ASPICUC;5;0.221
MEDITS-GSA18;1996;75;CALMMAC;6;0.028
MEDITS-GSA18;1996;75;CEPOMAC;3;0.063
MEDITS-GSA18;1996;75;ELEDCIR;4;0.18
MEDITS-GSA18;1996;75;ELEDMOS;4;0.651
MEDITS-GSA18;1996;75;EUTRGUR;11;0.078
MEDITS-GSA18;1996;75;GOBIQUA;1;0.002
MEDITS-GSA18;1996;75;ILLECOI;12;1.358
MEDITS-GSA18;1996;75;LEPICAU;9;11
MEDITS-GSA18;1996;75;LEPTCAV;2;0.03
MEDITS-GSA18;1996;75;LOPHBUD;1;0.033
MEDITS-GSA18;1996;75;LOPHPIS;1;0.056
MEDITS-GSA18;1996;75;MACOSCO;1;0.001
MEDITS-GSA18;1996;75;MCPIDEP;78;0.729
MEDITS-GSA18;1996;75;MERLMER;57;2.137
MEDITS-GSA18;1996;75;MULLSUR;1;0.078
MEDITS-GSA18;1996;75;SERAHEP;14;0.085
MEDITS-GSA18;1996;75;SYMPNIG;1;0.003
MEDITS-GSA18;1996;75;TRACTRA;1705;11.548
MEDITS-GSA18;1996;75;TRISCAP;111;0.293
MEDITS-GSA18;1996;75;URANSCA;1;0.2
MEDITS-GSA18;1996;75;ZEUSFAB;1;0.018
MEDITS-GSA18;1996;76;ALLOMED;18;0.068
MEDITS-GSA18;1996;76;ARGESPY;4;0.003
MEDITS-GSA18;1996;76;ARNOLAT;9;0.043
MEDITS-GSA18;1996;76;BLENOCE;1;0.01
MEDITS-GSA18;1996;76;CALMMAC;10;0.15
MEDITS-GSA18;1996;76;CEPOMAC;12;0.15
MEDITS-GSA18;1996;76;ELEDCIR;1;0.01
MEDITS-GSA18;1996;76;EUTRGUR;13;0.062
MEDITS-GSA18;1996;76;GAIDMED;3;0.021
MEDITS-GSA18;1996;76;GOBIQUA;1;0.001
MEDITS-GSA18;1996;76;ILLECOI;11;1.135
MEDITS-GSA18;1996;76;LEPICAU;3;4.5
MEDITS-GSA18;1996;76;LOPHBUD;5;1.235
MEDITS-GSA18;1996;76;MCPIDEP;132;1.29
MEDITS-GSA18;1996;76;MERLMER;101;4.093
MEDITS-GSA18;1996;76;MULLSUR;1;0.1
MEDITS-GSA18;1996;76;SCAEUNI;1;0.061
MEDITS-GSA18;1996;76;SERAHEP;21;0.12
MEDITS-GSA18;1996;76;SYMPNIG;1;0.003
MEDITS-GSA18;1996;76;TRACTRA;960;5.912
MEDITS-GSA18;1996;76;TRAHDRA;1;0.15
MEDITS-GSA18;1996;76;TRISCAP;297;0.785
MEDITS-GSA18;1996;76;ZEUSFAB;1;1.2
