Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;2000;75;6;2;0.046;40.2405;18.52483;92.5
MEDITS-GSA18;2000;76;6;2;0.046;40.34683;18.42733;91
MEDITS-GSA18;2000;77;6;4;0.09;40.38475;18.61692;358.5
MEDITS-GSA18;2000;78;6;5;0.09;40.4455;18.63492;520
MEDITS-GSA18;2000;79;6;3;0.045;40.43175;18.54292;116.5
MEDITS-GSA18;2000;80;6;1;0.042;41.12825;16.96192;40.5
MEDITS-GSA18;2000;81;6;3;0.044;40.64517;18.49708;139.5
MEDITS-GSA18;2000;82;6;4;0.089;40.66608;18.52183;317
MEDITS-GSA18;2000;83;6;3;0.043;40.65767;18.40375;120
MEDITS-GSA18;2000;84;6;3;0.046;40.58067;18.492;111.5
MEDITS-GSA18;2000;85;6;4;0.093;40.68658;18.53792;442.5
MEDITS-GSA18;2000;86;6;5;0.093;40.64383;18.5935;536.5
MEDITS-GSA18;2000;87;6;5;0.087;40.585;18.61642;505
MEDITS-GSA18;2000;88;6;2;0.044;40.58467;18.2845;93.5
MEDITS-GSA18;2000;89;6;3;0.045;40.67825;18.39367;124
MEDITS-GSA18;2000;90;6;3;0.045;40.65833;18.42933;123
MEDITS-GSA18;2000;91;6;5;0.09;40.75167;18.46725;529.5
MEDITS-GSA18;2000;92;6;4;0.096;40.67817;18.51408;308
MEDITS-GSA18;2000;93;6;3;0.045;40.69483;18.33542;120.5
MEDITS-GSA18;2000;94;6;4;0.09;40.73608;18.42558;415.5
MEDITS-GSA18;2000;95;6;3;0.043;40.70092;18.30025;119
MEDITS-GSA18;2000;96;6;4;0.096;40.76333;18.34258;346.5
MEDITS-GSA18;2000;97;6;3;0.045;40.8055;17.96567;108.5
MEDITS-GSA18;2000;98;6;5;0.09;40.77008;18.40217;558
MEDITS-GSA18;2000;99;6;1;0.042;41.1155;17.01208;46.5
MEDITS-GSA18;2000;100;6;1;0.041;41.20508;16.729;44
MEDITS-GSA18;2000;101;6;2;0.042;40.87292;17.54892;60.5
MEDITS-GSA18;2000;102;6;3;0.045;41.12425;17.201;114.5
MEDITS-GSA18;2000;103;6;3;0.045;41.15342;17.15542;117
MEDITS-GSA18;2000;104;6;2;0.047;41.133;17.05175;85.5
MEDITS-GSA18;2000;105;6;2;0.042;41.197;16.7925;56.5
MEDITS-GSA18;2000;106;6;3;0.043;41.21217;16.95142;106
MEDITS-GSA18;2000;107;6;3;0.045;41.17542;17.10917;117.5
MEDITS-GSA18;2000;108;6;2;0.044;41.36225;16.57642;67
MEDITS-GSA18;2000;109;6;1;0.043;41.267;16.59758;41.5
MEDITS-GSA18;2000;110;6;3;0.046;41.45517;16.84358;113.5
MEDITS-GSA18;2000;111;6;3;0.051;41.41817;16.84808;111.5
MEDITS-GSA18;2000;112;6;2;0.045;41.31275;16.59208;58
MEDITS-GSA18;2000;113;6;3;0.046;41.48833;16.85567;119.5
MEDITS-GSA18;2000;114;6;2;0.044;41.33825;16.54175;52.5
MEDITS-GSA18;2000;115;6;1;0.043;41.29808;16.55125;41
MEDITS-GSA18;2000;116;6;5;0.068;41.59542;17.14242;531
MEDITS-GSA18;2000;117;6;1;0.047;41.79575;16.34875;39.5
MEDITS-GSA18;2000;118;6;1;0.045;41.6785;16.37042;41.5
MEDITS-GSA18;2000;119;6;1;0.046;41.71392;16.33542;31
MEDITS-GSA18;2000;120;6;1;0.045;41.64942;16.3265;29.5
MEDITS-GSA18;2000;121;6;1;0.047;41.69383;16.31567;25.5
MEDITS-GSA18;2000;122;6;1;0.041;41.63475;16.38533;43.5
MEDITS-GSA18;2000;123;6;1;0.044;41.52842;16.38642;44
MEDITS-GSA18;2000;124;6;1;0.044;41.60425;16.39333;46
MEDITS-GSA18;2000;125;6;1;0.045;41.44317;16.42808;47
MEDITS-GSA18;2000;126;6;2;0.048;41.75992;16.42017;62.5
MEDITS-GSA18;2000;127;5;2;0.045;41.5795;16.48592;70
MEDITS-GSA18;2000;128;5;2;0.045;41.56758;16.50458;73
MEDITS-GSA18;2000;129;6;2;0.044;41.61367;16.41625;52
MEDITS-GSA18;2000;130;5;2;0.045;41.54633;16.52883;76.5
MEDITS-GSA18;2000;131;5;2;0.047;41.482;16.54033;75.5
MEDITS-GSA18;2000;132;6;3;0.043;41.92233;16.61192;118
MEDITS-GSA18;2000;133;6;3;0.046;41.90008;16.65125;126.5
MEDITS-GSA18;2000;134;6;3;0.048;41.85842;16.67625;118.5
MEDITS-GSA18;2000;135;6;3;0.046;41.5315;16.84825;122.5
MEDITS-GSA18;2000;136;6;3;0.043;41.30933;16.94383;111
MEDITS-GSA18;2000;137;6;3;0.046;41.52417;16.81642;114
MEDITS-GSA18;2000;138;6;3;0.043;41.257;16.93942;112
MEDITS-GSA18;2000;139;5;4;0.079;41.93783;16.8125;221
MEDITS-GSA18;2000;140;5;4;0.074;41.89667;16.84325;232
MEDITS-GSA18;2000;141;5;4;0.067;41.84908;16.86283;235.5
MEDITS-GSA18;2000;142;6;4;0.1;41.58292;17.06925;428
MEDITS-GSA18;2000;143;5;5;0.093;42.02742;16.99592;530
MEDITS-GSA18;2000;144;5;5;0.09;42.07667;16.99475;523
MEDITS-GSA18;2000;145;6;5;0.081;41.5885;17.15308;545.5
MEDITS-GSA18;2000;146;6;5;0.064;41.61233;17.1145;531.5
