"Survey";"Year";"Haul";"Species";"Sex";"Maturity";"Length";"Number";"Weight";"Age"
"MEDITS-GSA18";1994;119;"TRACTRA";"i";"i";10;31;NA;NA
"MEDITS-GSA18";1994;120;"TRACTRA";"i";"i";10;40;NA;NA
"MEDITS-GSA18";1994;121;"TRACTRA";"i";"i";10;17;NA;NA
"MEDITS-GSA18";1994;124;"TRACTRA";"i";"i";10;33;NA;NA
"MEDITS-GSA18";1994;125;"TRACTRA";"i";"i";10;56;NA;NA
"MEDITS-GSA18";1994;126;"TRACTRA";"i";"i";10;7;NA;NA
"MEDITS-GSA18";1994;127;"TRACTRA";"i";"i";10;4;NA;NA
"MEDITS-GSA18";1994;128;"TRACTRA";"i";"i";10;55;NA;NA
"MEDITS-GSA18";1994;129;"TRACTRA";"i";"i";10;24;NA;NA
"MEDITS-GSA18";1994;130;"TRACTRA";"i";"i";10;66;NA;NA
"MEDITS-GSA18";1994;132;"TRACTRA";"i";"i";10;60;NA;NA
"MEDITS-GSA18";1994;133;"TRACTRA";"i";"i";10;39;NA;NA
"MEDITS-GSA18";1994;134;"TRACTRA";"i";"i";10;15;NA;NA
"MEDITS-GSA18";1994;135;"TRACTRA";"i";"i";10;67;NA;NA
"MEDITS-GSA18";1994;136;"TRACTRA";"i";"i";10;30;NA;NA
"MEDITS-GSA18";1994;137;"TRACTRA";"i";"i";10;18;NA;NA
"MEDITS-GSA18";1994;138;"TRACTRA";"i";"i";10;66;NA;NA
"MEDITS-GSA18";1994;75;"TRACTRA";"i";"i";10;36;NA;NA
"MEDITS-GSA18";1994;76;"TRACTRA";"i";"i";10;54;NA;NA
"MEDITS-GSA18";1994;80;"TRACTRA";"i";"i";10;53;NA;NA
"MEDITS-GSA18";1994;83;"TRACTRA";"i";"i";10;57;NA;NA
"MEDITS-GSA18";1994;89;"TRACTRA";"i";"i";10;42;NA;NA
"MEDITS-GSA18";1994;94;"TRACTRA";"i";"i";10;11;NA;NA
"MEDITS-GSA18";1994;95;"TRACTRA";"i";"i";10;23;NA;NA
"MEDITS-GSA18";1994;97;"TRACTRA";"i";"i";10;26;NA;NA
"MEDITS-GSA18";1994;99;"TRACTRA";"i";"i";10;19;NA;NA
"MEDITS-GSA18";1994;106;"TRISCAP";"i";"i";10;5;NA;NA
"MEDITS-GSA18";1994;110;"TRISCAP";"i";"i";10;40;NA;NA
"MEDITS-GSA18";1994;112;"TRISCAP";"i";"i";10;22;NA;NA
"MEDITS-GSA18";1994;114;"TRISCAP";"i";"i";10;54;NA;NA
"MEDITS-GSA18";1994;126;"TRISCAP";"i";"i";10;2;NA;NA
"MEDITS-GSA18";1994;128;"TRISCAP";"i";"i";10;45;NA;NA
"MEDITS-GSA18";1994;132;"TRISCAP";"i";"i";10;50;NA;NA
"MEDITS-GSA18";1994;133;"TRISCAP";"i";"i";10;16;NA;NA
"MEDITS-GSA18";1994;134;"TRISCAP";"i";"i";10;5;NA;NA
"MEDITS-GSA18";1994;111;"ELEDCIR";"m";"i";10;63;NA;NA
"MEDITS-GSA18";1994;142;"ELEDCIR";"m";"i";10;58;NA;NA
"MEDITS-GSA18";1994;83;"ELEDCIR";"m";"i";10;25;NA;NA
"MEDITS-GSA18";1994;101;"ELEDCIR";"f";"m";10;45;NA;NA
"MEDITS-GSA18";1994;102;"ELEDCIR";"f";"m";10;63;NA;NA
"MEDITS-GSA18";1994;107;"ELEDCIR";"f";"m";10;3;NA;NA
"MEDITS-GSA18";1994;111;"ELEDCIR";"f";"m";10;5;NA;NA
"MEDITS-GSA18";1994;113;"ELEDCIR";"f";"m";10;5;NA;NA
"MEDITS-GSA18";1994;136;"ELEDCIR";"f";"m";10;54;NA;NA
"MEDITS-GSA18";1994;138;"ELEDCIR";"f";"m";10;58;NA;NA
"MEDITS-GSA18";1994;140;"ELEDCIR";"f";"m";10;1;NA;NA
"MEDITS-GSA18";1994;89;"ELEDCIR";"f";"m";10;58;NA;NA
"MEDITS-GSA18";1994;110;"ELEDCIR";"m";"m";10;20;NA;NA
"MEDITS-GSA18";1994;111;"ELEDCIR";"m";"m";10;63;NA;NA
"MEDITS-GSA18";1994;113;"ELEDCIR";"m";"m";10;63;NA;NA
"MEDITS-GSA18";1994;133;"ELEDCIR";"m";"m";10;13;NA;NA
"MEDITS-GSA18";1994;136;"ELEDCIR";"m";"m";10;3;NA;NA
"MEDITS-GSA18";1994;83;"ELEDCIR";"m";"m";10;25;NA;NA
"MEDITS-GSA18";1994;89;"ELEDCIR";"m";"m";10;45;NA;NA
"MEDITS-GSA18";1994;95;"ELEDCIR";"m";"m";10;45;NA;NA
"MEDITS-GSA18";1994;97;"ELEDCIR";"m";"m";10;35;NA;NA
"MEDITS-GSA18";1994;103;"ELEDCIR";"f";"i";10.5;2;NA;NA
"MEDITS-GSA18";1994;108;"ELEDCIR";"f";"i";10.5;65;NA;NA
"MEDITS-GSA18";1994;110;"ELEDCIR";"f";"i";10.5;69;NA;NA
"MEDITS-GSA18";1994;139;"ELEDCIR";"f";"i";10.5;45;NA;NA
"MEDITS-GSA18";1994;90;"ELEDCIR";"f";"i";10.5;63;NA;NA
"MEDITS-GSA18";1994;89;"ILLECOI";"i";"i";10.5;65;NA;NA
"MEDITS-GSA18";1994;137;"ELEDCIR";"m";"i";10.5;54;NA;NA
"MEDITS-GSA18";1994;102;"ELEDCIR";"f";"m";10.5;63;NA;NA
"MEDITS-GSA18";1994;103;"ELEDCIR";"f";"m";10.5;2;NA;NA
"MEDITS-GSA18";1994;107;"ELEDCIR";"f";"m";10.5;3;NA;NA
"MEDITS-GSA18";1994;108;"ELEDCIR";"f";"m";10.5;65;NA;NA
"MEDITS-GSA18";1994;113;"ELEDCIR";"f";"m";10.5;5;NA;NA
"MEDITS-GSA18";1994;128;"ELEDCIR";"f";"m";10.5;58;NA;NA
"MEDITS-GSA18";1994;138;"ELEDCIR";"f";"m";10.5;58;NA;NA
"MEDITS-GSA18";1994;107;"ELEDCIR";"m";"m";10.5;25;NA;NA
"MEDITS-GSA18";1994;110;"ELEDCIR";"m";"m";10.5;20;NA;NA
"MEDITS-GSA18";1994;136;"ELEDCIR";"m";"m";10.5;3;NA;NA
"MEDITS-GSA18";1994;137;"ELEDCIR";"m";"m";10.5;54;NA;NA
"MEDITS-GSA18";1994;83;"ELEDCIR";"m";"m";10.5;25;NA;NA
"MEDITS-GSA18";1994;84;"ELEDCIR";"m";"m";10.5;22;NA;NA
"MEDITS-GSA18";1994;95;"ELEDCIR";"m";"m";10.5;45;NA;NA
"MEDITS-GSA18";1994;103;"ELEDCIR";"f";"i";11;2;NA;NA
"MEDITS-GSA18";1994;128;"ELEDCIR";"f";"i";11;58;NA;NA
"MEDITS-GSA18";1994;139;"ELEDCIR";"f";"i";11;45;NA;NA
"MEDITS-GSA18";1994;141;"ELEDCIR";"f";"i";11;2;NA;NA
"MEDITS-GSA18";1994;84;"ELEDCIR";"f";"i";11;45;NA;NA
"MEDITS-GSA18";1994;97;"ELEDCIR";"f";"i";11;65;NA;NA
"MEDITS-GSA18";1994;95;"MERLMER";"f";"i";11;2;NA;NA
"MEDITS-GSA18";1994;110;"LOPHBUD";"i";"i";11;1;NA;NA
"MEDITS-GSA18";1994;134;"LOPHBUD";"i";"i";11;35;NA;NA
"MEDITS-GSA18";1994;142;"LOPHBUD";"i";"i";11;1;NA;NA
"MEDITS-GSA18";1994;97;"LOPHBUD";"i";"i";11;1;NA;NA
"MEDITS-GSA18";1994;101;"MERLMER";"i";"i";11;5;NA;NA
"MEDITS-GSA18";1994;102;"MERLMER";"i";"i";11;3;NA;NA
"MEDITS-GSA18";1994;103;"MERLMER";"i";"i";11;5;NA;NA
"MEDITS-GSA18";1994;110;"MERLMER";"i";"i";11;45;NA;NA
"MEDITS-GSA18";1994;112;"MERLMER";"i";"i";11;35;NA;NA
"MEDITS-GSA18";1994;113;"MERLMER";"i";"i";11;45;NA;NA
"MEDITS-GSA18";1994;114;"MERLMER";"i";"i";11;54;NA;NA
"MEDITS-GSA18";1994;117;"MERLMER";"i";"i";11;23;NA;NA
"MEDITS-GSA18";1994;118;"MERLMER";"i";"i";11;34;NA;NA
"MEDITS-GSA18";1994;124;"MERLMER";"i";"i";11;22;NA;NA
"MEDITS-GSA18";1994;132;"MERLMER";"i";"i";11;5;NA;NA
"MEDITS-GSA18";1994;133;"MERLMER";"i";"i";11;44;NA;NA
"MEDITS-GSA18";1994;134;"MERLMER";"i";"i";11;38;NA;NA
"MEDITS-GSA18";1994;136;"MERLMER";"i";"i";11;13;NA;NA
"MEDITS-GSA18";1994;139;"MERLMER";"i";"i";11;12;NA;NA
"MEDITS-GSA18";1994;142;"MERLMER";"i";"i";11;70;NA;NA
"MEDITS-GSA18";1994;88;"MERLMER";"i";"i";11;22;NA;NA
"MEDITS-GSA18";1994;89;"MERLMER";"i";"i";11;58;NA;NA
"MEDITS-GSA18";1994;90;"MERLMER";"i";"i";11;16;NA;NA
"MEDITS-GSA18";1994;93;"MERLMER";"i";"i";11;52;NA;NA
"MEDITS-GSA18";1994;95;"MERLMER";"i";"i";11;13;NA;NA
"MEDITS-GSA18";1994;97;"MERLMER";"i";"i";11;58;NA;NA
"MEDITS-GSA18";1994;136;"MICMPOU";"i";"i";11;22;NA;NA
"MEDITS-GSA18";1994;139;"MICMPOU";"i";"i";11;65;NA;NA
"MEDITS-GSA18";1994;92;"MICMPOU";"i";"i";11;62;NA;NA
"MEDITS-GSA18";1994;93;"MICMPOU";"i";"i";11;45;NA;NA
"MEDITS-GSA18";1994;110;"PHYIBLE";"i";"i";11;22;NA;NA
"MEDITS-GSA18";1994;133;"PHYIBLE";"i";"i";11;35;NA;NA
"MEDITS-GSA18";1994;78;"PHYIBLE";"i";"i";11;22;NA;NA
"MEDITS-GSA18";1994;85;"PHYIBLE";"i";"i";11;2;NA;NA
"MEDITS-GSA18";1994;89;"PHYIBLE";"i";"i";11;22;NA;NA
"MEDITS-GSA18";1994;94;"PHYIBLE";"i";"i";11;19;NA;NA
"MEDITS-GSA18";1994;102;"TRACTRA";"i";"i";11;14;NA;NA
"MEDITS-GSA18";1994;103;"TRACTRA";"i";"i";11;51;NA;NA
"MEDITS-GSA18";1994;106;"TRACTRA";"i";"i";11;9;NA;NA
"MEDITS-GSA18";1994;107;"TRACTRA";"i";"i";11;60;NA;NA
"MEDITS-GSA18";1994;109;"TRACTRA";"i";"i";11;63;NA;NA
"MEDITS-GSA18";1994;110;"TRACTRA";"i";"i";11;50;NA;NA
"MEDITS-GSA18";1994;111;"TRACTRA";"i";"i";11;21;NA;NA
"MEDITS-GSA18";1994;113;"TRACTRA";"i";"i";11;8;NA;NA
"MEDITS-GSA18";1994;114;"TRACTRA";"i";"i";11;64;NA;NA
"MEDITS-GSA18";1994;115;"TRACTRA";"i";"i";11;63;NA;NA
"MEDITS-GSA18";1994;117;"TRACTRA";"i";"i";11;32;NA;NA
"MEDITS-GSA18";1994;119;"TRACTRA";"i";"i";11;31;NA;NA
"MEDITS-GSA18";1994;120;"TRACTRA";"i";"i";11;40;NA;NA
"MEDITS-GSA18";1994;121;"TRACTRA";"i";"i";11;17;NA;NA
"MEDITS-GSA18";1994;124;"TRACTRA";"i";"i";11;33;NA;NA
"MEDITS-GSA18";1994;126;"TRACTRA";"i";"i";11;7;NA;NA
"MEDITS-GSA18";1994;127;"TRACTRA";"i";"i";11;4;NA;NA
"MEDITS-GSA18";1994;128;"TRACTRA";"i";"i";11;55;NA;NA
"MEDITS-GSA18";1994;129;"TRACTRA";"i";"i";11;24;NA;NA
"MEDITS-GSA18";1994;130;"TRACTRA";"i";"i";11;66;NA;NA
"MEDITS-GSA18";1994;133;"TRACTRA";"i";"i";11;39;NA;NA
"MEDITS-GSA18";1994;134;"TRACTRA";"i";"i";11;15;NA;NA
"MEDITS-GSA18";1994;135;"TRACTRA";"i";"i";11;67;NA;NA
"MEDITS-GSA18";1994;136;"TRACTRA";"i";"i";11;30;NA;NA
"MEDITS-GSA18";1994;138;"TRACTRA";"i";"i";11;66;NA;NA
"MEDITS-GSA18";1994;75;"TRACTRA";"i";"i";11;36;NA;NA
"MEDITS-GSA18";1994;80;"TRACTRA";"i";"i";11;53;NA;NA
"MEDITS-GSA18";1994;95;"TRACTRA";"i";"i";11;23;NA;NA
"MEDITS-GSA18";1994;97;"TRACTRA";"i";"i";11;26;NA;NA
"MEDITS-GSA18";1994;107;"TRISCAP";"i";"i";11;63;NA;NA
"MEDITS-GSA18";1994;134;"TRISCAP";"i";"i";11;5;NA;NA
"MEDITS-GSA18";1994;136;"TRISCAP";"i";"i";11;27;NA;NA
"MEDITS-GSA18";1994;89;"TRISCAP";"i";"i";11;5;NA;NA
"MEDITS-GSA18";1994;142;"ILLECOI";"m";"i";11;45;NA;NA
"MEDITS-GSA18";1994;124;"MERLMER";"m";"i";11;22;NA;NA
"MEDITS-GSA18";1994;95;"MERLMER";"m";"i";11;25;NA;NA
"MEDITS-GSA18";1994;107;"TRACTRA";"m";"i";11;65;NA;NA
"MEDITS-GSA18";1994;84;"TRISCAP";"m";"i";11;54;NA;NA
"MEDITS-GSA18";1994;101;"ELEDCIR";"f";"m";11;45;NA;NA
"MEDITS-GSA18";1994;102;"ELEDCIR";"f";"m";11;63;NA;NA
"MEDITS-GSA18";1994;108;"ELEDCIR";"f";"m";11;65;NA;NA
"MEDITS-GSA18";1994;110;"ELEDCIR";"f";"m";11;69;NA;NA
"MEDITS-GSA18";1994;136;"ELEDCIR";"f";"m";11;54;NA;NA
"MEDITS-GSA18";1994;141;"ELEDCIR";"f";"m";11;2;NA;NA
"MEDITS-GSA18";1994;84;"ELEDCIR";"f";"m";11;45;NA;NA
"MEDITS-GSA18";1994;97;"ELEDCIR";"f";"m";11;65;NA;NA
"MEDITS-GSA18";1994;107;"ELEDCIR";"m";"m";11;25;NA;NA
"MEDITS-GSA18";1994;108;"ELEDCIR";"m";"m";11;22;NA;NA
"MEDITS-GSA18";1994;110;"ELEDCIR";"m";"m";11;20;NA;NA
"MEDITS-GSA18";1994;139;"ELEDCIR";"m";"m";11;54;NA;NA
"MEDITS-GSA18";1994;138;"ELEDCIR";"f";"i";11.5;58;NA;NA
"MEDITS-GSA18";1994;141;"ELEDCIR";"f";"i";11.5;2;NA;NA
"MEDITS-GSA18";1994;75;"ELEDCIR";"f";"i";11.5;45;NA;NA
"MEDITS-GSA18";1994;83;"ELEDCIR";"f";"i";11.5;2;NA;NA
"MEDITS-GSA18";1994;83;"ELEDCIR";"m";"i";11.5;25;NA;NA
"MEDITS-GSA18";1994;110;"ELEDCIR";"f";"m";11.5;69;NA;NA
"MEDITS-GSA18";1994;130;"ELEDCIR";"f";"m";11.5;45;NA;NA
"MEDITS-GSA18";1994;136;"ELEDCIR";"f";"m";11.5;54;NA;NA
"MEDITS-GSA18";1994;137;"ELEDCIR";"f";"m";11.5;22;NA;NA
"MEDITS-GSA18";1994;141;"ELEDCIR";"f";"m";11.5;2;NA;NA
"MEDITS-GSA18";1994;103;"ELEDCIR";"m";"m";11.5;54;NA;NA
"MEDITS-GSA18";1994;139;"ELEDCIR";"m";"m";11.5;54;NA;NA
"MEDITS-GSA18";1994;106;"ELEDCIR";"f";"i";12;58;NA;NA
"MEDITS-GSA18";1994;142;"ELEDCIR";"f";"i";12;65;NA;NA
