N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
29;ALCYGLO;Alcyonium glomeratum;(Hassal, 1843);;;?;Ecn;;6;2013 (6)
30;ALCYPAL;Alcyonium palmatum;Pallas, 1766;R;p. 170 Tav. 62;;Ecn;0;1, 2, 5, 6, 9, 10, 17, 18, 19;
31;ALCYSPP;Alcyonium spp.;Linnaeus, 1758;;;;Ecn;;7, 8;2013 (7, 8)
32;ALEPROS;Alepocephalus rostratus;Risso, 1820;C;30.01.01;;Ao;0;1, 2, 5, 6, 7, 9, 11, 16;
33;ALLOMED;Alloteuthis media;(Linnaeus, 1758);F;LOLIG Allot 3;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
34;ALLOSPP;Alloteuthis spp.;Wülker, 1920;F;LOLIG Allot;;C;0;2, 6, 7, 8, 9, 15, 17, 22, 23;
35;ALLOSUB;Alloteuthis subulata;(Lamarck, 1798);F;LOLIG Allot 2;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
36;ALOPVUL;Alopias vulpinus;(Bonnaterre, 1788);C;9.01.01;;Ae;0;19;
37;ALOSALO;Alosa alosa;(Linnaeus, 1758) ;C;33.06.01;?;Ao;0;6;2013 (6)
38;ALOSFAL;Alosa fallax;(Lacepède, 1803);C;33.06.03;;Ao;0;1, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 22;
39;ALPEDAE;Alpheidae;Rafinesque, 1815;;;;B;;1;2013 (1)
40;ALPHGLA;Alpheus glaber;(Olivi, 1792);F;ALPH Alph 5;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
41;ALPHMAC;Alpheus macrocheles;(Hailstone, 1835);;;;B;;1;2013 (1)
42;ALPHPLA;Alpheus platydactylus;Coutière, 1897;;;;B;m;1;
43;ALPHSPP;Alpheus spp.;Fabricius, 1798 ;;;;B;;1, 7, 8, 22;2013 (1)
44;AMATSEM;Amathia semiconvoluta;Lamouroux, 1824;R;p. 531 Tav. 211;;Ebr;0;10, 18, 19;2011 (10, 18, 19)
45;AMPADOH;Amphianthus dohrnii;(Koch, 1878);;;;Ecn;;10, 16;2013 (16)
46;AMPBAMP;Amphibalanus amphitrite amphitrite;(Darwin, 1854);;;;Bci;;16;2013 (16)
47;AMPHSQU;Amphipholis squamata;(Delle Chiaje, 1828);R;p. 573 Tav. 226;;Eec;0;1, 18;2011 (18)
48;AMPIODA;Amphipoda;Latreille, 1816;;;;Bam;;1, 5, 6, 25;2013 (1, 5, 6)
49;AMPUCHI;Amphiura chiajei;Forbes, 1843;;;;Eec;;16, 18;2013 (16)
50;AMPUSPP;Amphiura spp.;Forbes, 1843;;;;Eec;;5;2013 (5)
51;AMYGLUT;Amygdalum politum;(Verrill & Smith, 1880);;;e2;Emb;0;1, 2, 19;
52;ANADCOR;Anadara corbuloides;(Monterosato, 1878);;;;Dmb;0;5, 9, 18;2011 (9, 18)
53;ANADDIL;Anadara transversa;(Say, 1822);F;ARC Anad 3;d2;Dmb;0;1, 6, 9, 18;
54;ANADINA;Anadara inaequivalvis;(Bruguière, 1789);;;d3;Dmb;;1;2013 (1)
55;ANADPOL;Anadara polii;(Mayer, 1868);;;;Dmb;;16;2013 (16)
56;ANAMRIS;Anamathia rissoana;(Roux, 1828);Z;465;;B;m;6, 10, 11, 15, 18, 19;
57;ANAPBIC;Anapagurus bicorniger;A. Milne-Edwards & Bouvier, 1892;Z;259;;B;m;1, 6;
58;ANAPCHI;Anapagurus chiroacanthus;(Lilljeborg, 1856);;;;B;;1, 2, 5, 6 ;2013 (1, 2, 5, 6) 
59;ANAPLAE;Anapagurus laevis;(Bell, 1846);Z;256;;B;m;1, 5, 6, 9;
60;ANCINIC;Ancistroteuthis lichtensteinii;(Férussac, 1835);F;ONYCHO;;C;0;1, 2, 5, 6, 7, 9, 10, 11, 15, 17, 18, 19, 22;
61;ANCOLES;Ancistrocheirus lesueurii;(d'Orbigny, 1842);F;ENOP;;C;0;19;2011 (19)
62;ANDRPAR;Andresia parthenopea;(Andrès, 1883);R;p. 161 Tav. 59;;Ecn;0;10;2011 (10)
63;ANGUANG;Anguilla anguilla;(Linnaeus, 1758);C;71.01.01;;Ao;0;1, 7, 22;
64;ANNEIDA;Annelida;Lamarck, 1809;;;;Ean;;1, 5;2013 (1, 5)
65;ANOMEPH;Anomia ephippium;Linnaeus, 1758;F;ANOM;;Emb;0;1, 5, 6, 10, 18, 19;2011 (10, 18)
66;ANSEPLA;Anseropoda placenta;(Pennant, 1777);R;p. 567 Tav. 224;;Eec;0;1, 2, 5, 6, 7, 8, 9, 11, 15, 18, 19;2011 (9, 18)
67;ANTAINA;Antalis inaequicostata;(Dautzenberg, 1891);;;;Esc;;16;2013 (16)
68;ANTAPAN;Antalis panorma;(Chenu, 1843);;;;Esc;;16;2013 (16)
69;ANTEMED;Antedon mediterranea;(Lamarck, 1816);R;p. 545 Tav. 217;;Eec;0;1, 5, 6, 9, 10, 11, 15, 18, 19;2011 (9, 10, 18, 19)
70;ANTESPP;Antedon spp.;De Fréminville, 1811;;;;Eec;;7, 8;2013 (7, 8)
71;ANTHANT;Anthias anthias;(Linnaeus, 1758);C;124.02.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 22;
72;ANTOMEG;Gaidropsarus biscayensis;(Collett, 1890);C;101.19.02;a1;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19;
73;ANTOSPP;Gaidropsarus spp.;Rafinesque, 1810;C;101.19;a2;Ao;0;1, 6, 7, 8, 15, 16, 17, 18, 20, 22, 23;
74;APERADR;Pseudosimnia adriatica;(G.B. Sowerby I, 1828);;;e3;Emg;0;10;2011 (10)
75;APHIMIN;Aphia minuta;(Risso, 1810);C;162.02.01;;Ao;0;1, 5, 6, 8, 9, 10, 11, 16, 17, 18, 19, 22, 25;
76;APHODAE;Aphroditidae;Malmgren, 1867;;;;Epo;;1, 2, 5, 6, 15;2013 (1, 2, 5, 6)
77;APHRACU;Aphrodita aculeata;Linnaeus, 1758;R;p. 364 Tav. 140;;Epo;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19;2011 (9, 10, 18, 19)
78;APHRSPP;Aphrodita spp.;Linnaeus, 1758;;;;Epo;;1, 2, 5, 6, 7, 8, 10;2013 (1, 2, 5, 6)
79;APLAAER;Aplysina aerophoba;Nardo, 1833;;;;Esp;;1, 2, 5, 6;2013 (1, 2, 5, 6)
80;APLICON;Aplidium conicum;(Olivi, 1792) ;;;;Etu;;5, 6, 16;2013 (5, 6)
81;APLIELE;Aplidium elegans;(Giard, 1872);;;;Etu;;5;2013 (5)
82;APLIHAO;Aplidium haouarianum;(Pérès, 1956);;;;Etu;;5;2013 (5)
83;APLINOR;Aplidium nordmanni;(Milne-Edwards, 1841);;;;Etu;;5;2013 (5)
84;APLIPAL;Aplidium pallidum;(Verrill, 1871);;;;Etu;;1, 2, 5, 6 ;2013 (1, 2, 5, 6)
85;APLIPRO;Aplidium proliferum;(Milne-Edwards, 1841);;;;Etu;;16;2013 (16)
86;APLISPP;Aplidium spp.;Savigny, 1816 ;;;;Etu;;1, 5, 16;2013 (1, 5)
87;APLYDEP;Aplysia depilans;Gmelin, 1791;;;;Emo;;16;2013 (16)
88;APLYFAS;Aplysia fasciata;Poiret, 1789;R;p. 281 Tav. 108;;Emo;0;5, 18;2011 (18)
89;APLYPAR;Aplysia parvula;Mörch, 1863;;;;Emo;;16;2013 (16)
90;APLYPUN;Aplysia punctata;(Cuvier, 1803);;;;Emo;;5, 6, 16;2013 (5, 6)
91;APLYSPP;Aplysia spp.;Linnaeus, 1767;R;p. 279;;Emo;0;5, 6, 9, 18;2011 (18)
92;APOGIMB;Apogon imberbis;(Linnaeus, 1758);C;127.01.01;;Ao;0;7, 9, 11, 15, 25;
93;APORPES;Aporrhais pespelecani;(Linnaeus, 1758);F;APOR Apor 1;;Dmg;0;1, 6, 7, 8, 9, 10, 17, 18, 19;
94;APORSER;Aporrhais serresianus;(Michaud, 1828);F;APOR Apor 2;;Dmg;0;1, 2, 5, 6, 8, 9, 10, 18, 19;
95;APORSPP;Aporrhais spp.;Da Costa, 1778 ;;;;Dmg;;1, 2, 5, 6, 7, 8, 16;2013 (1, 2, 5, 6)
96;APTECAE;Apterichtus caecus;(Linnaeus, 1758);C;86.02.01;;Ao;0;6, 7, 9;
97;ARCANOA;Arca noae;Linnaeus, 1758;;;;Dmb;;1, 2, 5, 6 ;2013 (1, 2, 5, 6)
98;ARCATET;Arca tetragona;Poli, 1795;;;;Dmb;;1, 2, 5, 16;2013 (1, 2, 5)
99;ARGESPY;Argentina sphyraena;Linnaeus, 1758;C;46.01.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
100;ARGOOLE;Ranella olearium;(Linnaeus, 1758);F;CYM Argo 1;d4;Dmg;0;1, 2, 5, 6, 9, 11, 18, 19;
101;ARGRHEM;Argyropelecus hemigymnus;Cocco, 1829;C;38.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
102;ARGUARG;Argonauta argo;Linnaeus, 1758;F;ARGO Argo 1;;C;0;19;2011 (19)
103;ARIOBAL;Ariosoma balearicum;(Delaroche, 1809);C;82.02.01;;Ao;0;8, 9, 10, 11, 17, 18, 19;
104;ARISFOL;Aristaeomorpha foliacea;(Risso, 1827);F;ARIST Aris 1;;B;m;5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
105;ARITANT;Aristeus antennatus;(Risso, 1816);F;ARIST Arist 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
106;ARMILOV;Armina loveni;(Bergh, 1866);;;?;Emo;0;7;2013 (7)
107;ARMIMAC;Armina maculata;Rafinesque, 1814;F;NAT Natic 1;;Dmo;0;5, 6, 11;
108;ARMINEA;Armina neapolitana;(Delle Chiaje, 1824);;;;Emo;;16;2013 (16)
109;ARMISPP;Armina spp.;Rafinesque, 1814;;;;Emo;;5, 6;2013 (5, 6)
110;ARMITIG;Armina tigrina;Rafinesque, 1814;R;p. 292 Tav. 112;;Dmo;0;6, 9, 10, 18, 19;
111;ARNOIMP;Arnoglossus imperialis;(Rafinesque, 1810);C;196.02.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 20, 22;
112;ARNOKES;Arnoglossus kessleri;Schmidt, 1915;C;196.02.03;;Ao;0;10, 19, 20, 22;2011 (10, 19)
113;ARNOLAT;Arnoglossus laterna;(Walbaum, 1792);C;196.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
114;ARNORUP;Arnoglossus rueppelii;(Cocco, 1844);C;196.02.04;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
115;ARNOSPP;Arnoglossus spp.;Bleeker, 1862;C;196.2;;Ao;0;7, 8, 11, 17, 19;2011 (19)
116;ARNOTHO;Arnoglossus thori;Kyle, 1913;C;196.02.05;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
117;ASCDDAE;Ascidiidae;Herdman, 1882;;;;Etu;;1, 2, 5, 6;2013 (1, 2, 5, 6)
118;ASCEASP;Ascidiella aspersa;(O.F. Müller, 1776);R;p. 590 Tav. 236;;Etu;0;1, 5, 6, 18, 19;2011 (19)
119;ASCESCA;Ascidiella scabra;(O.F. Müller, 1776);;;;Etu;0;1, 5, 6, 19;2011 (19)
120;ASCESPP;Ascidiella spp.;Roule, 1884;R;p. 590;;Etu;0;18, 19;2011 (18)
121;ASCIINV;Ascidia involuta;Heller, 1875 ;;;;Etu;;5;2013 (5)
122;ASCIMEN;Ascidia mentula;O.F. Müller, 1776;R;p. 591 Tav. 236;;Etu;0;1, 2, 5, 6, 9, 10, 18, 19;2011 (9, 10, 18, 19)
123;ASCISPP;Ascidia spp.;Linnaeus, 1767;;;;Etu;;1, 2, 5, 6, 9, 22, 23;2013 (1, 2, 5, 6)
124;ASCIVIR;Ascidia virginea;O.F. Müller, 1776;R;p. 591 Tav. 236;;Etu;0;1, 5, 6, 10, 18;2011 (10, 18)
125;ASCOFLA;Ascidonia flavomaculata;(Heller, 1864);;;;B;;5;2013 (5)
126;ASDOMUE;Aspidosiphon muelleri muelleri;Diesing, 1851;R;p. 216 Tav. 82;;Esi;0;18;2011 (18)
127;ASPATAX;Asparagopsis taxiformis;Trevisan de Saint-Léon, 1845 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
128;ASPICUC;Chelidonichthys cuculus;(Linnaeus, 1758);C;185.02.01;a3;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
129;ASPIOBS;Chelidonichthys obscurus;(Walbaum, 1792);C;185.02.02;a4;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 19, 20, 22;
130;ASTEDEA;Asteroidea;Blainville, 1830;;;;Eec;;1;2013 (1)
131;ASTNGIB;Asterina gibbosa;(Pennant, 1777);;;;Eec;;2;2014 (2)
132;ASTRARA;Astropecten aranciacus;(Linnaeus, 1758);R;p. 563 Tav. 223;;Eec;0;5, 7, 8, 9, 11, 18, 19;2011 (9, 18, 19)
133;ASTRBIS;Astropecten bispinosus;(Otto, 1823);R;p. 565 Tav. 223;;Eec;0;9, 10, 11, 18, 19;2011 (9, 10, 18, 19)
134;ASTRIRR;Astropecten irregularis pentacanthus;(Delle Chiaje, 1827);R;p. 565 Tav. 223;;Eec;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19;2011 (9, 10, 18, 19)
135;ASTRJON;Astropecten jonstoni;(Delle Chiaje, 1827);;;;Eec;0;19;2011 (19)
136;ASTRSPI;Astropecten spinulosus;(Philippi, 1837);R;p. 565 Tav. 223;;Eec;0;5, 6, 9, 11, 19;2011 (9, 19)
137;ASTRSPP;Astropecten spp.;Gray, 1840;R;p.563;;Eec;0;5, 6, 7, 8, 9, 15, 17, 18, 19;
138;ASTSMED;Astrospartus mediterraneus;(Risso, 1826);R;p. 570 Tav. 225;;Eec;0;1, 6, 10, 15;2011 (10)
139;ATECDAE;Atelecyclidae;Ortmann, 1893;;;;B;;1, 2, 5, 6;2013 (1, 2, 5, 6)
140;ATELROT;Atelecyclus rotundatus;(Olivi, 1792);Z;342;;B;m;1, 2, 5, 6, 9, 11, 18, 19;
141;ATHANIT;Athanas nitescens;(Leach, 1813);;;;B;;19;2014 (19)
142;ATHEBOY;Atherina boyeri;Risso, 1810;C;183.01.02;;Ao;0;11, 25;2012 (25)
143;ATOLSPP;Atolla spp.;Haeckel, 1880;;;?;Ecn;;5;2014 (5)
144;ATRIFRA;Atrina fragilis;(Linnaeus, 1767);F;PINN Atr 4;;Dmb;0;9, 17, 18, 19;
145;AULOFIL;Aulopus filamentosus;(Bloch, 1792);C;50.01.01;;Ao;0;1, 5, 6, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
146;AUREAUR;Aurelia aurita;(Linnaeus, 1758);;;;Ecn;;1, 5;2013 (1, 5)
147;AUXIROC;Auxis rochei rochei;(Risso, 1810);;;;Ao;0;11;2014 (11)
148;AXINCAN;Axinella cannabina;(Esper, 1794);R;p. 112 Tav. 38;;Esp;0;19;2011 (19)
149;AXINDAM;Axinella damicornis;(Esper, 1794);;;;Esp;;5;2013 (5)
150;AXINPOL;Axinella polypoides;Schmidt, 1862;;;;Esp;;2, 5, 16, 19;2013 (2, 5)
151;AXINSPP;Axinella spp.;Schmidt, 1862;;;;Esp;;1, 5, 10, 16, 18;2013 (1, 5)
152;AXINVER;Axinella verrucosa;(Esper, 1794) ;;;;Esp;;1, 2, 5, 6, 19;2013 (1, 2, 5, 6)
153;BALICAR;Balistes capriscus;Gmelin, 1789;C;201.01.02;a5;Ao;0;9, 16, 19, 25;
154;BARBBAR;Barbatia barbata;(Linnaeus, 1758);;;;Emb;;5;2013 (5)
155;BASOPRO;Bathysolea profundicola;(Vaillant, 1888);C;198.02.01;;Ao;0;1, 2, 6, 15;
156;BATHDUB;Bathypterois dubius;Vaillant, 1888;F;CHLOR;a6;Ao;0;5, 6, 9, 10, 15, 16, 19, 22;
157;BATHMED;Bathypterois dubius; Vaillant, 1888;F;CHLOR;a6;Ao;0;5, 6, 9, 10, 15, 16, 19, 22;
158;BATISPO;Bathypolypus sponsalis;(P. Fischer & H. Fischer, 1892);F;OCT Bath 2;;C;0;1, 2, 5, 6, 7, 9, 11, 15, 20, 22;
159;BATONIG;Bathophilus nigerrimus;Giglioli, 1882;C;42.02.01;;Ao;0;1, 6, 9, 10, 19, 25;2011 (9, 10, 19)
160;BATYLON;Bathynectes longipes;(Risso, 1816);;;;B;m;20;2014 (20)
161;BATYMAR;Bathynectes maravigna;(Prestandrea, 1839);F;PORT;b1;B;m;1, 2, 5, 6, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
162;BATYSUP;Bathynectes maravigna;(Prestandrea, 1839);F;PORT;b1;B;m;1, 2, 5, 6, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
163;BEANCYL;Beania cylindrica;(Hincks, 1886) ;;;;Ebr;;1, 2, 5, 6;2013 (1, 2, 5, 6)
164;BELLAPO;Bellottia apoda;Giglioli, 1883;C;172.03.01;;Ao;0;1, 6, 9, 16, 20, 22, 25;
165;BELOBEL ;Belone belone;(Linnaeus, 1761);;;;Ao;0;17;2014 (17)
166;BENSGLA;Benthosema glaciale;(Reinhardt, 1837);C;58.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 17, 19, 20, 22, 23, 25;
167;BENTROB;Benthocometes robustus;(Goode & Bean, 1886);C;172.04.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 18, 19, 20, 22;
168;BERTAUR;Berthella aurantiaca;(Risso, 1818);R;p. 289 Tav. 111;;Emo;0;5, 18, 19;2011 (18)
169;BERTSPP;Berthella spp.;Blainville, 1824;;;;Emo;;18;2013 (18)
170;BIDDEAE;Biddulphiaceae;Kützing, 1844;;;;V;;1;2014 (1)
171;BITTRET;Bittium reticulatum;(Da Costa, 1778);;;;Emg;;16;2013 (16)
172;BIVAVIA;Bivalvia;Linnaeus, 1758;;;;Emb;;1, 2, 5, 6;2013 (1, 2, 5, 6)
173;BLEIDAE;Blenniidae;;C;164;a7;Ao;0;11, 17, 20, 22, 23, 25;
174;BLENGAT;Parablennius gattorugine;(Linnaeus, 1758);C;164.01.08;a8;Ao;0;11, 17;
175;BLENINC;Parablennius incognitus;(Bath, 1968);C;164.01.09;a9;Ao;0;25;2012 (25)
176;BLENOCE;Blennius ocellaris;Linnaeus, 1758;C;164.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
177;BLENPAV;Salaria pavo;(Risso, 1810);C;164.01.12;a10;Ao;0;9, 17;
178;BLENROU;Parablennius rouxi;(Cocco, 1833);C;164.01.14;a11;Ao;0;25;2012 (25)
179;BLENSPP;Blenniidae;;C;164;a7;Ao;0;11, 17, 20, 22, 23, 25;
180;BLENTEN;Parablennius tentacularis;(Brünnich, 1768);C;164.01.18;a12;Ao;0;1, 5, 11, 17, 22, 25;
181;BOLMRUG;Bolma rugosa;(Linnaeus, 1767);;;;Emg;;5, 16;2013 (5)
182;BONNSPP;Bonnemaisonia spp.;C. Agardh, 1822;;;;V;;5;2013 (5)
183;BOOPBOO;Boops boops;(Linnaeus, 1758);C;139.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
184;BOROANT;Borostomias antarcticus;(Lönnberg, 1905);C;39.02.01;;Ao;0;1, 5, 6;
185;BOTHPOD;Bothus podas;(Delaroche, 1809);C;196.01.01;;Ao;0;1, 5, 6, 9, 10, 11, 15, 16, 18, 19, 20, 22, 23, 25;
186;BOTOLEA;Botrylloides leachii;(Savigny, 1816) ;;;;Etu;;18;2013 (18)
187;BOTRSCH;Botryllus schlosseri;(Pallas, 1766);R;p. 594 Tav. 238;;Etu;0;1, 5, 6, 9, 10, 11, 18, 19;2011 (9, 10, 18, 19)
188;BOTRSPP;Botryllus spp.;Gaertner, 1774;R;p. 594;;Etu;0;6, 9, 10, 17;2011 (9)
189;BOTYBOT;Botryocladia botryoides;Feldmann, 1941;;;;V;;5;2013 (5)
190;BOTYMAD;Botryocladia madagascariensis;Feldmann, 1945 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
191;BRACRII;Brachioteuthis riisei;(Steenstrup, 1882);F;BRACHIO Bra. 2;;C;0;1, 2, 6, 19, 22;
192;BRAHSPP;Branchiomma spp.;Kölliker, 1858 ;;;;Epo;;5;2013 (5)
193;BRAMBRA;Brama brama;(Bonnaterre, 1788);C;133.02.01;;Ao;0;10, 11, 15, 16, 22, 23;2011 (10)
194;BRANSEX;Brachynotus sexdentatus;(Risso, 1827);Z;431;;B;m;10, 18;2011 (10)
195;BRAOODA;Brachiopoda;Duméril, 1805;;;;Eba;;2, 5;2013 (2, 5)
196;BRINCOR;Hymenodiscus coronata;(G.O. Sars, 1872);R;p. 563 Tav. 223;e4;Eec;0;1, 2, 15, 19;2011 (19)
197;BRIOATL;Brissopsis atlantica;Mortensen, 1907;;;?;Eec;;1, 2, 5, 6;2014 (1, 2, 5, 6)
198;BRIOLYR;Brissopsis lyrifera;(Forbes, 1841);;;;Eec;0;1, 6, 7, 8, 19;2011 (19)
199;BRIOMED;Brissopsis atlantica mediterranea;Mortensen, 1913;;;;Eec;;19;2014 (19)
200;BRISUNI;Brissus unicolor;(Leske, 1778);R;p. 561 Tav. 222;;Eec;0;9;2011 (9)
201;BRYOZOA;Bryozoa;;;;;Ebr;;1, 2, 5, 6;2014 (1, 2, 5, 6)
202;BUBAVER;Bubaris vermiculata;(Bowerbank, 1866);;;;Esp;;18;2013 (18)
203;BUCCCOR;Euthria cornea;(Linnaeus, 1758);F;BUCC Buc 1;d5;Dmg;0;1, 6;
204;BUCCHUN;Buccinum humphreysianum;Bennet, 1824;F;BUCC;?;Dmg;0;1, 2, 6;
205;BUGLLUT;Buglossidium luteum;(Risso, 1810);C;198.03.01;;Ao;0;6, 7, 8, 9, 11, 16, 17, 19, 22;
206;BUGUNER;Bugula neritina;(Linnaeus, 1758);;;;Ebr;;16;2013 (16)
207;BUGUSPP;Bugula spp.;Oken, 1815 ;;;;Ebr;;18;2014 (18)
208;BULLSTR;Bulla striata;Bruguière, 1792;;;;Emo;;1, 2, 5, 6, 16;2013 (1, 2, 5, 6)
209;BUNOVER;Aulactinia verrucosa;(Pennant, 1777);R;p. 161 Tav. 59;e5;Ecn;0;6, 18;2011 (18)
210;BURSLEA;Bursatella leachi;Blainville, 1817;R;p. 281 Tav. 108;AL;Emo;0;18;2011 (18)
211;CALAGRA;Calappa granulata;(Linnaeus, 1758);F;CAL Cal 2;;B;m;1, 2, 5, 6, 8, 9, 11, 15, 17, 18, 19, 20, 22, 25;
212;CALAPEL;Calappa pelii;Herklots, 1851;;;AL;B;m;20, 22;2014 (20, 22)
213;CALATUE;Calappa tuerkayana;Pastore, 1995;;;;B;m;19;2011 (19)
214;CALCTUB;Calcinus tubularis;(Linnaeus, 1767);;;;B;m;1, 6, 15;
215;CALGVER;Callogorgia verticillata;(Pallas, 1766);R;p. 174 Tav. 63;;Ecn;0;6, 10, 11;2011 (10)
216;CALICHI;Calyptraea chinensis;(Linnaeus, 1758);R;p. 250 Tav. 95;e6;Emg;0;1, 2, 5, 6, 15;
217;CALLRIS;Callionymus risso;Lesueur, 1814;C;163a.1.7;a13;Ao;0;1, 6, 7, 9, 16, 17, 19, 20, 22, 23, 25;
218;CALLRUB;Callanthias ruber;(Rafinesque, 1810);C;124.03.01;;Ao;0;1, 2, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 25;
219;CALMFAS;Callionymus fasciatus;Valenciennes, 1837;C;163a.1.3;;Ao;0;17, 19, 22, 23;2011 (19)
220;CALMLYR;Callionymus lyra;Linnaeus, 1758;C;163a.1.1;;Ao;0;1, 2, 6, 7, 8, 11, 16, 17, 19, 20, 22;
221;CALMMAC;Callionymus maculatus;Rafinesque, 1810;C;163a.1.3;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22;
222;CALMPHA;Synchiropus phaeton;(Günther, 1861);C;163a.1.4;a14;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
223;CALMPUS;Callionymus pusillus;Delaroche, 1809 ;C;163.01.05;;Ao;0;1;2013 (1)
224;CALMRIS;Callionymus risso;Lesueur, 1814;C;163a.1.7;a13;Ao;0;1, 6, 7, 9, 16, 17, 19, 20, 22, 23, 25;
225;CALMSPP;Callionymus spp.;Linnaeus, 1758;C;163a.1;;Ao;0;5, 6, 7, 8, 9, 11, 15, 17, 20, 22, 23, 25;
226;CALOCOR;Calocarides coronatus;(Trybom, 1904);;;?;B;m;1, 2, 6;
227;CALOMAC;Calocaris macandreae;Bell, 1853;Z;225;;B;m;1, 2, 5, 6, 9, 20, 22;
228;CALPNOB;Calpensia nobilis;(Esper, 1796);;;;Ebr;0;18;2011 (18)
229;CALSCHI;Callista chione;(Linnaeus, 1758);;;;Dmb;;16;2013 (16)
230;CALTPAR;Calliactis parasitica;(Couch, 1842);F;HORM;;Ecn;0;1, 2, 5, 9, 10, 18, 19;2011 (10, 18, 19)
231;CALUSUT;Callumbonella suturalis;(Philippi, 1836) ;;;;Emg;;2, 5;2013 (2, 5)
232;CALYCHI;Calyptraea chinensis;(Linnaeus, 1758);R;p. 250 Tav. 95;e6;Emg;0;1, 2, 5, 6, 15;2013 (1, 2, 5, 6)
233;CAMPHIN;Campanularia hincksii;Alder, 1856 ;;;;Ecn;;6;2013 (6)
234;CANCCAN;Bivetiella cancellata;(Linnaeus, 1767);F;GASTEROPODA F14;d6;Dmg;0;1, 5, 6;
235;CANIGRA;Calliostoma granulatum;(Born, 1778);F;TROCH;;Emg;0;1, 5, 6, 9, 10, 18, 19;
236;CANILAU;Calliostoma laugieri;(Payraudeau, 1826);R;p. 234 Tav. 88;;Emg;0;10;2011 (10)
237;CANISPP;Calliostoma spp.;Swainson, 1840 ;;;;Emg;;1, 5, 6;2013 (1, 5, 6)
238;CANIZIZ;Calliostoma zizyphinum;(Linnaeus, 1758);R;p. 234 Tav. 88;;Emg;0;5, 9, 19;2011 (9)
239;CAPOAPE;Capros aper;(Linnaeus, 1758);C;123.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
240;CAPUUNG;Capulus ungaricus;(Linnaeus, 1758) ;;;;Emg;;5, 16;2013 (5)
241;CARARHO;Caranx rhonchus;Geoffroy Saint-Hilaire, 1817;C;131.01.05;;Ao;0;1, 6, 11, 20;
242;CARASPP;Caranx spp.;Lacepède, 1801;;;;Ao;0;22;2014 (22)
243;CARDACU;Acanthocardia aculeata;(Linnaeus, 1758);F;CARD Acan 1;d7;Dmb;0;1, 5, 6, 9, 10, 18, 19;
